region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED101,12896,26045,312,1798,1880,8704,454,2067,9912,38184,12558,50753,1214,5219,1990,6934,4154,13524,7358,25677,19916,76430,76,351,417,1501,183,650,1928,5173,2604,7675,314,1018,789,1837,2661,5856,3764,8711,6368,16386,848,1832,40028,120693
CED102,13220,26710,281,1618,1676,7809,417,1910,9514,36445,11888,47782,1009,4369,1391,4840,4213,13646,6613,22855,18501,70637,60,277,328,1158,194,714,1706,4503,2288,6652,238,819,627,1451,2713,6005,3578,8275,5866,14927,868,1866,38455,114140
CED103,13382,26764,186,987,1904,8412,311,1383,10489,39746,12890,50528,1238,5236,2252,7869,3783,12261,7273,25366,20163,75894,38,176,285,961,128,433,1426,3593,1877,5163,282,870,779,1822,2258,4916,3319,7608,5196,12771,865,1815,39606,117244
CED104,11397,22644,346,1877,2377,10825,416,1839,9601,38150,12740,52691,1648,6931,2695,9400,4229,13635,8572,29966,21312,82657,55,235,304,1021,77,265,1078,2864,1514,4385,265,844,569,1367,1567,3466,2401,5677,3915,10062,367,781,36991,116144
CED105,9893,20087,618,3819,2175,11099,715,3560,10206,42399,13714,60877,1334,6059,1510,5399,4218,14276,7062,25734,20776,86611,163,801,557,2238,322,1257,2860,8516,3902,12812,380,1320,741,1778,3150,7282,4271,10380,8173,23192,841,1872,39683,131762
CED106,12825,25387,251,1328,2601,11726,253,1082,10842,42561,13947,56697,1358,5593,3004,10385,3175,9863,7537,25841,21484,82538,32,135,367,1247,55,176,1158,2955,1612,4513,265,834,836,1965,1596,3412,2697,6211,4309,10724,491,1057,39109,119706
CED107,15095,29779,340,1961,1652,7699,556,2546,8806,35627,11354,47833,657,2648,1112,3467,2573,7996,4342,14111,15696,61944,98,430,478,1767,266,997,2967,8298,3809,11492,147,448,527,1105,1900,4013,2574,5566,6383,17058,536,1106,37710,109887
CED108,14223,28279,307,1680,1472,6652,611,2735,7880,30849,10270,41916,858,3547,1203,3998,3332,10505,5393,18050,15663,59966,91,401,437,1516,318,1114,2630,7120,3476,10151,248,771,520,1164,2167,4652,2935,6587,6411,16738,466,970,36763,105953
CED109,10266,20861,658,3957,2316,11459,1004,4900,10985,44397,14963,64713,1366,6052,1570,5540,4512,15129,7448,26721,22411,91434,238,1215,747,2957,602,2414,4224,12648,5811,19234,394,1357,700,1620,3322,7591,4416,10568,10227,29802,718,1569,43622,143666
CED110,14168,28054,241,1277,1628,7371,341,1525,9536,37114,11746,47287,1186,4983,1468,5129,3571,11443,6225,21555,17971,68842,54,200,288,961,141,488,1793,4574,2276,6223,277,886,564,1262,2220,4732,3061,6880,5337,13103,521,1082,37997,111081
CED111,16227,32114,238,1331,1445,6767,435,1972,6830,27191,8948,37261,498,1991,1083,3425,2308,7000,3889,12416,12837,49677,81,384,592,2140,285,1104,3428,9558,4386,13186,190,583,692,1458,1994,4193,2876,6234,7262,19420,433,904,36759,102115
CED112,13987,27711,286,1553,1694,7826,427,1924,9137,35675,11544,46978,1007,4177,1545,5295,3236,10294,5788,19766,17332,66744,74,324,440,1542,196,647,2218,5734,2928,8247,286,912,672,1500,2203,4703,3161,7115,6089,15362,616,1284,38024,111101
CED113,13222,26332,328,1807,1676,7817,607,2769,8267,32933,10878,45326,841,3482,1236,4174,2949,9335,5026,16991,15904,62317,109,510,561,2024,369,1325,3170,8782,4209,12641,323,1019,633,1389,2447,5209,3403,7617,7612,20258,452,922,37190,109829
CED114,16617,32756,246,1334,1521,7018,408,1844,7793,30508,9968,40704,606,2442,1139,3602,2402,7370,4147,13414,14115,54118,70,329,431,1476,180,625,2473,6663,3154,9093,171,521,530,1135,1656,3431,2357,5087,5511,14180,400,832,36643,101886
CED115,15870,31256,262,1436,1548,7115,477,2163,7508,29888,9795,40602,570,2274,1063,3298,2275,6930,3908,12502,13703,53104,73,324,422,1512,244,922,2645,7289,3384,10047,177,527,513,1094,1644,3467,2334,5088,5718,15135,450,940,35741,100435
CED116,8387,17292,518,3060,2380,11663,797,3859,8740,35901,12435,54483,1553,6921,1714,6160,4706,16094,7973,29175,20408,83658,159,763,752,2883,410,1543,3419,10038,4740,15227,481,1704,814,2001,3207,7640,4502,11345,9242,26572,776,1735,38813,129257
