SA4_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
101,1838,1549,3388,6372,5996,12371,1993,1853,3854,627,599,1227,8994,8450,17446,4174,4076,8248,1848,1854,3711,711,656,1370,6736,6589,13329,180,231,408,96,193,289,827,534,1369,651,1187,1843,23,31,51,1787,2179,3961,656,930,1587,317,562,881,143,266,414,745,1538,2285,12,15,25,1870,3313,5184,149,144,292,232,586,818,8,19,28,400,744,1137,9982,9346,19326,31606,32168,63776
102,3389,3098,6486,10323,9537,19860,2173,2218,4389,1536,1415,2947,14033,13163,27203,7063,6878,13944,1870,1875,3737,1471,1508,2982,10403,10259,20659,353,463,816,213,464,679,1309,761,2067,905,1739,2643,33,30,65,2804,3455,6262,1870,2452,4319,653,1166,1823,433,526,961,999,2121,3119,16,30,48,3971,6301,10275,209,322,530,437,958,1394,5,19,26,657,1296,1952,10230,11303,21528,45483,48877,94365
103,1929,1846,3770,6379,5937,12317,2198,2197,4395,642,579,1221,9222,8715,17932,4196,3874,8069,1564,1733,3302,909,870,1778,6668,6479,13142,183,287,468,118,280,398,782,592,1373,681,1338,2015,29,29,53,1791,2526,4316,819,1334,2152,297,453,755,148,286,438,589,1292,1881,4,11,21,1859,3376,5238,76,119,196,208,440,644,3,11,19,288,576,862,10909,9679,20597,32665,33195,65862
104,1247,1114,2357,3896,3711,7605,910,947,1861,703,666,1373,5511,5327,10837,2794,2749,5546,742,683,1426,666,657,1324,4206,4087,8293,178,269,444,125,351,470,437,324,768,415,867,1281,17,13,22,1163,1819,2981,262,463,722,168,357,521,79,153,233,340,778,1114,0,3,9,847,1758,2605,103,122,223,154,333,490,6,16,19,262,472,729,5717,5727,11448,18950,20299,39254
105,1174,1125,2303,3230,3023,6251,1295,1328,2626,375,318,691,4900,4666,9568,2386,2304,4689,507,558,1070,324,362,685,3221,3224,6443,113,170,281,55,203,258,378,281,658,347,700,1048,9,11,24,910,1365,2268,157,328,485,75,190,266,42,120,168,267,631,904,6,9,21,548,1286,1832,63,78,137,101,212,316,4,14,14,170,300,471,6597,5994,12588,17511,17962,35478
106,2726,2536,5260,8575,8199,16771,2282,2194,4475,1237,1139,2380,12098,11536,23628,5473,5349,10825,1740,1752,3488,1302,1199,2498,8516,8296,16810,307,421,728,124,302,431,1014,694,1707,749,1427,2179,25,21,46,2221,2862,5084,909,1379,2292,310,699,1012,230,358,589,671,1396,2066,5,15,18,2129,3851,5975,161,186,346,273,702,973,17,13,29,447,905,1354,10724,9884,20609,38865,39860,78730
107,3127,2831,5960,9061,8549,17612,2327,2399,4725,940,848,1785,12325,11791,24124,6108,5874,11978,2416,2601,5016,977,870,1849,9497,9347,18847,411,464,869,316,540,861,1303,630,1932,807,1276,2086,44,34,72,2877,2946,5822,4426,4660,9085,1748,1506,3253,446,582,1032,1091,1927,3020,21,21,43,7733,8695,16427,236,271,504,381,864,1247,3,17,23,620,1150,1774,8661,9042,17705,44842,45810,90647
108,1862,1672,3538,5638,5311,10942,1591,1619,3206,827,763,1592,8048,7686,15741,3837,3771,7610,1750,1683,3427,705,767,1477,6288,6222,12514,215,289,506,163,440,603,612,468,1079,511,1167,1675,23,17,43,1521,2388,3911,315,670,986,198,442,638,69,168,240,421,997,1416,13,11,18,1014,2281,3296,84,137,223,188,499,691,13,19,28,284,654,945,8961,9208,18168,27986,30118,58106
109,1025,970,1997,3150,2961,6110,1045,1088,2135,567,580,1153,4768,4638,9398,2227,2244,4472,684,710,1390,552,665,1218,3468,3622,7084,130,155,279,81,179,262,414,254,665,341,637,980,6,6,14,976,1229,2203,328,740,1064,141,287,422,77,120,195,268,600,868,4,10,9,815,1749,2565,60,85,147,140,288,433,10,6,17,206,388,592,5174,5308,10481,16428,17900,34330
110,1790,1679,3470,5520,5234,10748,1726,1741,3470,600,600,1198,7845,7573,15417,3953,3665,7618,842,975,1826,863,1061,1927,5663,5701,11366,154,198,358,129,243,375,528,443,969,480,944,1417,17,21,39,1315,1850,3168,1006,1431,2442,389,618,1010,181,313,497,471,1063,1539,14,17,30,2071,3451,5517,92,119,210,180,353,531,13,4,21,287,480,762,8874,9022,17897,27841,29757,57594
111,3591,3195,6784,10685,10174,20851,2449,2192,4640,1453,1413,2865,14577,13778,28358,7382,7175,14563,1903,1841,3745,1689,1563,3251,10978,10583,21560,493,602,1098,362,575,933,1357,854,2206,1177,1835,3006,36,25,61,3414,3889,7302,4425,5150,9567,1773,2037,3813,601,758,1356,1737,2803,4539,28,33,61,8559,10775,19334,189,273,468,472,918,1387,13,32,48,678,1224,1898,9664,10461,20131,51461,53900,105360
112,1938,1795,3732,6240,5684,11919,2123,2058,4184,1146,1125,2278,9511,8869,18380,4255,4249,8498,2023,2259,4277,877,927,1809,7153,7432,14584,249,330,582,199,542,742,690,471,1162,640,1337,1976,25,29,53,1796,2715,4508,818,1165,1984,601,911,1511,196,313,516,710,1663,2375,12,19,33,2338,4075,6417,137,181,315,281,584,865,10,13,23,424,778,1204,10687,11221,21902,33847,36880,70729
