SA4_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
101,524,685,705,1133,1979,2979,1906,5421,219,15560,847,1224,1575,2030,3152,3268,1631,2398,157,16298,403,843,810,1165,3014,3406,1633,2333,260,13869,549,1940,1674,2158,2060,1253,674,963,189,11455,598,1327,1495,1921,3870,2200,967,996,139,13513,366,2226,1264,1354,1430,849,511,720,132,8856,242,333,350,414,1106,958,671,1432,117,5624,356,2219,1287,1379,1771,1462,676,918,256,10321,112,133,80,116,293,294,113,194,501,1839,4007,10941,9242,11680,18678,16667,8779,15369,1971,97339
102,453,551,711,1021,2424,3672,2026,4641,147,15643,1140,2098,3018,3011,4690,5676,2289,3751,232,25902,534,1085,1304,1824,4560,6095,2422,3452,333,21602,788,2961,2837,3375,3139,1864,1085,1003,269,17315,724,2229,2743,2795,4852,3238,1178,1129,199,19083,558,4048,2316,2091,2172,1616,726,1111,204,14852,258,571,597,724,1979,1506,898,1650,167,8354,502,3179,1851,1820,2460,2262,944,1168,276,14463,116,172,134,146,368,389,127,247,684,2383,5073,16887,15515,16819,26643,26302,11689,18147,2512,139593
103,383,621,607,853,1333,2225,1408,5460,190,13073,623,1026,1549,1611,2464,2838,1398,2375,134,14014,359,607,639,892,2738,2923,1713,2722,220,12803,464,1716,1462,1828,1770,1101,478,615,177,9609,417,1163,1310,1636,2607,1439,652,696,88,10006,349,1949,1061,1115,1241,715,464,640,140,7681,298,351,390,428,1222,1269,1186,2201,163,7499,401,2107,1249,1209,1742,1504,702,1003,225,10131,96,104,81,90,167,161,84,160,526,1468,3377,9642,8344,9653,15282,14178,8097,15867,1847,86287
104,181,337,366,519,905,1213,701,1962,88,6279,437,823,1082,1380,1754,1677,780,1301,72,9300,205,515,511,772,1743,1528,659,1141,116,7189,305,1246,1125,1551,1079,492,330,438,116,6679,250,790,908,1170,1779,832,367,357,58,6504,216,1538,816,850,851,462,292,373,78,5475,116,274,266,341,594,459,325,752,68,3200,238,1617,927,998,979,788,353,524,156,6575,56,86,55,71,119,94,31,90,279,880,1990,7218,6060,7647,9811,7544,3837,6938,1029,52076
105,216,299,256,429,791,1295,769,3773,143,7964,358,410,624,745,1459,1583,718,1297,78,7271,201,293,298,403,1418,1387,810,1299,115,6232,285,834,729,1169,1317,726,322,428,119,5931,182,482,555,761,1585,881,324,379,64,5210,129,941,512,609,767,422,270,368,74,4091,150,195,211,199,583,589,471,1153,87,3641,169,999,654,656,942,914,324,711,149,5519,50,49,37,47,111,98,48,110,312,860,1742,4504,3878,5018,8966,7887,4056,9520,1132,46707
106,337,460,539,843,1614,2238,1410,4132,144,11715,738,1190,1783,1872,2703,3026,1575,2489,129,15517,580,874,1011,1249,4299,4630,2883,3861,299,19692,576,2248,2156,2407,1976,1270,805,848,225,12507,563,1553,1911,2008,3377,2118,920,861,121,13430,447,3067,1847,1583,1513,926,513,609,146,10649,516,619,699,838,2298,2110,2167,3169,225,12637,447,3027,1779,1717,2042,1923,800,1039,279,13055,78,114,88,119,260,224,109,241,536,1771,4276,13155,11816,12635,20078,18467,11188,17244,2098,110966
107,365,466,591,860,2117,2930,1811,4010,126,13274,1215,2330,3007,3097,5106,5728,2626,3804,208,27129,582,899,1110,1415,4540,5443,2453,2921,299,19665,719,3220,2782,2817,2595,1689,1025,881,220,15952,656,1991,2506,2545,4638,2659,1035,961,136,17128,426,3550,2067,1653,1754,1108,546,753,136,11985,317,589,525,546,2050,1473,1226,1758,143,8621,477,2698,1681,1562,1793,1609,596,953,220,11586,84,134,136,144,320,277,113,178,601,1987,4833,15889,14406,14645,24903,22913,11436,16216,2091,127331
108,279,460,477,704,1258,1556,950,2929,135,8759,585,1105,1502,1852,2272,2566,1047,1774,134,12837,374,758,798,1050,2428,2422,1094,1673,209,10790,477,1736,1684,2312,1570,800,464,517,188,9745,358,1119,1213,1648,2201,1201,463,497,92,8787,320,2199,1223,1315,1307,670,413,540,140,8128,211,369,448,421,876,662,491,1017,102,4608,530,2252,1364,1315,1323,1026,452,721,233,9221,81,105,68,83,143,118,51,132,501,1279,3216,10115,8784,10695,13376,11021,5417,9793,1735,74160
109,283,326,334,489,835,1396,906,3602,131,8295,372,593,884,1107,1387,1488,828,1212,75,7941,213,351,357,511,1499,1856,905,1172,141,6996,258,1027,931,1127,959,514,268,347,104,5535,269,748,825,1030,1429,861,362,319,51,5890,187,1323,674,684,641,447,281,395,67,4703,172,214,221,282,692,697,455,834,89,3666,264,1265,694,859,976,1012,443,573,182,6272,42,63,35,49,112,100,49,113,252,812,2052,5910,4957,6134,8535,8370,4492,8559,1087,50100
110,348,567,556,827,1330,2071,1238,5722,217,12886,560,963,1213,1437,2346,2384,1203,2184,132,12417,318,558,517,687,2432,2203,1152,1816,163,9848,374,1273,1191,1641,1514,776,421,569,171,7934,329,972,1025,1347,2442,1225,545,573,95,8550,297,1699,969,1016,1117,598,428,557,119,6801,217,338,322,428,989,994,710,1647,137,5784,353,1939,1114,1391,1801,1811,719,1061,261,10442,71,94,63,75,190,151,52,169,463,1331,2865,8400,6968,8846,14165,12221,6462,14302,1745,75985
