SA4_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
101,44,1625,655,250,1561,0.8,1228,2.4
102,42,1750,600,350,1560,0.8,1258,2.5
103,41,1500,594,235,1473,0.8,1166,2.4
104,46,1500,520,288,1249,0.8,1013,2.4
105,40,1278,590,190,1386,0.8,1110,2.4
106,39,1733,599,290,1548,0.8,1286,2.6
107,39,1950,591,330,1679,0.8,1352,2.6
108,50,1450,491,270,1174,0.8,936,2.3
109,43,1300,600,200,1422,0.8,1116,2.3
110,41,1309,579,220,1378,0.8,1107,2.4
111,40,1733,628,330,1670,0.8,1331,2.5
112,46,1600,550,300,1333,0.8,1069,2.4
113,39,1365,643,220,1517,0.8,1232,2.5
114,48,1625,552,295,1340,0.7,1091,2.4
115,39,2500,801,550,2397,0.8,2270,3.1
116,33,2150,672,380,1818,0.9,1712,3.2
117,33,2500,904,550,2369,1.1,1894,2.2
118,35,2900,1020,580,2756,1,2163,2.4
119,35,2167,565,415,1576,1.1,1431,2.9
120,36,2500,828,500,2282,1,1964,2.6
121,38,2600,1029,555,2814,1,2333,2.6
122,40,2800,916,565,2528,0.9,2178,2.7
123,35,2000,686,360,1794,0.9,1637,3
124,37,1950,715,365,1852,0.8,1589,2.7
125,33,2037,586,410,1631,1.1,1520,3
126,37,2383,760,470,2236,1,1919,2.7
127,35,2000,500,365,1489,1,1429,3.3
128,40,2427,836,450,2312,0.9,1979,2.7
197,58,0,540,0,0,0,0,0
199,39,0,405,0,0,0,0,0
