SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
101,50,40,87,303,294,596,19,10,25,0,8,13,58,73,129,34708,30759,65467,2310,2916,5225,1407,61,1471,530,63,590,314,96,410,486,248,733,1951,1888,3843,42139,36447,78589,7,12,17,0,0,0,0,0,0,44,31,74,5,17,23,0,0,3,58,60,115,0,0,0,0,0,3,44,63,109,26,55,81,7,10,19,77,126,205,422,220,638,558,405,962,22,9,35,6,3,13,32,8,36,58,21,82,2918,3196,6114,4153,6238,10391,624,569,1195,50446,46886,97339
102,3141,2208,5346,611,824,1437,31,8,39,6,6,12,46,47,95,48232,42845,91077,3195,3192,6388,1478,33,1506,535,37,567,310,81,390,424,223,650,1162,1171,2326,59164,50681,109846,765,516,1278,14,6,19,9,12,19,1500,954,2451,172,251,426,142,38,181,2605,1780,4378,9,6,7,0,0,0,28,21,43,46,87,127,5,4,11,81,117,200,619,249,867,3308,2141,5450,465,284,743,14,14,30,27,9,37,507,303,814,2861,4254,7113,5512,9404,14916,729,728,1456,72088,67514,139593
103,68,47,116,215,116,336,18,3,17,4,0,5,80,91,171,30946,27336,58284,2313,2254,4573,1176,57,1234,320,36,356,260,57,316,375,155,530,2037,1740,3775,37819,31901,69722,8,10,18,0,0,0,0,0,0,21,9,30,0,0,3,0,0,0,32,23,56,0,0,0,0,0,0,28,10,39,15,11,24,4,3,10,46,25,65,323,153,470,402,192,592,9,12,22,12,3,14,38,11,51,57,27,84,2963,3043,6004,3453,5312,8762,605,515,1120,45297,40989,86287
104,19,8,24,116,100,215,10,0,10,0,0,0,21,26,51,18374,17140,35514,1265,1621,2883,677,19,690,286,34,321,324,118,447,217,128,350,987,902,1886,22300,20111,42410,3,3,12,0,0,0,0,0,0,7,6,11,3,0,3,0,3,4,13,11,30,0,0,0,0,0,0,3,8,12,16,20,32,3,0,7,24,23,44,215,98,318,252,136,391,7,0,8,6,0,5,13,3,20,26,9,34,1412,1743,3151,2064,3400,5465,328,298,632,26388,25696,52076
105,13,4,11,151,90,244,6,7,11,0,0,3,31,38,66,16028,14745,30777,1203,1426,2634,625,21,647,310,54,362,169,50,224,272,134,402,1378,1296,2676,20179,17866,38044,3,0,8,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,11,6,13,0,0,0,0,0,0,5,9,13,3,4,7,3,0,5,13,16,26,188,91,279,210,108,322,4,4,9,3,0,3,30,4,39,37,13,49,1808,1590,3394,1683,2558,4238,357,308,663,24273,22440,46707
106,154,119,268,291,244,535,16,11,24,4,0,8,41,43,81,43029,35934,78965,2734,2487,5222,1192,37,1230,524,46,569,258,46,307,422,191,617,1461,1229,2692,50117,40393,90512,45,61,105,0,0,0,0,0,0,77,44,117,12,14,20,10,3,18,146,123,262,5,3,7,0,0,0,23,17,36,15,31,43,7,5,13,50,47,98,551,246,798,747,412,1158,43,61,107,11,16,24,20,8,23,70,79,149,1990,2977,4972,5474,7507,12983,635,556,1191,59029,51933,110966
107,1998,1465,3466,835,1021,1857,14,5,20,9,5,15,70,72,142,46794,39947,86742,2829,3277,6106,1029,19,1051,518,47,569,546,135,679,364,193,555,1558,1730,3286,56570,47918,104496,191,163,357,0,0,0,13,0,12,792,447,1238,98,132,230,98,18,120,1191,759,1955,0,0,0,0,0,0,33,48,77,41,69,108,25,16,45,97,130,226,479,248,720,1759,1139,2901,124,114,241,12,15,30,26,5,27,164,133,296,1775,2791,4565,5440,8513,13952,625,503,1127,66333,60992,127331
108,28,19,51,175,144,319,9,3,11,0,5,7,45,52,93,25858,24495,50351,1688,2080,3770,1047,34,1077,426,45,465,320,82,408,305,154,460,1294,1331,2625,31202,28444,59647,5,3,14,0,0,0,3,0,3,8,11,13,4,0,5,0,0,9,24,19,41,0,0,0,0,0,0,7,5,17,6,14,25,6,0,9,25,29,49,314,139,456,363,183,547,5,3,13,4,3,6,12,8,21,27,16,39,2069,2461,4528,3215,5078,8296,564,540,1098,37433,36723,74160
109,16,13,32,117,100,215,10,4,10,3,12,15,20,21,46,18348,16188,34538,1094,1128,2221,497,12,511,197,24,217,278,85,366,266,118,383,1165,1090,2252,22012,18799,40810,3,0,3,0,0,0,0,0,0,3,4,9,0,0,0,4,0,4,10,11,20,0,0,0,0,0,0,10,3,6,5,7,13,0,3,4,16,14,25,197,87,284,218,109,330,9,3,10,0,0,0,9,10,22,20,9,34,1708,1639,3350,1825,3115,4940,329,302,638,26119,23980,50100
110,24,7,36,230,138,365,9,3,14,0,3,3,72,58,130,26333,23627,49964,2068,2096,4163,1325,69,1391,431,47,483,251,66,313,383,196,576,1941,1601,3545,33074,27924,60994,8,0,7,0,0,0,0,0,0,7,9,18,0,0,0,3,0,3,19,11,26,0,0,0,0,0,0,40,7,53,14,17,31,7,5,8,60,23,90,305,136,444,388,171,559,6,3,11,0,3,7,23,8,29,35,13,43,3150,3206,6361,2645,4300,6949,562,515,1074,39847,36134,75985
