region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC10001,29,28,57,68,64,132,84,92,176,17,20,37,169,176,345,93,96,189,89,93,182,16,19,35,198,208,406,11,5,16,3,8,11,37,13,50,7,19,26,0,0,0,58,45,103,89,113,202,10,13,23,11,16,27,12,7,19,0,3,3,122,152,274,3,0,3,7,8,15,0,0,0,10,8,18,98,97,195,684,714,1398
SSC10002,43,40,83,83,95,178,47,41,88,15,15,30,145,151,296,51,45,96,41,49,90,26,19,45,118,113,231,4,10,14,0,11,11,16,8,24,14,20,34,0,0,0,34,49,83,48,56,104,12,16,28,7,10,17,44,62,106,0,0,0,111,144,255,0,0,0,8,21,29,0,0,0,8,21,29,161,128,289,620,646,1266
SSC10003,14,15,29,30,37,67,23,22,45,8,12,20,61,71,132,28,11,39,13,20,33,16,12,28,57,43,100,3,5,8,0,0,0,7,0,7,8,5,13,0,0,0,18,10,28,7,7,14,0,3,3,3,0,3,3,11,14,0,0,0,13,21,34,0,0,0,3,0,3,0,0,0,3,0,3,22,24,46,188,184,372
SSC10004,26,18,44,95,65,160,20,18,38,15,6,21,130,89,219,73,64,137,9,9,18,5,7,12,87,80,167,3,3,6,0,6,6,17,5,22,8,17,25,0,0,0,28,31,59,3,3,6,3,6,9,0,5,5,7,12,19,0,0,0,13,26,39,5,4,9,10,5,15,0,0,0,15,9,24,101,81,182,400,334,734
SSC10005,27,20,47,91,65,156,12,26,38,5,4,9,108,95,203,50,29,79,16,20,36,3,3,6,69,52,121,0,0,0,3,0,3,15,8,23,10,14,24,0,0,0,28,22,50,0,4,4,0,0,0,0,3,3,0,10,10,0,0,0,0,17,17,0,0,0,0,3,3,0,0,0,0,3,3,60,64,124,292,273,565
SSC10006,0,6,6,12,3,15,4,5,9,3,0,3,19,8,27,7,3,10,3,3,6,0,0,0,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,33,26,59
SSC10007,38,51,89,84,79,163,60,76,136,10,4,14,154,159,313,62,78,140,44,53,97,10,8,18,116,139,255,10,3,13,0,7,7,13,10,23,8,20,28,0,0,0,31,40,71,11,24,35,3,7,10,3,0,3,5,20,25,0,0,0,22,51,73,0,0,0,6,3,9,0,0,0,6,3,9,75,56,131,442,499,941
SSC10008,29,36,65,80,80,160,7,13,20,6,6,12,93,99,192,55,64,119,9,9,18,4,3,7,68,76,144,4,6,10,0,10,10,9,6,15,6,13,19,4,0,4,23,35,58,6,5,11,0,3,3,0,3,3,0,9,9,0,0,0,6,20,26,0,3,3,3,3,6,0,0,0,3,6,9,58,86,144,280,358,638
SSC10009,6,0,6,21,8,29,0,0,0,0,5,5,21,13,34,9,9,18,0,0,0,3,0,3,12,9,21,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,48,34,82
SSC10010,51,53,104,147,122,269,37,43,80,11,13,24,195,178,373,68,71,139,56,54,110,26,15,41,150,140,290,12,9,21,0,14,14,21,3,24,19,19,38,0,0,0,52,45,97,37,49,86,7,7,14,9,10,19,19,23,42,0,0,0,72,89,161,4,0,4,4,10,14,0,0,0,8,10,18,67,78,145,595,593,1188
