region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC10001,70,82,152,130,155,285,81,82,163,22,18,40,0,0,0,1205,1244,2449,0,0,0,169,158,327,5,6,11,4,0,4,7,3,10,27,18,45,3,3,6,9,12,21,19,17,36,0,3,3,3,3,6,21,27,48,24,26,50,0,0,0,1729,1775,3504,16,25,41,54,45,99,0,0,0,0,0,0,6,6,12,6,6,12,113,96,209,6,4,10,86,81,167,2080,2114,4194
SSC10002,29,63,92,322,384,706,3,5,8,11,11,22,0,0,0,994,1157,2151,3,3,6,92,125,217,0,4,4,5,4,9,6,9,15,17,13,30,0,5,5,7,13,20,58,92,150,0,4,4,0,3,3,47,51,98,31,36,67,6,4,10,1602,1923,3525,12,12,24,17,27,44,13,18,31,0,0,0,9,11,20,9,11,20,496,488,984,18,11,29,212,150,362,2408,2703,5111
SSC10003,3,3,6,113,135,248,0,0,0,11,9,20,14,6,20,178,189,367,0,0,0,0,0,0,5,0,5,0,0,0,3,3,6,0,0,0,3,7,10,3,3,6,21,26,47,0,5,5,3,5,8,18,31,49,10,6,16,0,0,0,382,425,807,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,59,127,4,0,4,37,26,63,494,516,1010
SSC10004,8,12,20,401,388,789,0,0,0,15,16,31,0,0,0,211,221,432,0,0,0,0,0,0,6,8,14,6,0,6,3,0,3,0,0,0,3,4,7,7,9,16,63,81,144,15,9,24,3,3,6,100,81,181,18,28,46,0,0,0,851,848,1699,3,3,6,3,0,3,0,0,0,0,0,0,0,4,4,0,4,4,257,192,449,6,3,9,117,104,221,1245,1166,2411
SSC10005,4,7,11,406,380,786,0,0,0,3,10,13,0,0,0,300,304,604,0,0,0,0,0,0,8,8,16,3,3,6,0,0,0,0,0,0,3,0,3,3,3,6,44,26,70,4,7,11,0,0,0,49,41,90,17,14,31,0,0,0,840,796,1636,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,152,121,273,3,3,6,57,56,113,1059,983,2042
SSC10006,0,0,0,45,36,81,0,0,0,0,3,3,0,0,0,41,44,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,3,4,7,3,3,6,0,0,0,101,93,194,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,22,9,31,0,0,0,5,0,5,131,102,233
SSC10007,4,8,12,406,423,829,0,0,0,34,24,58,0,0,0,437,502,939,0,3,3,0,0,0,0,0,0,0,0,0,3,5,8,3,0,3,3,4,7,6,8,14,36,43,79,12,11,23,3,6,9,73,89,162,23,35,58,3,0,3,1042,1153,2195,7,5,12,0,0,0,0,0,0,0,0,0,4,3,7,4,3,7,240,228,468,3,4,7,82,73,155,1382,1474,2856
SSC10008,7,6,13,352,369,721,0,0,0,17,17,34,0,0,0,235,247,482,0,0,0,3,0,3,9,24,33,9,4,13,3,4,7,0,0,0,3,3,6,8,8,16,48,39,87,5,11,16,0,0,0,87,98,185,20,24,44,0,3,3,799,851,1650,5,7,12,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,252,210,462,4,4,8,85,88,173,1152,1170,2322
SSC10009,3,0,3,42,35,77,0,0,0,0,3,3,0,0,0,16,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,5,3,8,0,0,0,0,0,0,8,10,18,0,4,4,0,0,0,76,82,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,49,0,0,0,7,3,10,115,105,220
SSC10010,44,46,90,235,254,489,0,5,5,29,41,70,3,5,8,572,637,1209,12,11,23,44,33,77,5,8,13,14,3,17,4,5,9,11,19,30,5,3,8,40,50,90,40,42,82,0,0,0,20,27,47,42,50,92,33,32,65,4,5,9,1113,1230,2343,160,130,290,77,74,151,0,0,0,0,0,0,99,82,181,99,82,181,252,219,471,14,10,24,56,75,131,1815,1866,3681
