UCL_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL101001,0,9,13,131,163,667,1797,1468,557,4806,0,19,104,632,318,598,521,288,149,2633,7,42,242,1109,598,476,349,135,61,3026,45,312,7593,16766,668,423,170,32,0,26006,25,120,157,747,397,356,681,629,352,3454,274,2054,4481,13021,6928,5733,3342,1428,422,37683,7,37,89,989,846,1385,1555,779,288,5972,162,1568,1265,7271,1449,770,406,100,23,13007,0,18,67,294,541,387,236,114,52,1701,137,1525,3420,21214,8794,8580,5970,1523,521,51684,11,57,88,1996,814,993,1282,558,459,6260,7,225,462,1183,1076,968,532,170,29,4655,12,119,228,1445,1092,1455,1356,973,384,7059,120,846,870,2022,953,867,793,283,90,6846,97,849,1442,5894,3930,2758,2023,1086,374,18462,51,422,816,4924,2432,2519,1650,815,334,13967,47,201,338,4004,1017,724,777,116,18,7243,53,391,1003,10592,2572,1364,697,147,25,16844,24,175,167,1751,1575,1355,956,494,115,6613,416,1481,1484,5021,1534,1165,777,313,86,12289
UCL102001,0,0,0,0,0,0,5,8,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,11,0,4,24,191,0,0,0,0,0,225,0,0,0,6,0,11,12,3,0,30,0,7,24,80,63,32,14,10,0,232,0,4,6,50,37,56,54,30,11,242,0,7,0,31,0,0,0,0,0,44,0,0,0,9,12,3,0,0,0,18,0,25,29,117,49,42,31,0,0,299,0,0,0,5,3,6,13,3,6,31,0,0,4,9,7,0,0,0,0,19,0,0,5,9,7,19,5,4,7,52,4,3,0,8,3,0,0,0,0,18,0,3,10,29,17,10,5,0,0,75,0,3,0,15,4,6,0,0,0,37,0,0,0,8,0,0,0,0,0,9,0,8,5,40,20,6,4,0,0,82,0,0,0,0,3,3,0,0,0,8,6,6,16,38,11,7,9,0,0,87
UCL102002,0,0,0,4,5,33,125,82,23,268,0,0,3,15,8,19,30,13,14,100,0,0,0,12,8,3,7,7,5,39,0,6,37,206,7,0,0,0,0,247,0,4,8,38,35,59,135,128,67,477,12,75,129,619,557,593,467,229,82,2764,0,0,0,0,0,10,3,0,0,16,0,11,9,37,8,10,8,0,4,88,0,0,4,31,41,41,24,5,4,156,5,63,95,651,304,331,199,41,18,1705,0,0,0,83,34,25,48,20,17,228,0,0,0,5,10,3,0,4,0,25,3,14,30,88,95,154,216,186,85,868,0,15,3,40,20,28,20,4,0,126,8,44,74,299,212,155,137,79,21,1028,0,7,3,49,26,19,22,6,3,134,0,9,0,30,15,10,5,0,0,68,3,29,44,316,142,80,22,4,0,631,0,0,0,13,9,17,9,4,0,58,0,39,64,203,97,91,73,24,3,596
UCL102003,0,0,0,0,0,3,16,7,3,34,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,9,4,6,27,27,11,84,6,20,38,219,165,194,225,109,47,1029,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,3,0,7,7,18,8,0,0,50,5,15,15,126,56,57,45,16,3,338,0,0,0,10,5,6,7,0,3,31,0,0,0,0,4,0,0,0,0,11,0,0,5,14,18,35,42,57,26,198,0,4,0,4,3,3,8,5,0,24,0,8,8,58,24,28,22,9,3,164,0,0,0,8,0,8,3,0,0,19,0,0,0,8,0,0,0,0,0,12,0,6,11,50,35,20,5,0,0,128,0,0,0,0,8,0,0,0,0,8,4,7,15,48,14,22,18,6,4,134
UCL102004,0,0,0,3,0,11,30,13,4,68,0,0,0,13,8,9,12,3,3,43,0,0,8,27,3,5,3,0,0,46,0,8,51,236,7,9,0,0,0,309,0,3,6,29,28,33,92,79,29,307,14,65,121,472,367,327,231,120,23,1730,0,0,7,31,43,99,140,80,50,445,11,41,15,112,11,3,9,5,0,198,0,0,7,26,45,27,15,3,0,129,0,55,101,484,213,227,165,43,5,1293,0,0,0,48,23,37,62,56,32,263,0,0,5,12,15,19,16,3,6,64,0,21,26,83,83,118,166,112,41,660,3,6,26,42,24,20,9,6,0,142,0,43,71,269,131,108,62,22,11,727,0,4,15,78,37,24,14,7,0,184,0,6,8,50,16,5,5,0,0,82,3,20,43,262,115,45,17,3,0,504,0,0,5,8,4,11,0,4,0,32,26,62,67,282,77,90,51,27,4,675
UCL102005,0,0,0,3,14,40,108,74,25,270,0,0,0,7,7,7,5,3,0,23,0,7,8,76,19,10,19,4,5,150,0,0,28,135,4,0,4,0,0,173,3,3,12,37,20,36,159,142,66,471,9,45,108,415,284,289,197,86,24,1459,0,7,15,183,263,446,593,362,103,1968,3,11,13,113,16,12,9,0,0,184,0,4,9,15,12,17,8,0,0,57,5,43,74,442,196,244,182,48,11,1240,0,0,3,51,33,30,81,33,30,271,0,0,0,11,7,7,0,0,0,28,0,6,17,43,90,235,240,179,89,902,0,17,12,30,19,14,11,4,0,107,0,22,45,175,87,70,58,19,6,482,0,5,23,66,28,20,13,7,8,170,0,8,0,33,10,10,6,0,0,76,0,47,85,302,128,73,20,10,0,663,0,6,3,63,115,82,57,52,8,391,9,39,60,190,80,48,55,21,0,499
UCL111001,0,0,0,0,0,0,0,7,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25,56,74,0,3,0,0,0,169,0,0,0,0,8,7,27,32,13,97,3,13,12,64,46,56,57,19,4,274,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,26,0,0,0,0,7,4,0,0,0,10,3,14,20,103,55,33,26,9,0,258,0,0,0,5,0,4,4,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,18,14,10,12,68,0,0,6,8,4,4,0,0,0,17,0,4,11,24,15,8,10,4,0,84,0,4,0,18,8,5,4,0,0,39,0,0,0,13,0,0,0,0,0,10,0,4,6,35,25,6,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,29,3,12,6,3,0,61
UCL111002,0,0,0,0,0,0,7,3,0,11,0,0,3,0,0,0,0,0,0,5,0,14,42,134,24,16,7,6,0,234,0,0,6,25,0,0,0,0,0,32,0,0,0,4,3,10,24,25,11,82,0,15,18,75,64,85,64,44,13,372,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,12,0,0,5,8,11,12,4,0,0,44,0,12,12,92,37,46,23,6,0,230,0,0,0,4,6,0,10,0,0,28,0,0,4,0,7,0,3,0,0,14,0,0,4,3,14,9,18,22,12,81,0,3,0,9,0,4,0,0,0,12,3,6,9,38,34,16,23,14,6,147,0,0,0,7,0,0,4,0,0,19,0,0,0,18,0,3,0,0,0,19,0,19,23,24,22,9,12,4,0,107,5,0,0,0,0,0,3,0,0,6,0,10,4,26,13,7,15,5,0,89
UCL111003,0,0,0,0,0,8,7,7,0,17,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,40,0,0,0,0,3,4,24,20,5,58,3,23,32,136,99,74,42,19,0,432,0,0,0,0,3,4,0,0,0,5,0,6,0,23,6,3,3,0,0,42,0,0,0,3,6,4,0,0,0,20,0,20,28,151,76,92,40,13,0,423,0,0,0,6,5,4,10,3,5,38,0,0,0,6,6,0,3,0,0,25,0,3,8,19,12,34,22,22,4,118,0,7,0,5,3,0,0,0,0,11,4,16,18,57,54,9,8,6,5,173,0,5,5,26,5,0,5,0,0,44,0,0,0,47,8,0,0,0,0,53,0,10,9,68,22,10,4,0,0,121,0,0,0,0,0,0,0,0,0,5,0,8,7,41,8,17,7,0,0,90
UCL112001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,3,25,109,6,0,0,0,0,139,0,0,0,0,0,4,8,7,0,25,0,6,14,29,16,10,15,9,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,6,4,4,0,0,0,17,0,3,10,54,12,11,5,0,0,99,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,8,8,6,4,35,0,0,0,0,3,0,0,0,0,9,0,0,5,15,12,5,6,4,0,47,3,6,7,21,13,0,0,0,0,48,0,0,0,9,0,0,0,0,0,12,0,5,4,8,7,0,0,0,0,15,0,0,0,5,0,0,0,0,0,3,0,7,4,9,7,9,12,6,0,59
