UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL101001,12181,67847,16248,15115,2447,162316,49197,12878,106832,36566,36224,6837,248536,3368,788,10257,3921,4667,569,23576,5031,1225,12578,8516,23692,1334,52379,12019,1428,26323,10439,15080,9106,74392,309088,62375,675282,243580,330691,50527,1671544
UCL102001,118,510,126,174,18,1214,279,109,595,320,398,42,1750,20,13,65,20,46,10,180,31,7,73,74,325,6,527,53,8,88,57,182,58,452,2244,706,3920,2417,4691,407,14383
UCL102002,851,4700,1341,1705,155,10367,1927,1072,6861,3910,6672,640,21081,72,35,341,238,456,30,1182,130,61,470,635,2669,96,4063,182,36,678,505,1494,437,3328,6976,3224,24616,17093,41734,3131,96767
UCL102003,214,934,284,363,40,2130,412,223,1350,732,1156,142,4017,21,5,83,59,113,10,287,22,15,114,148,480,25,799,36,5,152,130,284,94,697,1193,663,4794,3206,7706,678,18240
UCL102004,1090,6762,1594,2026,196,14807,3641,1468,10797,4431,7086,675,28098,71,39,423,213,480,31,1257,187,80,621,675,2950,91,4606,236,61,780,455,1562,458,3553,12123,4660,37291,18395,44979,3162,120609
UCL102005,1126,4794,1302,1685,144,11942,2453,960,6127,3341,5399,475,18752,95,44,364,202,353,30,1083,180,45,483,500,2398,60,3681,222,42,605,351,1263,366,2842,9677,3429,24769,14595,36000,2381,90862
UCL111001,248,995,281,355,24,2230,405,248,1310,707,1144,98,3909,4,10,37,22,55,0,141,22,5,62,124,494,17,716,30,5,71,76,258,85,522,1278,781,4412,2762,7411,491,17133
UCL111002,171,833,239,314,30,1802,383,199,1327,635,1126,124,3798,13,0,47,32,103,9,202,13,12,62,119,442,19,660,19,5,76,45,223,86,465,977,583,3906,2435,6386,523,14811
UCL111003,237,1238,380,603,35,2902,436,275,1684,1059,2109,160,5728,7,5,42,40,100,9,203,24,17,91,208,1006,25,1371,31,9,101,114,491,130,879,1566,844,5939,4712,14565,811,28431
UCL112001,155,561,155,206,30,1698,202,77,484,201,301,28,1290,7,0,21,11,25,5,65,17,4,52,17,132,6,228,25,0,29,13,52,21,142,1230,344,1901,789,2054,168,6490
