UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL101001,15091,10285,6798,3476,12048,11309,2871,5103,735,67716,9188,11534,9579,5129,20975,21847,4056,8750,18601,109662,232114,277237,221875,127465,457091,487033,113773,236506,37858,2190950
UCL102001,39,97,74,42,179,168,56,94,3,741,19,72,56,37,159,174,38,73,125,753,876,2206,1876,1333,5144,5115,1525,2443,277,20802
UCL102002,1250,843,482,266,1036,842,220,381,79,5401,467,688,511,309,1013,1005,198,464,967,5618,15179,22277,16507,10594,28128,26387,6705,12840,2214,140842
UCL102003,98,184,145,103,190,174,39,84,17,1023,88,198,118,63,189,179,37,96,219,1183,1694,4701,3700,2589,4960,4493,1265,2702,491,26594
UCL102004,386,1078,813,496,1284,1164,326,562,44,6151,276,676,486,336,1068,1150,267,489,901,5649,9959,26031,20910,14181,34915,33793,9587,17117,2023,168526
UCL102005,1111,654,429,212,848,859,186,400,52,4752,409,543,414,227,802,834,175,378,791,4575,13471,19252,14608,8867,26105,24042,6888,11957,1795,126982
UCL111001,24,141,114,68,190,212,67,105,10,927,34,114,89,46,181,182,64,97,153,956,1041,3668,3084,2198,5302,4976,1600,2836,357,25063
UCL111002,31,133,96,84,208,170,52,85,13,872,41,150,75,49,150,140,25,68,162,845,1038,3700,2925,2094,4596,3643,1109,2120,395,21619
UCL111003,111,280,223,141,366,387,104,192,20,1818,79,165,133,82,298,333,89,170,264,1610,2507,5956,4843,3281,9213,8404,2741,5081,570,42593
UCL112001,11,55,43,18,67,55,13,19,7,294,15,33,20,8,37,34,13,27,55,241,446,1535,1090,711,2246,1398,504,950,136,9013
