UCL_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
UCL101001,128,964,3634,16599,11629,10027,6261,1898,964,52106,8,35,48,547,352,299,233,183,67,1775,3,60,323,985,511,346,140,53,16,2442,653,5009,6630,39192,16817,14946,12917,8131,3732,108025,5539,11712,11989,35531,11483,9588,8081,6417,4814,105147,137189,283855,279236,740439,304077,260048,198163,114713,56501,2374220,68,626,1579,7046,2093,1418,754,247,53,13887,260695,479934,400919,635317,276526,214497,153596,87565,39859,2548914,151,1272,2179,17055,3877,2164,846,124,11,27677,6,39,79,2094,1119,1614,985,507,147,6580,68,428,1062,13890,1387,683,252,92,31,17887,32,208,674,3872,2760,2665,1838,697,262,13006,133,460,639,4180,1839,1251,655,290,57,9506,27,155,285,3342,2090,2125,2064,1283,239,11603,634,6526,18061,96897,33178,39179,24924,10229,5482,235108,3,41,55,1476,1212,2412,3038,2898,1039,12183,90,1049,989,4888,2024,3020,3613,2437,956,19062,750,5945,7414,36097,23299,22787,17295,12278,4449,130309,36,484,1438,11432,7105,6834,4002,1716,383,33429,67,485,645,5674,1478,839,564,316,153,10223
UCL102001,0,0,0,17,10,3,4,0,0,42,0,0,0,5,7,5,0,3,0,13,0,3,0,10,3,4,0,0,0,31,0,13,15,157,77,75,65,53,26,477,55,102,70,270,80,101,93,61,31,864,1178,2114,2074,5762,2683,2242,1435,810,364,18658,0,0,3,8,0,0,0,0,0,14,2181,3993,3705,7832,4050,3271,1776,761,264,27837,0,9,6,121,12,3,7,0,0,155,0,0,0,10,0,6,5,3,0,33,0,0,0,19,9,0,0,0,0,33,0,0,0,5,0,0,0,6,0,18,0,6,8,26,10,17,15,0,0,81,0,0,0,7,7,4,7,0,0,24,0,8,3,68,35,30,11,3,0,171,0,0,5,11,12,24,35,52,20,155,0,8,0,24,0,5,5,0,0,48,0,23,35,139,150,198,132,87,28,801,3,4,17,53,26,6,9,6,0,122,0,4,5,9,9,9,0,0,0,37
UCL102002,0,17,20,121,57,24,22,4,0,265,0,9,7,45,38,37,36,48,14,235,0,4,19,56,30,33,13,10,0,161,7,96,104,751,481,449,483,357,149,2879,351,851,745,1809,864,901,1084,1042,751,8396,8971,19460,17603,38833,21205,21903,20461,13222,6435,168091,0,0,0,7,0,0,0,0,0,19,17571,36721,32173,58507,30923,30637,26896,16177,6758,256361,0,14,5,97,3,5,5,0,0,131,0,0,0,16,7,13,13,7,0,61,0,13,11,280,50,16,16,9,0,399,0,3,8,42,17,7,5,0,0,88,4,30,43,217,127,100,72,34,12,630,0,6,10,56,88,63,80,67,8,378,6,59,68,536,330,355,333,97,25,1811,0,3,0,17,30,70,64,86,26,296,3,26,6,90,18,56,76,83,41,404,33,437,603,2239,2085,3027,3025,2489,951,14900,0,13,19,144,83,88,55,18,3,434,4,16,11,119,59,51,52,20,10,329
UCL102003,0,7,0,22,7,4,0,0,0,36,0,0,0,6,5,14,18,6,12,62,0,0,0,4,7,6,4,0,0,29,0,13,17,159,63,68,89,56,29,495,74,170,139,445,215,227,264,259,180,1969,1442,3328,2947,6920,4018,4757,4866,3401,1787,33464,0,0,0,0,0,0,0,0,0,0,2746,6299,5225,9646,5825,6697,6728,4157,1888,49214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,4,0,16,0,19,24,274,33,0,0,0,0,355,0,0,0,6,0,0,0,0,0,5,4,6,11,58,31,26,14,12,0,161,0,0,0,8,0,0,6,0,0,16,0,10,6,59,40,32,18,3,7,168,0,0,0,5,0,3,3,7,0,20,0,0,0,0,0,5,5,5,6,19,10,59,92,302,318,505,658,798,370,3110,0,5,0,15,12,8,9,8,0,68,0,3,0,37,17,8,11,7,3,92
UCL102004,0,32,52,221,67,41,10,4,3,436,0,0,9,31,32,34,33,26,16,179,0,7,32,63,21,13,14,0,0,144,44,213,249,963,368,271,284,266,134,2784,245,626,883,1648,668,748,865,785,539,7014,9198,19945,21776,46147,22124,21716,19145,11920,6078,178047,5,72,40,155,18,6,3,0,0,311,18063,37695,38806,73168,35668,34512,28890,16528,7092,290415,4,34,26,230,30,17,5,0,0,359,0,0,0,50,25,51,53,27,3,212,0,14,8,231,36,9,9,5,0,291,0,7,8,52,26,19,15,7,0,140,10,35,59,268,151,88,62,24,3,694,0,6,3,58,24,22,24,9,0,151,6,57,202,938,270,208,161,49,21,1905,0,0,3,29,31,81,42,85,22,300,3,17,6,47,13,21,40,30,6,182,47,320,440,1544,1121,1512,1516,1175,416,8093,0,0,14,90,47,61,42,13,8,268,0,15,14,93,39,38,15,12,3,231
UCL102005,6,24,90,199,107,94,71,22,6,620,0,4,10,26,41,85,62,43,23,294,0,3,10,34,16,8,11,0,0,78,20,193,262,987,575,716,704,534,313,4310,248,689,709,1499,606,605,643,609,390,6002,7665,16595,18190,36220,17967,17634,14536,9386,4455,142645,0,3,8,16,4,5,4,3,0,55,15152,30924,32097,55507,26243,23140,16416,9084,3628,212189,0,6,36,156,15,12,3,0,0,231,0,0,4,125,56,105,66,47,16,420,0,7,16,139,44,20,10,0,0,245,0,3,6,25,19,11,6,0,0,79,9,44,39,248,107,75,40,10,3,568,0,6,15,89,163,126,164,130,20,711,4,68,229,989,252,231,136,59,28,1983,0,4,0,116,101,176,201,238,105,943,12,38,15,71,24,24,58,27,15,285,21,263,347,1152,1420,2717,2288,1851,649,10705,0,10,14,121,49,56,33,18,4,305,0,8,14,70,42,48,41,19,7,250
UCL111001,0,5,4,21,8,0,4,0,0,39,0,0,5,3,0,8,7,0,0,25,0,0,3,3,3,0,0,0,0,17,6,41,43,203,102,76,61,67,28,627,95,168,170,381,152,183,156,151,64,1522,1667,3245,3295,7061,3294,3362,3049,1942,882,27809,0,0,0,0,0,0,0,0,0,3,3195,5903,5635,10536,5129,5162,4594,2551,1044,43760,0,5,0,41,15,0,0,0,0,65,0,0,0,0,0,3,7,3,0,11,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,6,3,6,3,19,13,17,11,0,0,61,0,0,0,8,4,0,3,0,0,17,3,8,8,55,28,19,13,0,0,137,0,0,0,0,6,12,14,17,4,47,0,0,4,4,0,0,5,0,0,15,3,19,48,127,130,248,220,182,57,1029,0,0,3,18,13,11,0,0,0,44,0,0,5,10,4,3,0,0,0,21
UCL111002,0,0,0,23,3,0,3,0,0,34,0,0,0,5,4,10,5,6,4,25,0,0,3,3,4,0,3,0,0,18,5,49,67,194,82,72,56,42,21,593,70,154,147,388,157,191,182,217,157,1662,1326,3134,2706,6014,3312,3526,3411,2274,1112,26816,0,4,8,13,7,0,0,0,0,36,2393,5414,4520,8599,4860,5119,4879,2943,1241,39965,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,16,6,3,0,0,0,23,0,0,0,3,0,0,0,0,0,12,0,5,0,39,22,28,22,13,4,131,0,0,0,9,4,0,8,0,0,21,0,3,7,47,21,29,11,7,3,133,0,0,0,0,0,0,5,8,0,21,0,5,0,15,0,0,3,3,0,27,0,34,54,177,214,318,400,318,141,1665,0,0,0,17,19,18,16,0,3,82,0,0,0,11,6,5,13,9,5,44
UCL111003,0,0,0,43,9,6,4,0,0,72,0,0,0,10,5,8,11,3,4,46,0,6,8,32,17,0,3,0,0,70,0,18,21,125,61,59,48,35,11,388,93,216,175,455,154,150,160,159,123,1675,3021,6250,5404,12883,5557,5143,4338,2469,986,46056,0,0,0,13,0,0,0,0,0,9,5945,11948,9920,21126,9082,8248,6781,3599,1159,77815,0,6,9,46,11,0,0,0,0,63,0,0,0,0,0,5,0,0,0,4,0,0,0,12,0,0,0,0,0,15,0,0,0,8,5,0,0,0,0,18,0,9,3,42,14,10,17,3,3,97,0,0,0,7,5,5,9,6,0,42,0,12,9,131,45,44,29,14,7,285,0,0,0,3,0,16,5,0,0,27,0,4,6,11,5,0,4,0,0,32,4,52,74,249,251,347,380,235,64,1654,0,0,4,35,12,9,0,3,0,82,0,0,0,10,6,0,0,0,0,25
UCL112001,0,10,5,21,4,0,0,0,0,41,0,0,0,0,0,0,0,4,0,8,0,0,4,3,5,0,0,0,0,18,8,29,25,108,26,16,22,17,8,245,45,132,384,239,63,69,79,93,73,1177,585,1321,2061,2803,1137,1188,1006,785,354,11250,0,0,0,0,0,0,0,0,0,3,1053,1940,2694,3492,1609,1789,1445,1029,399,15447,0,15,4,68,6,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,10,16,8,10,9,0,0,64,0,0,0,6,3,0,0,0,0,13,0,6,8,78,24,14,5,0,0,137,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,3,0,13,24,55,38,83,95,79,24,412,0,0,3,6,6,8,0,0,0,25,0,0,6,14,3,0,0,0,0,27
