UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
UCL101001,19,28,488,4156,18955,16285,17893,12321,2996,2997,3684,4948,1555,299,1540,88160,418,379,500,929,3873,1250,1334,963,241,251,232,217,75,21,274,10964,30,153,413,1181,1942,1656,3093,1675,492,487,492,461,353,142,218,12798,35,138,613,2910,5907,7504,9702,3687,1170,1063,1105,1305,728,261,504,36632,19,85,438,1147,5030,6256,7561,3989,701,652,676,827,338,141,463,28308,0,3,36,191,2255,2806,2337,2072,566,600,646,742,253,40,284,12831,3,12,93,527,2458,3082,7198,5481,1659,1136,1026,1211,404,100,766,25159,2641,7727,23553,17898,17220,16188,29289,18730,3892,3702,3822,4047,1873,634,3462,154682,69,134,822,1560,2014,2993,5276,3974,1059,1112,1274,1620,1083,404,521,23913,14,40,189,12545,26513,16542,12546,9753,2462,2430,2293,2577,1313,380,3369,92967,3311,7968,20529,36693,41963,46041,50901,36613,14108,13753,13491,14629,5273,1340,7505,314118,11922,42384,105667,139654,246176,280155,416580,269613,75433,79561,85264,93629,35310,9754,44581,1935675
UCL102001,0,0,3,5,57,33,118,140,27,27,31,40,19,4,5,507,3,3,3,3,23,0,4,0,0,0,0,0,0,0,0,49,0,0,0,4,4,0,7,0,0,0,5,0,0,3,3,27,0,0,0,11,10,33,46,11,7,7,11,6,0,0,4,147,0,0,0,4,24,11,0,26,7,4,0,0,4,0,0,83,0,0,0,0,3,3,4,5,0,0,0,0,0,0,0,18,0,0,0,4,8,15,32,8,10,6,0,0,8,0,7,104,17,95,255,139,124,91,155,60,4,4,4,15,0,6,18,997,0,0,10,17,24,30,45,31,10,3,7,4,8,0,4,192,0,0,0,9,14,7,16,6,0,0,0,9,0,0,3,67,32,89,172,138,149,165,218,144,30,30,19,22,18,6,29,1261,132,431,867,698,820,717,1447,1135,329,404,364,291,112,36,155,7936
UCL102002,0,0,27,126,457,394,465,426,94,92,92,132,60,11,64,2433,16,11,28,27,150,39,68,41,7,6,4,4,6,0,9,411,0,10,14,38,29,21,43,37,6,9,5,3,0,0,0,221,0,14,68,182,253,288,653,204,95,44,48,40,46,18,26,1976,0,6,39,33,54,21,52,43,0,11,0,7,3,4,15,291,0,0,0,0,13,17,23,20,9,0,8,3,0,3,7,104,0,0,7,17,44,104,275,188,56,37,29,35,13,11,31,826,455,1412,4049,2518,2093,1531,2859,1376,175,129,119,136,95,33,556,17542,3,12,73,134,130,173,262,191,43,40,25,26,13,6,24,1166,0,0,3,50,76,35,76,87,23,19,12,10,5,6,5,414,226,535,1047,1219,1006,799,1355,782,155,130,131,140,64,24,212,7830,1144,3402,7193,6422,6889,5806,9797,5775,1179,1057,935,1044,484,188,1486,52805
UCL102003,0,0,4,18,70,47,100,96,20,19,28,29,7,7,17,459,4,0,0,0,31,6,11,3,0,0,0,0,0,0,3,64,0,0,3,8,6,7,6,5,0,0,0,0,0,0,0,45,0,7,12,30,45,44,88,36,9,3,3,8,21,0,8,324,0,0,4,3,8,4,6,0,0,0,0,4,0,0,0,33,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,3,12,23,56,20,16,6,17,8,0,0,4,169,131,449,1031,586,327,258,420,145,23,13,26,54,19,10,195,3705,4,7,22,23,27,40,72,27,7,0,5,8,11,0,13,270,0,0,0,3,3,0,11,23,3,0,3,0,0,0,0,55,44,96,151,165,120,96,267,228,79,64,69,71,32,6,42,1534,295,860,1585,1321,1245,1000,1773,1023,258,208,240,266,136,49,429,10693
UCL102004,0,4,10,58,350,252,335,337,75,89,87,105,37,21,46,1809,56,22,54,43,136,33,37,20,0,0,3,3,0,0,17,429,3,5,16,31,24,15,57,24,10,28,14,13,13,0,7,256,4,3,27,109,144,229,433,168,43,56,45,68,52,5,23,1420,0,3,13,23,53,56,133,52,14,5,4,17,6,7,14,394,0,0,0,0,3,20,37,28,8,5,11,4,4,0,8,128,0,0,5,17,30,67,191,195,35,30,35,39,17,8,12,678,336,965,2223,1317,1117,768,1607,824,134,116,111,157,82,50,274,10075,0,17,50,110,114,156,300,210,31,40,54,71,55,34,20,1244,0,0,6,72,72,40,123,183,49,50,28,41,26,0,42,736,224,303,635,648,549,723,1208,842,386,302,397,481,172,41,225,7131,1196,2800,4782,4021,4358,3952,8085,5777,1529,1645,1716,1889,789,282,1209,44034
UCL102005,0,0,5,106,449,259,289,270,50,66,98,78,40,7,48,1763,26,24,33,65,167,57,43,13,0,0,0,9,0,0,14,455,7,0,14,30,10,15,44,39,8,5,7,3,3,5,3,190,0,8,25,79,127,161,296,119,29,20,25,44,17,10,8,962,0,0,12,23,49,35,55,42,18,26,23,21,16,0,9,334,0,0,0,0,3,32,22,28,6,6,4,7,6,0,3,116,0,0,4,20,42,88,312,214,58,42,39,53,21,6,12,911,345,1524,4577,2233,1228,690,1232,664,84,90,97,79,46,16,425,13324,5,9,30,108,86,103,219,158,28,29,23,40,36,12,16,906,4,0,4,221,214,96,120,149,38,42,67,69,25,3,31,1095,143,849,1858,2443,1132,1187,1389,1041,357,212,326,351,123,24,292,11728,923,5166,10566,8295,5390,4733,7103,5308,1353,1246,1503,1767,844,161,1612,55972
UCL111001,0,0,0,0,55,42,99,99,16,15,34,28,5,0,12,412,5,0,3,3,8,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4,3,3,6,7,0,4,0,0,0,0,0,33,0,0,0,8,11,35,58,17,5,7,3,13,4,0,0,166,0,4,0,4,3,9,8,19,13,6,14,4,0,4,0,87,0,0,0,0,0,0,0,4,0,6,5,0,0,0,0,18,0,0,0,0,8,13,27,19,9,5,4,0,0,0,3,90,47,129,346,188,152,60,174,43,4,10,27,10,11,7,49,1250,4,0,5,4,9,19,31,21,0,0,4,0,7,0,3,113,0,0,0,5,7,7,8,7,0,16,4,4,4,0,3,67,27,74,105,124,81,59,245,274,41,40,74,112,25,8,28,1316,142,505,681,531,551,427,1295,1183,277,308,324,299,107,29,160,6816
UCL111002,0,0,0,15,46,36,56,68,31,21,17,9,4,0,7,319,3,0,0,5,14,3,6,0,0,0,0,0,0,0,3,38,0,0,0,0,0,3,4,3,0,0,0,0,0,0,4,23,0,0,15,22,28,34,100,18,14,7,10,7,17,4,5,287,0,0,4,6,3,0,9,5,4,0,0,0,0,0,0,39,0,0,0,0,0,5,3,4,3,4,0,6,0,0,0,29,0,0,0,6,13,10,39,25,13,16,6,3,3,0,21,151,77,242,549,276,177,120,253,112,13,27,12,21,11,3,77,1970,0,5,8,24,22,20,41,27,3,3,0,5,0,0,3,164,0,0,0,8,9,0,10,15,4,4,11,8,3,0,0,69,23,72,112,105,100,95,327,329,91,109,107,166,37,65,44,1776,151,526,901,725,732,576,1323,951,278,359,402,477,139,86,261,7881
UCL111003,0,0,4,9,99,86,130,140,26,19,34,27,9,4,11,593,14,0,12,5,13,7,4,9,0,0,0,0,0,0,0,61,0,0,6,3,3,0,3,0,0,7,0,0,0,0,0,26,0,0,6,14,21,38,155,75,0,9,13,22,4,3,7,371,0,0,0,5,9,6,25,24,3,3,0,0,0,0,0,77,0,0,0,0,0,3,13,22,0,8,12,16,0,0,5,77,0,0,0,4,3,20,37,39,12,19,16,7,8,0,4,160,71,215,486,284,246,139,313,157,26,11,18,17,15,0,42,2047,0,5,7,15,19,27,46,24,0,0,14,5,6,0,4,168,0,0,0,6,11,8,31,43,3,4,9,7,0,0,0,116,32,50,95,93,130,75,287,145,43,26,19,39,16,7,19,1078,241,489,798,694,896,738,1848,1346,247,209,279,280,98,34,173,8375
UCL112001,0,0,0,0,13,7,27,28,9,8,26,21,4,0,6,151,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,4,9,4,4,36,30,4,0,0,0,0,3,0,0,94,0,0,0,0,7,4,12,21,11,9,16,12,0,0,0,91,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,18,0,0,0,5,0,0,0,0,23,13,48,152,65,53,40,61,29,6,8,8,9,7,0,15,508,0,0,5,16,9,13,23,21,0,5,0,0,3,0,8,110,0,0,0,0,0,4,3,22,0,13,4,20,4,0,0,70,8,21,22,33,25,38,101,71,25,51,87,85,34,3,12,617,42,111,235,192,195,244,559,437,135,212,465,653,130,20,73,3704
