UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL101001,17375,3290,4846,62,28,25602,3951,772,1088,11,0,5817,3429,689,1051,9,4,5180,5435,1092,1892,15,5,8437,7588,1495,2687,23,7,11797,22813,4654,9059,59,20,36609,27387,6238,13187,82,39,46938,56349,12396,27023,165,102,96035,48620,9079,18189,95,114,76088,61649,11305,16338,108,101,89495,74120,14430,12157,130,90,100932,24834,4279,6499,60,47,35717,353541,69727,114015,807,561,538646
UCL102001,148,32,12,0,0,198,43,18,12,0,0,74,46,22,15,0,0,79,75,21,42,0,0,142,102,40,89,0,0,228,358,148,161,0,0,673,483,337,84,0,0,908,1018,251,30,0,0,1300,623,54,12,0,0,691,582,41,8,0,0,633,290,21,7,0,0,320,198,44,17,0,0,255,3974,1037,486,3,0,5505
UCL102002,1576,119,92,4,0,1789,576,61,51,0,0,693,533,74,28,5,0,641,932,103,54,3,0,1090,1341,134,86,4,0,1568,3904,336,280,10,0,4535,5621,524,351,12,3,6507,9257,553,366,12,11,10193,5569,208,130,3,4,5918,4003,123,91,4,4,4227,2214,63,57,7,7,2346,2157,152,89,0,0,2397,37687,2454,1672,63,26,41905
UCL102003,271,79,43,0,0,391,86,41,14,0,0,146,65,27,6,0,0,99,147,67,20,0,0,233,177,74,53,3,0,307,530,228,141,5,0,904,685,300,117,0,0,1103,1332,274,98,3,9,1705,774,92,31,0,0,892,578,56,34,0,0,666,381,24,29,0,0,435,312,94,44,5,0,458,5346,1351,627,15,7,7342
UCL102004,1785,172,62,3,0,2021,696,65,21,0,0,788,555,58,44,3,0,658,1022,104,46,4,0,1171,1434,99,83,0,0,1614,4441,402,255,10,3,5107,6303,629,303,0,0,7246,10535,665,386,5,4,11592,5686,275,127,3,4,6095,3893,202,100,7,0,4202,2433,141,105,3,3,2688,2127,161,90,4,5,2384,40908,2976,1632,39,26,45566
UCL102005,1142,125,105,0,0,1384,432,49,46,4,0,530,363,63,41,8,0,475,649,86,64,3,0,803,888,120,104,4,0,1113,2727,312,358,11,5,3418,3550,488,475,5,5,4530,6675,833,580,17,5,8109,4603,391,242,10,4,5251,3889,236,155,6,0,4282,2255,115,102,0,0,2481,1607,134,136,5,0,1883,28773,2966,2415,80,24,34260
UCL111001,276,21,0,0,0,292,141,17,3,0,0,161,120,27,0,0,0,149,270,49,0,0,0,320,465,57,0,0,0,522,1551,78,0,0,0,1635,1406,36,0,0,0,1435,1104,15,3,0,0,1125,356,6,0,0,0,363,229,6,0,0,0,237,148,0,0,0,0,147,300,16,0,0,0,318,6362,334,13,4,5,6711
UCL111002,203,28,18,0,0,253,83,17,6,0,0,103,82,23,9,0,0,112,150,20,16,0,0,182,221,49,36,0,0,306,649,101,90,0,0,846,931,115,49,0,0,1100,1187,88,45,0,0,1323,490,19,0,0,0,515,292,11,13,0,0,316,150,12,5,0,0,162,255,21,22,3,0,304,4693,507,314,8,4,5524
UCL111003,417,13,0,0,0,431,166,11,0,0,0,179,163,11,0,0,0,169,278,15,5,4,0,301,425,28,0,0,0,460,1709,101,7,0,0,1819,2539,111,12,0,0,2661,3364,57,3,4,3,3433,1312,12,0,0,0,1329,804,3,0,0,0,804,363,3,4,0,0,370,618,23,0,0,0,641,12166,389,40,7,4,12603
UCL112001,91,0,0,0,0,88,37,0,0,0,0,37,46,0,0,0,0,45,91,5,0,0,0,92,143,10,4,0,0,158,478,8,3,0,0,487,457,10,0,0,0,474,303,9,0,0,0,314,97,4,0,0,0,96,68,3,0,0,0,73,43,0,0,0,0,49,96,5,0,0,0,102,1942,69,12,0,0,2022
