UCL_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
UCL101001,1271220,..,..,..,..,1271220,..,2476,40,2514,12,2525,..,92076,15661,107740,800,108534,..,549,24,581,3,586,..,50272,15608,65883,452,66332,..,83888,34322,118208,1108,119314,..,5061,1707,6765,34,6801,..,139220,51637,190860,1587,192446,..,7123,934,8061,55,8116,..,8457,312,8764,120,8885,..,5492,137,5635,74,5706,..,29417,4311,33726,215,33945,..,18413,976,19389,169,19554,..,11817,624,12446,122,12565,..,36599,1063,37657,292,37949,..,32013,1374,33386,293,33680,..,21622,1519,23138,201,23338,..,5663,125,5794,42,5839,..,22590,1141,23732,249,23974,..,7278,214,7492,69,7568,..,155995,7038,163033,1432,164466,..,21334,2454,23782,176,23965,..,5256,782,6035,68,6108,..,3847,1516,5361,38,5396,..,19650,7828,27475,188,27664,..,8130,1194,9322,48,9374,..,7048,316,7365,78,7448,..,10923,1703,12620,85,12708,..,4417,393,4809,24,4835,..,10953,1452,12400,136,12541,..,6634,878,7514,54,7566,..,6560,904,7463,74,7536,..,7577,1531,9114,64,9172,..,10831
UCL102001,14659,..,..,..,..,14659,..,23,0,23,0,21,..,57,12,65,0,63,..,25,3,25,0,25,..,35,11,40,0,40,..,63,28,94,4,96,..,0,0,0,0,0,..,98,39,135,4,135,..,86,14,100,0,100,..,34,0,34,0,34,..,60,0,56,0,56,..,58,9,70,0,69,..,86,8,97,0,96,..,73,0,70,0,70,..,117,0,111,3,120,..,285,13,301,0,301,..,302,27,329,0,336,..,21,0,21,0,21,..,101,6,103,0,105,..,17,0,17,0,17,..,998,56,1051,5,1054,..,164,15,182,0,182,..,13,0,11,0,11,..,5,0,7,0,7,..,17,6,21,0,21,..,335,59,399,3,398,..,30,4,34,0,34,..,20,0,26,0,26,..,30,0,30,0,30,..,43,0,49,0,47,..,29,0,29,0,29,..,21,0,26,0,26,..,101,22,126,0,126,..,59
UCL102002,138292,..,..,..,..,138292,..,241,7,250,0,249,..,334,17,354,4,357,..,108,4,112,0,113,..,305,109,412,0,414,..,525,226,745,5,750,..,17,5,26,0,26,..,848,335,1180,3,1188,..,84,12,97,0,97,..,246,13,262,6,266,..,341,10,353,5,365,..,292,30,324,12,337,..,78,3,82,0,82,..,73,0,73,0,73,..,255,15,265,5,269,..,273,19,291,5,293,..,292,16,313,0,312,..,56,0,64,0,64,..,123,0,128,3,128,..,45,0,45,0,45,..,1199,57,1256,9,1263,..,418,42,462,4,464,..,185,17,204,0,200,..,23,6,37,0,35,..,292,114,398,0,402,..,19,0,26,0,26,..,360,22,390,5,394,..,81,11,97,0,98,..,151,15,160,0,161,..,249,20,270,6,275,..,256,25,286,0,286,..,57,3,63,0,63,..,83,9,95,0,92,..,219
UCL102003,26854,..,..,..,..,26854,..,16,0,16,0,16,..,10,0,12,0,10,..,43,0,42,4,47,..,25,17,46,0,46,..,47,16,64,3,65,..,3,0,4,0,4,..,75,32,107,3,111,..,7,0,5,0,5,..,71,3,80,0,77,..,73,0,74,0,76,..,29,0,29,0,29,..,3,0,3,0,3,..,12,0,12,0,12,..,34,0,34,0,34,..,21,0,23,0,27,..,76,10,91,0,91,..,9,0,9,0,9,..,6,0,3,0,3,..,3,0,3,0,3,..,159,11,171,0,172,..,66,3,70,0,70,..,70,14,86,4,90,..,0,0,0,0,0,..,12,3,12,0,12,..,0,0,0,0,0,..,50,0,48,0,53,..,7,0,12,0,12,..,17,6,19,0,19,..,206,4,208,5,213,..,8,0,6,0,6,..,11,0,11,0,11,..,7,0,10,0,10,..,35
UCL102004,149803,..,..,..,..,149803,..,221,5,220,0,224,..,509,101,614,0,614,..,139,0,142,0,144,..,378,101,478,0,479,..,773,315,1084,14,1097,..,40,19,58,0,58,..,1188,428,1616,18,1633,..,127,19,146,0,148,..,241,9,249,5,259,..,361,11,375,10,380,..,438,53,488,3,491,..,212,11,225,3,231,..,130,9,138,0,136,..,334,10,340,5,341,..,350,22,379,0,378,..,328,19,347,3,349,..,121,6,125,0,126,..,422,16,437,7,448,..,53,3,57,0,56,..,1953,94,2044,24,2071,..,498,40,534,9,545,..,151,16,167,0,169,..,45,11,59,0,59,..,210,67,272,0,277,..,653,80,738,3,738,..,324,24,349,6,355,..,162,12,176,3,183,..,165,15,178,0,176,..,188,9,202,8,204,..,87,13,99,0,99,..,138,16,153,0,157,..,157,26,181,6,184,..,150
UCL102005,111696,..,..,..,..,111696,..,102,0,102,0,102,..,1408,216,1628,12,1640,..,52,0,57,0,54,..,205,72,282,0,279,..,953,232,1182,16,1198,..,47,16,58,0,58,..,1197,324,1520,13,1539,..,358,44,405,7,411,..,177,10,188,0,188,..,281,7,294,3,298,..,739,84,829,4,832,..,164,12,174,4,176,..,67,0,67,0,65,..,303,6,311,0,316,..,189,4,197,0,197,..,165,14,186,4,182,..,119,0,118,0,118,..,378,18,401,8,411,..,95,0,97,0,101,..,1488,63,1548,20,1566,..,1296,198,1489,3,1496,..,107,11,115,0,115,..,18,10,26,0,26,..,107,53,166,0,166,..,2566,466,3034,19,3051,..,491,22,518,4,527,..,165,14,178,0,178,..,162,18,177,0,177,..,451,125,578,5,583,..,78,10,90,0,92,..,56,0,62,0,59,..,712,162,868,11,878,..,132
UCL111001,21981,..,..,..,..,21981,..,26,6,27,0,27,..,41,3,41,4,49,..,34,0,34,0,34,..,18,6,23,0,20,..,62,22,78,0,81,..,4,0,4,0,4,..,79,26,103,0,104,..,22,4,29,0,29,..,20,0,20,0,24,..,48,0,49,0,49,..,65,0,63,0,63,..,37,0,38,0,43,..,38,0,44,0,44,..,84,0,85,0,85,..,266,132,396,10,402,..,384,25,409,5,417,..,26,0,31,0,29,..,38,9,48,0,45,..,15,0,15,0,15,..,897,177,1072,15,1085,..,46,11,57,0,58,..,19,4,25,0,21,..,6,0,6,0,6,..,16,5,19,0,19,..,0,0,0,0,0,..,52,3,56,0,62,..,17,0,17,0,17,..,11,3,11,0,14,..,9,0,9,0,9,..,13,0,13,0,13,..,7,0,7,0,7,..,11,4,15,0,15,..,38
UCL111002,20587,..,..,..,..,20587,..,37,0,37,0,37,..,69,22,90,0,92,..,73,0,72,0,71,..,23,10,31,0,37,..,56,19,78,0,80,..,9,0,9,0,9,..,92,30,120,0,122,..,0,4,6,0,6,..,44,0,49,0,44,..,63,0,62,0,62,..,19,0,19,0,19,..,4,0,4,0,4,..,5,0,5,0,5,..,38,0,42,0,42,..,35,0,41,0,41,..,172,28,201,0,204,..,9,0,9,0,9,..,5,0,5,0,5,..,11,0,11,0,11,..,282,35,311,0,314,..,57,0,56,0,63,..,33,8,42,0,42,..,0,0,0,0,0,..,4,0,13,0,11,..,0,0,0,0,0,..,20,3,25,0,29,..,5,0,5,0,5,..,12,0,12,0,12,..,22,0,22,0,22,..,10,0,8,0,8,..,0,0,0,0,3,..,0,0,0,0,0,..,28
UCL111003,39429,..,..,..,..,39429,..,99,0,99,0,102,..,81,7,85,0,85,..,37,0,37,0,37,..,57,39,91,0,91,..,83,59,140,3,143,..,0,3,5,0,5,..,144,97,237,3,242,..,7,3,11,0,11,..,20,0,19,0,21,..,33,0,41,0,41,..,37,4,39,0,39,..,36,8,43,0,43,..,21,5,22,0,22,..,72,6,78,0,78,..,56,0,58,0,63,..,149,18,168,6,174,..,23,3,31,0,31,..,79,6,84,0,84,..,15,0,15,0,19,..,453,37,496,7,497,..,43,4,46,0,46,..,12,0,14,0,14,..,7,3,9,0,9,..,31,24,53,0,58,..,16,0,16,0,16,..,145,11,159,4,164,..,11,4,15,0,17,..,32,0,32,0,32,..,16,3,20,0,20,..,10,0,10,0,10,..,43,0,45,0,44,..,9,0,9,0,9,..,45
UCL112001,7750,..,..,..,..,7750,..,5,0,5,0,5,..,69,5,73,0,73,..,22,0,23,0,23,..,24,5,28,0,28,..,57,11,70,0,69,..,0,0,0,0,0,..,81,15,98,0,93,..,0,0,0,0,0,..,32,5,31,0,31,..,42,0,42,0,40,..,19,0,16,0,19,..,59,3,63,0,63,..,16,0,16,0,16,..,26,0,29,0,29,..,126,0,128,0,128,..,47,6,52,0,52,..,33,5,38,0,38,..,27,0,27,0,27,..,4,0,4,0,4,..,339,11,347,3,348,..,8,0,8,0,8,..,6,0,6,0,6,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,16,0,22,0,22,..,24,0,22,5,27,..,0,0,0,0,0,..,5,0,8,0,8,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,5,0,5,..,22
