UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL101001,40297,100634,278795,280248,222466,158599,48049,6967,588,1136652,81,188,532,566,658,459,188,45,6,2724,0,34,208,238,205,134,28,6,0,858,1103,2237,7951,9792,9847,7005,1471,116,9,39530,20,228,1103,1430,1199,601,97,5,0,4678,374,1863,7789,7943,6281,3581,895,112,8,28847,298,1645,6632,8124,7196,4295,921,96,13,29221,11411,16545,23293,18869,15989,11344,2744,265,18,100490,14583,10624,12681,8150,6242,4466,942,77,6,57773,439,1942,6464,7201,6863,4527,895,62,0,28395,342,1690,6917,6453,4270,1999,427,44,3,22158,306,4788,21318,24731,16223,7223,1437,124,24,76172,366,1761,5366,5389,4177,2459,810,174,34,20540,987,10152,36418,29808,19766,10841,3320,428,10,111723,482,2899,9511,8396,7231,5057,1285,137,7,35001,447,3166,12656,14812,13215,8599,1776,102,4,54781,3877,10370,30380,30240,30107,21308,5633,427,20,132355,3552,20393,55453,48235,43991,35099,9473,825,19,217049,1246,2238,4281,3318,2522,1602,524,86,5,15821,1210,2976,7941,7029,6363,4216,1041,127,11,30907
UCL102001,553,994,2600,2319,2250,1645,411,44,6,10809,0,3,4,5,0,5,3,0,0,22,0,0,0,0,0,0,0,0,0,3,26,12,37,39,34,22,4,0,0,172,0,7,13,18,7,4,6,0,0,49,12,32,67,47,70,44,8,0,0,269,0,6,14,16,26,16,7,0,0,93,148,117,210,113,121,107,24,0,0,840,178,106,127,85,55,42,3,0,0,601,0,7,30,21,21,21,9,0,0,113,4,7,28,16,22,10,3,0,0,91,0,6,40,30,27,21,3,0,0,121,3,37,47,36,28,16,6,0,0,164,15,58,200,183,167,81,21,4,0,722,5,23,80,62,73,64,17,4,0,329,24,152,645,769,804,414,33,0,0,2848,48,82,241,251,259,155,26,0,0,1057,39,147,486,354,350,279,65,5,0,1724,18,21,28,37,25,20,3,0,0,156,24,48,75,70,60,45,11,0,0,336
UCL102002,4528,6251,13810,15179,15255,12121,3328,433,44,70948,18,28,53,51,46,44,20,7,0,272,0,3,13,9,20,6,6,0,0,61,134,171,422,553,601,424,82,9,0,2392,0,12,63,68,58,39,10,0,0,246,30,94,400,547,436,358,99,4,0,1975,19,73,152,266,270,203,47,3,0,1025,1395,1154,1410,1317,1482,1303,302,32,0,8394,1936,874,785,665,622,464,98,15,0,5466,19,55,163,199,285,290,68,9,0,1088,43,83,189,255,195,141,28,7,0,937,19,143,569,705,642,433,68,6,0,2580,21,103,261,295,277,179,55,16,0,1201,41,254,837,1083,918,602,190,26,0,3950,57,149,428,499,593,435,100,7,0,2270,21,166,714,1160,1166,676,101,0,0,4014,169,605,1733,2001,2033,1531,378,21,0,8472,364,1561,3961,4067,4757,4292,891,55,0,19941,77,99,198,173,167,91,34,9,0,848,119,244,608,553,568,368,92,8,0,2554
UCL102003,838,1089,2227,2691,2791,2394,755,102,15,12899,4,6,18,14,9,10,3,0,0,66,0,0,0,5,8,9,0,0,0,24,32,21,43,58,72,77,14,0,0,325,0,4,5,8,17,14,0,0,0,52,11,15,56,109,87,73,25,0,0,369,6,8,20,26,26,27,9,0,0,123,255,220,256,254,323,296,63,8,0,1674,476,203,237,190,201,176,57,5,0,1549,0,13,33,34,51,56,8,0,0,206,9,7,15,32,21,12,5,0,0,110,0,19,59,74,67,49,19,0,0,282,9,17,60,51,72,71,19,0,0,301,7,42,170,192,164,126,49,4,0,755,4,22,74,109,121,115,35,0,0,480,0,27,78,148,168,137,16,0,0,575,25,66,308,427,471,343,73,0,0,1711,57,219,655,770,888,946,247,11,0,3781,23,26,50,51,38,22,6,0,0,217,31,57,117,123,119,72,24,3,0,554
UCL102004,5011,8864,19195,18060,16808,12678,3195,457,33,84292,0,19,33,29,46,40,9,0,0,191,0,20,124,138,98,55,9,6,0,457,146,148,413,462,472,312,68,7,0,2020,0,26,88,148,139,72,12,0,0,488,42,152,475,475,481,343,79,10,0,2061,23,66,187,196,199,162,47,0,0,878,1504,1547,1556,1229,1457,1115,231,18,0,8660,2440,1519,978,675,607,447,94,7,0,6762,24,72,208,280,275,249,53,11,0,1174,31,61,160,134,110,55,11,6,0,573,29,208,1023,1022,781,443,61,3,0,3579,32,112,275,218,271,155,57,15,0,1124,69,488,1466,1448,993,561,143,19,0,5197,49,258,625,593,636,455,98,4,0,2716,25,265,1080,1310,1226,716,102,9,0,4730,268,908,2423,2814,2893,1998,440,25,0,11773,519,2521,6207,5443,5572,4482,842,51,6,25644,163,161,240,200,149,95,31,6,0,1056,205,397,802,624,597,353,108,12,0,3092
UCL102005,3674,6781,14605,13846,13289,10089,2333,252,24,64887,9,21,26,28,17,20,5,0,0,125,0,14,55,58,41,12,0,0,0,186,94,156,358,363,401,201,47,5,0,1623,5,13,41,53,60,28,6,0,0,204,35,100,346,338,304,182,52,7,0,1370,17,39,141,159,166,98,24,6,0,644,1046,1185,1197,1139,1148,893,178,14,0,6804,1668,1082,729,489,474,349,69,6,0,4858,32,98,232,223,262,199,44,4,0,1084,17,48,151,120,89,40,9,0,0,470,27,178,662,723,635,323,52,6,0,2598,27,89,192,211,190,115,34,5,4,857,80,404,911,885,612,366,105,16,0,3374,41,176,428,491,533,440,67,7,0,2191,47,248,909,1152,1104,650,76,0,0,4196,220,658,2087,2183,2276,1629,317,20,0,9386,361,1779,4186,3657,3916,2939,557,21,0,17428,104,116,186,176,137,85,25,0,0,831,134,279,535,443,404,278,62,0,0,2142
UCL111001,806,1244,2860,2586,2337,1973,670,80,3,12551,0,11,16,13,15,17,7,7,0,83,0,0,0,0,0,0,0,0,0,4,40,29,104,97,88,89,21,0,0,463,0,0,6,5,8,6,0,0,0,27,13,25,94,83,63,65,21,0,0,362,0,6,19,23,31,27,12,0,0,131,290,232,278,221,234,224,46,6,0,1528,332,175,211,146,133,88,24,0,0,1098,4,19,40,45,62,41,16,6,0,228,0,14,21,17,10,6,0,0,0,76,0,13,60,53,49,29,4,0,0,214,3,20,43,34,38,14,11,0,0,171,6,37,118,126,116,81,27,5,0,527,11,25,76,96,95,79,27,0,0,402,11,49,154,223,252,163,22,0,0,880,44,113,378,435,437,316,84,7,0,1816,58,343,917,740,700,651,170,9,0,3584,15,22,21,25,24,13,8,0,0,125,21,55,117,93,83,51,14,3,0,433
UCL111002,747,871,2067,2176,2199,1827,590,65,7,10557,5,8,49,54,38,27,9,0,0,191,0,0,0,0,0,0,0,0,0,9,12,12,29,27,43,32,16,0,0,174,0,0,3,5,6,3,0,0,0,23,0,9,51,48,60,46,16,0,0,227,4,3,18,29,26,19,5,0,0,107,274,146,199,218,233,232,55,5,0,1367,310,160,193,164,159,110,34,0,0,1124,4,7,19,31,38,32,8,0,0,140,8,0,17,21,16,15,0,0,0,81,4,13,42,51,62,36,9,0,0,216,3,14,40,32,46,33,8,0,0,179,3,26,102,138,114,86,27,3,0,501,13,17,75,85,113,103,14,4,0,422,3,25,108,183,192,102,14,0,0,640,25,76,252,364,391,256,60,3,0,1431,46,252,657,668,822,750,154,11,0,3350,23,12,28,29,19,16,5,0,0,135,30,41,97,99,82,66,17,0,0,424
UCL111003,1344,2069,5286,4890,4167,3060,724,78,7,21625,7,13,31,36,45,26,12,4,0,168,3,16,84,79,67,21,0,0,0,274,54,63,238,183,185,118,13,0,0,851,0,5,31,38,42,12,0,0,0,130,20,47,155,138,111,93,22,0,0,590,5,15,79,71,53,31,7,0,0,262,425,340,581,494,452,312,56,4,0,2666,614,273,276,225,173,113,20,5,0,1693,3,20,80,94,92,80,23,3,0,399,12,7,32,25,17,11,4,0,0,113,4,43,224,189,126,62,10,0,0,660,4,32,73,68,46,28,4,0,0,262,11,87,254,251,174,116,36,3,0,933,21,78,249,197,204,129,31,0,0,911,13,53,319,323,342,187,26,0,0,1259,63,181,532,642,609,410,74,4,0,2509,128,566,1458,1293,1190,937,149,7,0,5731,24,21,53,24,26,13,0,0,0,159,56,115,247,183,137,75,21,0,0,837
UCL112001,298,536,1077,855,712,697,227,36,3,4450,8,20,43,16,16,13,8,3,0,121,0,0,3,0,0,0,0,0,0,3,7,15,11,11,4,7,0,0,0,58,0,0,0,0,0,0,0,0,0,6,0,9,12,13,7,8,0,0,0,59,0,0,7,7,5,9,0,0,0,32,104,85,77,52,62,54,16,4,0,456,137,90,67,32,23,36,10,4,0,397,0,0,4,0,5,9,3,0,0,31,4,14,11,6,6,3,7,0,0,40,4,5,25,22,14,11,4,0,0,80,4,7,14,6,8,7,3,0,0,48,4,30,60,55,54,30,11,0,0,242,0,10,37,31,32,25,9,0,0,140,3,15,63,51,52,33,7,4,0,227,29,87,233,289,269,249,51,0,0,1216,23,115,333,213,203,195,52,0,0,1131,4,11,13,10,3,4,0,0,0,48,17,17,37,18,23,18,0,0,0,140
