UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,50571,45830,96398,134868,125948,260819,36983,36623,73607,24587,24226,48817,196805,187115,383920,83960,79326,163288,39117,39219,78335,31319,30570,61887,154667,149348,304015,8877,8781,17658,11438,16528,27962,15915,7960,23873,21084,33014,54099,235,225,459,57551,66508,124056,68159,78431,146585,24272,28015,52287,9091,10148,19234,21351,31614,52964,345,334,681,123206,148544,271748,181119,215447,396572,11442,11020,22455,14049,18838,32888,291,256,550,25777,30113,55889,124103,118223,242323,733045,746072,1479116
UCL102001,378,290,673,1164,1029,2194,355,271,623,87,84,165,1600,1383,2985,638,605,1240,424,377,803,120,131,253,1177,1113,2296,60,62,121,87,83,170,191,112,306,222,315,536,3,3,8,561,571,1133,219,319,539,169,168,337,51,90,142,253,400,661,6,0,4,696,984,1681,1261,1555,2816,73,52,128,101,151,254,0,0,0,175,211,383,887,844,1734,5486,5398,10889
UCL102002,4035,3636,7667,9790,8969,18758,2197,2137,4335,1587,1424,3007,13601,12554,26156,6966,6702,13666,1831,1765,3595,1568,1638,3203,10386,10116,20502,405,549,955,325,630,957,1670,939,2607,1359,2452,3812,21,20,46,3783,4588,8368,1731,2516,4244,636,1135,1772,384,587,965,976,2140,3117,11,18,28,3733,6392,10125,7526,10992,18515,238,304,538,475,766,1241,13,10,17,718,1076,1798,8285,9295,17575,44549,47669,92217
UCL102003,568,534,1100,1521,1344,2862,501,470,968,301,288,588,2330,2104,4435,1012,918,1931,392,445,840,384,392,783,1794,1761,3560,69,98,168,87,137,225,213,132,343,225,417,639,6,6,14,598,784,1386,242,393,638,133,258,390,57,111,171,155,411,571,4,7,4,592,1187,1780,1196,1973,3168,34,73,110,102,188,297,9,3,9,147,269,409,1944,2090,4032,7969,8729,16704
UCL102004,4069,3690,7764,10524,9580,20107,2412,2334,4747,1313,1230,2541,14262,13169,27430,7227,6983,14210,1788,1920,3705,1502,1515,3018,10519,10427,20946,537,587,1117,435,662,1093,1664,970,2631,1610,2294,3906,15,14,22,4249,4520,8778,4031,5297,9331,1592,2038,3633,604,844,1449,1821,3080,4901,14,9,24,8068,11273,19341,12335,15808,28150,307,302,606,602,955,1558,9,12,19,917,1271,2184,7670,7686,15355,49778,52054,101835
UCL102005,3387,3079,6468,8540,7846,16387,2055,2050,4105,848,874,1722,11454,10792,22243,5791,5648,11441,2285,2304,4591,915,887,1802,8998,8854,17857,410,508,922,387,656,1042,1577,928,2511,1225,2010,3236,18,20,38,3616,4124,7746,3166,4292,7458,1262,1373,2635,502,667,1168,1027,1980,3007,13,14,23,5971,8320,14294,9612,12463,22076,262,275,543,391,637,1025,9,5,17,662,919,1586,6418,6594,13006,40529,42702,83234
UCL111001,620,581,1200,1303,1276,2577,516,520,1033,374,357,725,2195,2141,4338,931,986,1920,361,314,679,288,348,638,1578,1657,3236,107,118,225,113,173,285,269,186,452,270,481,749,5,5,8,758,966,1727,171,418,591,102,190,290,54,93,151,199,374,572,0,0,4,526,1086,1611,1290,2049,3335,77,71,147,117,181,300,0,4,6,198,254,454,1539,1495,3031,7422,8175,15595
UCL111002,530,517,1052,1275,1205,2479,444,507,954,300,297,600,2024,2011,4039,949,1010,1959,328,305,633,307,311,620,1582,1632,3214,70,94,163,93,134,224,218,164,386,310,455,769,3,4,5,695,850,1546,144,285,427,90,159,250,33,73,109,175,337,513,0,0,0,440,858,1299,1141,1710,2847,41,44,91,68,143,208,8,3,8,112,189,302,1631,1774,3407,7023,7836,14863
UCL111003,1174,1159,2331,2806,2701,5505,1104,1052,2154,410,380,790,4319,4136,8455,1832,1717,3548,781,898,1683,395,362,755,3003,2981,5989,154,194,349,111,179,294,478,335,813,403,738,1142,6,5,17,1158,1453,2610,418,675,1096,205,348,553,108,177,284,380,710,1092,0,0,0,1112,1911,3020,2266,3363,5628,102,93,191,145,252,398,7,3,13,259,347,606,1783,1775,3555,12799,13767,26560
UCL112001,232,204,437,569,537,1108,103,102,206,98,142,241,772,777,1553,420,415,833,133,145,278,122,204,322,671,767,1440,52,32,87,39,76,122,74,63,135,127,200,330,0,0,4,300,371,674,337,573,914,209,243,457,72,87,154,160,250,407,0,0,0,780,1152,1931,1079,1523,2605,36,30,68,17,51,75,0,0,0,57,83,140,988,1174,2163,3801,4535,8336
