UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL101001,858616,2712053,68499,161183,147929,400311,216434,561498,86513,171584,153046,309387,183907,383827,118012,246428,7695,19969,549172,1131184,281,427,393,566,45,90,6210,13479,6931,14570,3506,7437,1634660,4426736,143964,..,1778627,4426736
UCL102001,8830,24929,1571,2951,1457,2933,3024,5886,1040,1645,540,939,934,1635,81,131,19,53,2618,4400,3,9,0,0,0,0,22,49,29,55,18,36,14520,35307,1059,..,15578,35307
UCL102002,96195,256256,9579,15872,6097,12137,15675,28011,6419,10864,1521,2667,2471,4411,600,1076,396,816,11403,19825,332,481,466,722,9,13,140,275,947,1501,239,420,124458,306016,13450,..,137908,306016
UCL102003,14523,38406,3865,7207,2485,5282,6348,12488,1503,2536,1419,2534,609,1060,525,912,47,89,4112,7127,86,148,434,606,0,0,16,28,535,785,63,108,25578,58911,2749,..,28330,58911
UCL102004,103145,271897,8937,15165,8640,17632,17579,32797,5492,8349,2603,4213,2590,4327,1640,2684,439,868,12764,20439,79,132,122,155,6,19,310,597,523,900,206,350,134205,326389,9573,..,143784,326389
UCL102005,74149,207104,5751,10415,7900,17011,13652,27430,6474,11162,3053,5196,3927,7129,2075,3959,361,847,15898,28291,303,424,225,326,0,0,336,667,858,1418,173,349,104731,264600,6576,..,111305,264600
UCL111001,17127,42838,3443,5385,431,661,3873,6042,219,306,69,116,32,45,0,0,3,12,325,476,26,35,14,19,0,3,19,45,58,99,44,84,21423,49542,1889,..,23311,49542
UCL111002,13482,35546,1813,3163,1259,2653,3071,5812,2158,3770,365,636,265,417,115,181,47,77,2948,5081,70,121,196,272,0,0,19,40,285,430,64,128,19852,47001,1756,..,21604,47001
UCL111003,28673,78610,2627,4574,583,971,3212,5541,654,916,7,13,31,48,0,0,77,159,764,1140,155,192,10,10,4,4,47,80,211,284,45,87,32903,85663,1687,..,34586,85663
UCL112001,6268,15237,923,1557,162,275,1080,1832,395,632,52,94,0,0,0,3,9,16,449,740,3,4,20,19,0,3,11,25,32,50,31,49,7860,17916,965,..,8818,17916
UCL112002,11033,28675,1261,2131,367,630,1626,2766,677,1018,9,8,0,0,0,0,19,29,704,1056,7,11,6,11,3,3,19,41,34,71,25,45,13419,32603,1141,..,14563,32603
UCL112003,11269,26310,298,456,235,408,532,872,417,608,163,250,16,26,0,0,57,141,657,1022,0,0,0,4,4,4,30,47,31,49,45,71,12534,28321,1942,..,14480,28321
UCL112004,8156,20093,651,1009,315,536,965,1545,267,465,13,35,0,0,0,0,34,70,316,568,0,0,23,32,0,0,17,30,41,67,29,59,9506,22329,895,..,10401,22329
UCL112005,6973,18206,874,1465,119,193,995,1661,124,168,0,0,0,0,0,0,16,34,138,199,31,33,0,3,0,0,13,28,42,62,19,42,8172,20172,768,..,8936,20172
UCL112006,11443,30652,1313,2246,60,116,1375,2367,1078,1742,8,20,0,0,0,0,18,37,1106,1798,21,41,3,11,0,0,26,56,54,105,42,69,14014,34989,994,..,15007,34989
UCL112007,2182,5425,285,457,17,23,304,485,7,16,0,0,0,0,0,0,0,0,7,16,4,3,29,38,0,0,3,5,30,48,11,23,2527,5987,350,..,2875,5987
UCL112008,5650,13157,1417,2359,230,412,1643,2771,887,1301,393,596,371,606,75,128,3,7,1728,2648,62,97,70,98,0,0,44,83,181,271,36,57,9238,18913,2223,..,11461,18913
UCL112009,7804,19164,862,1395,171,314,1027,1707,279,401,61,76,0,0,0,0,13,31,359,507,11,22,14,23,0,0,38,71,71,110,23,33,9283,21520,868,..,10148,21520
UCL112010,5859,16290,348,690,64,86,404,770,862,1885,25,64,0,0,0,0,10,29,899,1973,22,31,15,22,0,3,40,100,83,154,32,74,7272,19269,594,..,7870,19269
UCL112011,6646,17816,390,683,131,214,523,901,117,158,0,0,0,0,0,0,27,58,144,220,0,0,0,0,6,10,7,5,5,16,12,21,7332,18974,374,..,7706,18974
UCL112012,8617,21539,1161,1752,503,873,1661,2621,645,1056,78,117,0,0,0,0,11,16,732,1187,37,56,149,175,0,0,13,23,206,253,28,43,11242,25636,777,..,12018,25636
UCL112013,770,2066,38,57,0,5,42,58,19,27,0,0,0,0,0,0,0,0,19,27,3,3,3,3,0,4,0,0,7,14,4,6,834,2171,102,..,935,2171
UCL112014,7457,19069,558,830,168,404,725,1227,141,250,6,12,23,43,0,0,23,56,198,364,5,3,11,12,0,0,0,0,14,16,17,26,8415,20707,845,..,9259,20707
UCL112015,10519,26771,1179,1975,256,425,1437,2403,325,519,22,34,0,0,0,0,33,57,379,612,4,4,66,98,0,3,8,7,79,111,28,35,12453,29930,833,..,13289,29930
UCL112016,12843,33436,1355,2123,204,338,1556,2459,507,749,34,60,0,0,0,0,16,30,553,836,21,25,0,7,0,0,22,49,49,81,49,112,15047,36915,1414,..,16459,36915
UCL112017,13052,33447,2576,4325,966,1942,3541,6266,1300,2024,575,945,972,1531,134,231,11,22,3000,4751,18,26,56,69,0,0,21,39,88,138,47,92,19725,44694,1986,..,21717,44694
UCL112018,11229,28314,1666,2601,347,582,2014,3184,306,506,22,33,18,40,0,0,10,16,356,597,16,24,16,22,0,0,8,17,39,60,87,137,13712,32288,1300,..,15012,32288
UCL112019,15976,41231,787,1214,211,368,996,1578,1976,3078,113,145,40,54,0,3,17,33,2152,3314,0,4,3,13,0,3,63,150,73,173,31,55,19226,46350,1568,..,20797,46350
UCL113001,4608,10888,1309,2390,1112,2069,2424,4464,399,619,147,258,67,120,18,27,12,23,645,1044,39,47,259,350,0,3,16,29,320,434,51,67,8043,16890,652,..,8695,16890
UCL113002,3640,8639,355,555,308,548,664,1094,651,1018,26,28,30,39,0,0,9,16,711,1099,40,59,22,38,0,0,3,16,69,108,17,27,5104,10976,1655,..,6757,10976
UCL113003,6862,15071,158,231,17,26,177,265,184,230,0,0,0,0,0,0,0,0,186,235,3,5,3,4,0,0,4,6,8,13,19,29,7255,15602,1522,..,8782,15602
UCL113004,2322,6080,338,692,658,1452,997,2139,249,441,33,50,0,0,0,0,34,78,318,572,67,85,50,72,10,13,23,34,150,212,38,82,3821,9081,1189,..,5018,9081
UCL113005,5517,13600,296,428,243,435,540,864,590,873,14,15,8,19,0,0,3,4,619,915,34,40,30,37,4,5,53,128,114,210,24,41,6817,15622,542,..,7362,15622
UCL113006,3290,8431,44,82,48,90,90,170,280,409,9,15,0,0,0,0,0,4,300,424,25,34,15,32,0,4,10,22,50,87,19,35,3746,9148,329,..,4077,9148
UCL113007,3984,10799,246,459,697,1402,941,1861,193,344,142,257,310,452,0,0,24,49,663,1103,3,7,10,9,0,0,21,45,36,62,7,10,5632,13831,878,..,6505,13831
UCL113008,4098,9191,508,745,84,131,595,882,106,149,8,13,0,0,0,0,3,12,121,171,0,0,7,14,0,0,17,42,23,49,11,19,4850,10312,599,..,5450,10312
UCL113009,3244,9518,56,109,14,25,74,132,0,0,0,0,0,0,0,0,9,18,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3333,9669,174,..,3504,9669
UCL113010,3719,9610,537,895,22,43,556,935,37,58,10,12,0,0,0,0,0,0,49,63,22,31,34,63,0,0,12,17,73,114,10,25,4401,10742,629,..,5027,10742
UCL113011,3608,9307,357,538,132,198,494,733,18,28,16,29,0,0,0,0,0,0,27,60,7,13,0,0,0,0,3,5,8,13,9,20,4148,10135,526,..,4675,10135
UCL113012,3765,9404,581,974,931,1973,1515,2947,185,286,141,208,347,600,0,0,3,21,682,1116,0,3,8,12,0,0,4,9,9,24,17,32,5985,13520,2601,..,8584,13520
UCL113013,4319,11459,611,1001,196,332,804,1324,39,45,0,0,0,0,0,0,15,38,51,77,19,25,114,199,0,0,9,20,139,240,7,16,5319,13124,311,..,5633,13124
UCL113014,4405,11932,368,677,209,373,584,1044,231,345,0,0,0,0,0,0,4,0,231,347,40,52,37,59,0,0,0,7,76,120,7,16,5306,13461,389,..,5698,13461
UCL113015,4145,9658,178,311,28,36,202,345,72,121,0,0,0,0,0,0,8,23,85,142,18,26,30,38,0,0,3,8,44,67,15,21,4489,10225,1296,..,5787,10225
UCL113016,5705,14127,765,1094,45,81,809,1172,610,870,35,37,0,0,0,0,11,14,649,930,0,0,0,0,0,0,12,28,14,29,12,13,7190,16274,493,..,7682,16274
UCL113017,5116,12016,259,402,261,466,517,868,121,190,4,8,0,0,0,0,16,29,143,234,28,46,147,205,0,3,15,27,194,277,21,50,5992,13442,1941,..,7928,13442
UCL113018,807,1877,114,179,0,4,113,186,13,21,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,943,2085,339,..,1281,2085
UCL114001,1618,3920,482,774,69,107,552,883,18,33,0,0,0,0,0,0,6,9,21,39,0,0,0,9,0,0,0,0,0,10,4,4,2200,4857,131,..,2330,4857
UCL114002,2750,5877,508,749,69,121,574,866,206,322,12,18,0,0,0,0,5,8,223,349,22,40,159,226,0,0,20,40,205,306,19,39,3776,7435,486,..,4259,7435
