SA2_MAINCODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
101041017,1050,106,97,24,3,1277,633,17,15,3,3,666,276,71,136,0,0,484,72,45,56,0,0,171,149,10,51,5,3,223,18,8,6,0,0,30,7,5,10,10,3,39,9,3,0,0,0,15,535,146,262,16,10,959,6,24,7,3,0,47,65,8,24,6,0,106,2291,300,398,46,19,3055
101041018,1305,154,56,30,4,1547,707,39,19,0,3,772,343,119,92,5,4,557,34,9,18,0,0,62,165,26,18,0,5,218,15,4,6,0,0,20,11,3,0,3,0,18,11,0,4,0,0,18,580,160,134,5,8,892,12,3,0,0,0,17,71,12,5,7,6,101,2677,357,218,44,22,3314
101041019,1176,50,12,27,8,1272,900,12,12,0,5,934,360,70,51,0,0,479,90,42,4,0,0,146,159,15,12,0,0,183,13,10,18,0,0,41,15,0,0,3,0,17,12,3,3,0,0,21,650,144,86,7,4,886,13,13,0,0,0,30,83,13,13,3,0,110,2833,239,115,34,19,3239
101041020,1622,3,4,34,9,1674,1110,0,0,17,12,1138,104,6,3,3,3,116,0,0,3,0,0,8,223,0,3,7,3,245,0,0,4,0,0,9,46,0,0,0,0,41,36,0,0,0,3,39,405,6,14,17,10,455,35,0,0,0,0,40,84,0,0,3,0,88,3262,10,21,63,35,3395
101041021,467,77,8,35,0,588,309,20,6,4,3,336,95,23,20,0,0,136,0,0,0,0,0,0,77,12,7,0,0,102,3,7,0,0,0,6,3,0,0,16,3,19,8,0,0,0,0,12,192,38,30,16,3,278,0,43,0,0,0,49,22,5,0,0,3,38,991,186,44,48,10,1285
101041022,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,15
101041023,453,15,14,30,12,522,245,12,8,3,0,266,119,47,41,0,0,209,86,5,12,0,0,105,50,9,15,0,0,79,6,4,3,0,0,10,10,0,0,13,3,22,5,0,0,0,0,11,276,61,72,12,8,431,4,0,0,0,0,8,37,8,3,5,0,51,1017,96,94,51,23,1283
101041024,606,0,0,9,3,628,376,0,0,0,5,376,35,0,0,3,0,35,12,0,0,0,0,12,108,3,0,11,0,115,10,0,0,0,0,5,15,0,0,0,6,19,14,0,0,3,0,17,188,4,0,16,4,209,18,0,0,0,0,18,43,0,0,0,0,48,1230,5,3,31,15,1277
101041025,1491,384,90,53,12,2028,944,104,30,8,10,1102,266,208,95,20,0,595,13,20,3,0,0,41,169,85,27,0,9,283,5,14,12,0,0,26,17,9,4,12,0,37,14,3,0,0,0,24,486,344,134,33,12,1007,13,33,22,0,0,67,83,38,12,9,3,140,3007,897,291,109,40,4340
101041026,1537,29,26,19,5,1615,788,7,21,3,13,827,249,35,51,5,0,338,64,22,23,0,0,112,209,13,15,3,0,245,9,3,5,0,0,16,16,0,3,3,0,18,21,4,0,0,0,22,574,72,93,14,3,755,19,4,4,3,0,25,85,3,16,3,3,111,2997,116,159,42,21,3331
101041027,1720,137,37,83,17,1986,733,30,23,8,3,792,250,72,58,6,3,394,47,17,17,0,0,87,192,32,11,12,0,252,19,5,10,0,0,31,23,9,4,6,0,42,30,0,0,0,0,34,559,135,108,22,11,836,30,0,3,3,0,36,97,20,7,5,4,129,3138,320,173,121,28,3785
101051539,2601,186,19,23,5,2838,2497,92,19,6,0,2610,1022,326,213,15,7,1579,407,54,50,0,0,513,378,64,31,5,3,475,41,48,10,0,0,92,47,6,5,28,9,87,24,9,3,0,0,40,1916,504,309,49,18,2790,34,33,3,0,3,80,194,40,14,12,3,260,7248,852,353,87,37,8575
101051540,2065,23,0,27,16,2143,1499,4,0,17,15,1535,247,4,9,0,0,262,14,3,0,0,0,21,300,10,0,6,10,320,7,8,0,0,0,19,66,0,0,0,3,69,59,0,0,0,3,57,690,33,9,4,11,743,40,3,0,0,0,48,119,4,3,3,5,136,4418,67,6,56,42,4602
101061541,743,43,4,3,0,804,876,29,3,0,0,909,213,61,3,0,0,279,65,4,0,0,0,70,125,15,6,0,0,153,17,14,0,0,0,31,13,8,0,3,0,17,11,4,0,0,0,13,437,101,9,3,5,561,14,20,0,0,0,32,41,10,0,0,0,54,2107,206,20,14,7,2359
101061542,1344,3,3,15,16,1381,1784,0,0,15,20,1815,129,4,0,0,0,134,0,0,0,0,0,0,270,7,0,0,9,291,7,3,0,0,0,9,77,0,0,0,0,81,52,0,0,0,0,55,533,13,0,7,9,568,38,0,0,0,0,37,61,0,0,4,4,71,3757,14,5,43,50,3872
101061543,1379,32,48,9,0,1467,1112,10,8,0,0,1134,492,109,143,0,4,749,93,21,6,0,0,116,202,11,7,0,0,223,13,3,12,0,0,29,28,7,3,0,0,41,30,5,3,0,0,32,857,147,178,0,3,1190,19,0,3,0,0,26,104,10,18,0,0,134,3472,199,260,12,10,3944
101061544,1232,57,11,22,19,1334,778,22,3,10,11,809,131,7,3,0,0,143,14,3,6,0,0,25,247,12,9,4,3,267,3,0,13,0,0,18,85,0,0,3,0,98,58,0,0,0,0,61,538,26,27,9,6,616,32,0,3,3,0,38,109,10,4,0,8,124,2687,118,47,40,40,2925
102011028,722,37,25,69,0,854,999,27,18,0,0,1051,263,44,41,8,4,354,0,0,0,0,0,0,96,9,4,5,0,115,0,0,0,0,0,0,3,0,0,5,0,9,9,3,0,0,0,12,373,57,47,16,4,497,8,0,0,0,0,8,35,3,4,4,0,49,2145,121,93,95,8,2457
102011029,1743,31,40,3,7,1823,1460,22,3,3,4,1484,277,27,4,3,0,311,0,4,0,0,0,4,126,5,3,0,3,136,0,0,4,0,0,6,35,0,0,0,4,36,15,0,0,0,0,16,459,34,16,6,7,518,20,10,25,0,0,53,74,3,7,0,0,87,3745,96,93,12,17,3965
102011030,592,4,0,9,3,609,527,3,0,3,3,538,115,0,19,3,3,140,0,0,0,0,0,0,155,3,3,5,5,171,0,0,0,0,0,0,37,0,0,5,0,42,28,4,0,0,0,35,341,10,19,16,10,392,15,0,0,3,0,18,41,0,0,4,7,50,1512,12,20,40,16,1607
102011031,1994,272,73,4,4,2342,1522,50,50,0,8,1626,309,93,53,0,0,461,64,57,12,0,0,130,127,34,8,0,3,171,4,25,0,0,0,29,60,6,0,0,0,68,10,3,0,0,0,19,569,220,72,3,4,869,28,143,6,0,0,178,128,37,9,0,4,172,4239,719,212,3,20,5190
102011032,1091,269,497,0,11,1872,1357,246,412,0,8,2023,553,446,1286,3,17,2306,143,186,283,0,3,620,179,58,173,0,8,414,18,52,70,0,6,140,16,8,16,0,0,37,9,4,16,0,0,33,920,757,1833,3,32,3554,16,23,46,0,6,91,81,47,107,0,11,244,3467,1343,2899,4,56,7778
102011033,445,17,0,0,3,467,993,54,4,0,0,1048,207,47,3,0,3,260,52,8,0,0,0,62,74,15,0,0,0,87,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,6,347,71,3,0,3,418,4,0,0,0,0,4,31,3,0,0,0,37,1819,144,5,0,11,1977
102011034,652,374,15,0,3,1044,875,65,0,0,0,939,172,61,5,0,0,237,62,75,0,0,0,140,67,18,3,0,0,92,3,10,0,0,0,18,3,13,0,0,0,17,8,3,0,0,0,9,316,184,10,0,0,509,15,251,19,0,0,287,37,68,3,0,0,113,1895,946,45,0,3,2892
102011035,655,71,0,0,0,725,981,63,0,0,0,1048,187,49,3,0,0,238,42,40,0,0,0,79,72,12,0,0,0,90,3,3,0,0,5,11,6,0,0,0,0,6,3,0,0,0,0,3,321,103,3,0,3,438,5,0,0,0,0,5,33,6,0,0,0,44,1999,247,8,0,8,2256
102011036,685,55,51,18,3,816,1156,63,3,43,3,1270,157,117,0,4,3,277,41,48,6,0,0,96,76,17,6,8,0,106,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,282,183,18,13,3,493,7,0,28,0,0,38,29,10,6,4,0,49,2161,310,113,72,15,2669
102011037,798,67,19,0,4,888,848,26,13,0,0,886,295,30,38,3,0,363,3,9,23,0,0,30,65,13,16,3,0,92,0,6,7,0,0,16,3,0,4,0,0,5,8,0,4,0,0,13,368,48,96,7,3,525,10,0,3,0,0,10,43,3,4,0,13,61,2072,143,134,9,16,2373
102011038,816,82,59,0,0,957,1029,15,11,3,0,1055,195,18,18,7,4,243,0,0,12,0,0,9,99,9,3,0,0,113,0,0,3,0,0,3,3,3,0,0,0,7,8,0,0,0,0,8,306,32,40,3,3,382,5,48,35,0,0,85,45,6,7,0,0,60,2200,180,148,7,3,2543
102011039,1472,147,227,0,8,1856,1454,68,161,0,0,1675,471,93,322,0,17,901,0,0,25,0,0,25,121,23,61,0,0,202,0,0,0,0,0,0,22,3,0,0,0,27,20,0,3,0,0,20,632,125,405,0,19,1178,15,0,0,0,0,17,80,5,14,0,5,104,3649,339,811,0,27,4828
102011040,2553,906,147,23,3,3629,2122,252,38,21,5,2443,1331,508,254,207,23,2319,14,44,17,3,3,84,345,100,39,34,7,532,6,3,9,0,0,21,32,4,3,3,0,41,34,13,3,4,3,56,1754,675,329,248,39,3048,31,12,40,0,0,76,184,78,40,7,6,321,6648,1919,590,301,54,9516
102011041,995,122,33,0,0,1152,1298,41,24,0,3,1369,262,53,69,3,5,391,0,0,0,0,0,0,111,9,8,0,0,129,4,4,0,0,0,10,7,0,0,0,0,9,10,0,0,0,0,11,395,73,81,3,3,555,15,55,19,0,0,91,63,10,10,0,0,88,2768,301,171,10,8,3258
102011042,1444,547,72,12,5,2082,1295,173,26,3,3,1506,619,298,103,61,7,1086,86,215,123,0,0,425,184,72,16,13,3,287,8,13,7,0,0,31,9,3,0,0,0,15,15,9,3,0,0,27,923,614,260,70,15,1884,26,8,19,0,0,51,109,63,31,4,11,220,3800,1400,412,94,27,5730
102011043,944,314,21,3,0,1281,1412,82,16,4,0,1519,401,87,29,8,0,524,136,69,6,0,0,212,147,19,5,4,0,174,3,9,4,0,0,15,11,12,0,14,0,33,6,12,0,0,0,24,709,201,40,28,3,984,18,208,3,0,0,232,63,72,3,0,3,145,3145,880,78,37,4,4153
102021044,2301,321,45,0,6,2677,2768,100,46,3,4,2923,831,114,78,4,10,1036,216,170,13,0,0,396,314,31,16,3,0,365,29,49,0,0,0,76,17,8,3,3,3,40,27,6,0,0,0,40,1437,391,113,8,7,1959,20,105,3,0,5,133,181,77,10,4,4,268,6707,993,217,12,29,7964
102021045,945,7,0,0,0,952,1509,13,0,5,0,1527,762,30,3,5,0,804,37,6,0,0,0,49,209,6,0,0,0,211,9,0,0,0,0,9,8,0,0,0,0,8,9,0,0,0,0,13,1035,39,3,4,3,1091,16,0,0,0,0,16,102,4,0,0,0,106,3609,70,6,6,4,3694
102021046,1432,23,33,17,5,1516,1153,15,19,0,0,1183,455,17,48,4,0,527,38,3,12,0,0,59,197,5,14,0,0,221,5,0,3,0,0,3,37,3,3,19,0,58,12,0,0,3,0,20,745,33,76,26,0,886,17,0,0,0,0,17,127,3,6,3,3,142,3468,69,135,52,12,3739
102021047,1514,107,161,0,3,1790,2266,32,6,0,0,2310,532,62,28,0,0,618,52,23,0,0,0,79,213,11,9,0,0,241,4,5,0,0,0,6,3,0,0,0,0,3,13,3,3,0,0,20,820,107,41,0,0,965,34,69,3,0,0,104,85,20,13,0,8,121,4719,329,230,3,9,5298
102021048,2282,159,265,43,3,2742,2393,72,100,0,3,2565,1121,143,187,0,3,1455,94,69,113,0,3,273,384,30,63,3,3,485,12,21,48,0,3,89,29,6,10,63,3,110,28,4,10,0,0,46,1674,270,436,64,16,2458,22,8,32,3,0,66,192,26,60,16,48,336,6552,527,888,126,67,8170
102021049,362,0,7,0,0,371,468,4,0,3,0,473,29,3,0,0,0,31,0,0,0,0,0,0,61,0,0,0,0,60,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,3,12,105,3,3,0,3,113,10,0,0,0,0,10,17,0,0,0,4,25,961,5,3,3,7,986
102021050,2063,4,4,18,0,2090,1287,5,0,0,0,1295,389,7,34,0,4,434,8,0,0,0,0,8,180,0,0,0,0,187,0,0,0,0,0,0,75,0,0,0,0,82,8,0,0,3,0,14,679,9,35,7,6,734,17,0,0,0,0,20,139,3,0,0,0,144,4182,22,44,28,7,4282
102021051,451,63,0,0,0,516,647,100,0,0,3,751,92,114,3,0,0,210,14,12,0,0,0,24,74,32,0,0,0,102,0,3,0,0,0,5,5,0,0,0,0,10,3,0,0,0,0,3,192,161,3,3,3,357,0,0,0,0,0,0,23,4,0,0,0,27,1309,325,9,3,3,1649
102021052,813,9,9,8,0,834,823,0,5,3,0,840,279,8,8,0,0,294,0,0,0,0,0,0,116,3,0,0,0,117,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,404,8,14,0,0,427,13,0,0,0,0,13,52,3,0,0,0,55,2104,26,24,16,0,2167
102021053,1097,582,276,40,7,2012,856,266,122,9,6,1256,708,633,665,17,15,2034,3,168,76,0,0,246,198,115,94,9,6,421,3,10,12,0,0,27,15,18,13,21,7,73,24,20,3,0,0,40,946,956,861,44,30,2840,13,3,10,0,0,26,99,78,42,3,4,238,3020,1890,1317,99,44,6371
102021054,1073,361,40,27,4,1500,891,39,15,0,0,945,576,87,155,0,6,823,12,62,41,0,0,111,169,21,26,3,0,222,0,8,10,0,0,20,8,18,6,19,0,51,16,0,0,0,0,18,782,198,237,18,10,1251,7,14,7,0,0,33,85,46,12,3,0,151,2837,660,314,54,18,3881
102021055,434,67,0,0,3,502,590,89,0,0,0,680,239,122,24,0,3,391,3,3,0,0,0,10,77,14,3,0,4,100,4,4,0,0,0,6,10,3,0,0,0,14,8,0,0,0,0,8,342,149,24,0,8,523,7,0,0,0,0,7,30,7,0,0,4,46,1397,317,23,0,10,1757
102021056,1177,34,0,0,5,1213,1975,18,0,0,0,1998,850,122,3,4,0,975,17,14,0,0,0,38,141,6,0,0,0,149,13,47,0,0,0,62,96,0,0,0,0,96,5,0,0,0,0,5,1126,187,5,4,4,1324,15,27,0,0,0,42,83,5,0,0,0,98,4380,278,7,3,12,4674
102021057,853,41,10,18,4,930,861,44,11,3,0,926,449,125,69,3,3,652,146,131,88,3,0,371,127,10,6,3,0,143,13,20,13,0,0,43,16,0,0,11,3,37,11,0,4,0,0,12,761,289,181,19,6,1258,11,4,0,0,0,11,65,16,8,3,3,96,2550,392,209,50,18,3224
103011058,2328,212,47,7,4,2605,2381,149,37,0,0,2569,1209,628,341,8,6,2194,206,77,45,0,0,325,379,109,42,5,0,529,21,15,0,0,50,89,27,10,9,0,3,50,35,8,6,0,0,50,1875,845,440,15,67,3239,28,6,3,0,3,45,138,33,13,0,36,226,6752,1248,550,20,112,8681
103011059,1065,63,7,7,3,1148,1443,19,0,4,4,1473,456,45,0,0,0,496,144,48,14,0,0,206,151,11,0,0,3,167,9,3,0,0,3,13,8,0,0,0,0,17,6,3,0,3,0,15,774,108,15,8,7,919,16,0,0,0,5,23,70,11,8,0,8,95,3368,201,37,21,26,3652
103011060,1010,0,0,4,9,1023,889,0,3,0,6,904,67,3,0,0,0,72,3,0,0,0,0,3,142,0,0,0,3,151,3,0,3,0,0,3,28,0,0,0,0,29,23,0,0,0,0,24,263,7,7,3,3,280,18,0,0,0,0,23,51,0,0,0,0,52,2233,6,8,9,18,2272
103011061,658,0,0,3,23,685,479,0,0,7,17,506,186,10,25,0,16,231,18,0,10,0,0,29,91,0,0,0,4,95,0,0,5,0,0,7,37,0,0,0,0,41,20,0,0,0,0,20,353,8,38,0,24,416,4,0,0,0,0,9,53,0,6,0,0,51,1548,8,41,9,60,1671
103021062,955,3,3,3,24,992,515,0,0,3,23,546,105,0,17,0,5,128,91,0,3,0,0,99,240,0,14,4,11,263,54,3,4,0,0,59,83,0,14,3,5,110,35,0,3,0,0,41,609,3,57,8,19,700,25,0,0,0,0,25,88,0,5,7,0,107,2196,13,68,20,71,2369
103021063,1354,29,24,8,7,1419,912,3,4,3,3,931,375,53,114,3,0,547,154,4,22,0,0,179,197,9,25,0,3,239,20,4,11,0,0,39,20,0,3,3,0,35,21,0,5,0,0,26,786,71,182,9,5,1066,10,9,0,0,0,23,111,9,15,3,0,135,3173,128,229,22,15,3571
103021064,951,24,0,7,20,997,578,10,0,3,7,605,91,0,13,3,0,113,22,0,0,0,0,22,145,11,5,3,5,175,6,0,0,0,0,6,49,0,0,0,0,51,33,0,3,3,0,34,345,16,22,11,8,401,14,0,0,0,0,19,72,0,3,3,4,78,1953,48,32,24,37,2100
103021065,1391,25,6,29,8,1453,1093,5,3,10,3,1118,274,66,75,0,0,414,119,5,15,0,0,135,260,12,17,4,0,294,11,0,7,0,0,20,75,0,5,8,3,97,39,0,0,0,0,40,778,86,118,19,5,1002,30,0,0,0,0,28,101,4,11,5,0,126,3396,119,141,68,15,3737
103021066,701,14,0,3,4,726,352,0,0,3,3,357,58,20,5,0,0,88,14,0,0,0,0,14,97,3,0,3,0,108,34,3,0,0,0,34,20,0,0,0,0,22,19,0,0,0,0,21,243,28,4,3,0,287,15,0,0,0,0,16,54,3,0,0,0,61,1360,53,7,9,11,1449
103021067,1251,27,24,8,6,1322,1203,7,5,0,3,1224,398,58,133,6,3,595,138,14,45,0,0,197,309,11,27,0,4,353,9,5,16,0,3,34,26,3,7,7,3,50,24,0,0,0,0,30,906,101,223,12,11,1250,19,0,9,0,3,32,116,4,14,0,4,134,3491,138,273,26,30,3958
103021068,577,0,0,7,8,593,298,0,0,0,3,309,22,0,6,0,0,33,18,0,0,0,0,18,134,0,0,0,0,135,24,3,8,0,0,35,29,0,0,3,0,29,20,0,0,0,3,20,248,8,9,4,3,273,17,0,0,0,0,20,48,0,0,3,0,47,1182,5,15,17,13,1237
103021069,982,3,4,4,12,1009,550,0,0,3,10,564,92,0,22,0,3,122,32,0,3,0,0,28,173,0,3,3,7,181,3,0,8,0,0,15,87,0,6,3,3,98,41,0,3,0,0,44,423,3,44,3,11,492,16,0,0,0,0,15,81,0,5,0,9,94,2056,9,56,13,36,2175
103031070,1844,104,3,12,7,1970,1250,27,3,0,4,1285,523,209,56,3,4,789,231,88,27,0,0,349,242,15,15,3,0,279,6,8,3,0,0,23,13,0,4,11,0,33,22,3,3,0,0,29,1038,324,113,19,7,1504,38,19,0,0,0,52,124,33,6,0,3,167,4300,507,126,35,12,4985
103031071,1132,10,0,151,27,1312,866,4,0,117,24,1015,140,13,0,7,0,165,68,0,0,0,0,68,119,0,6,19,5,147,3,0,0,0,0,3,21,0,0,3,0,26,17,0,0,6,0,21,369,12,8,34,4,431,24,0,0,0,0,26,73,0,0,15,0,90,2463,27,12,312,54,2871
103031072,1130,43,45,23,6,1255,1304,24,13,3,7,1353,720,133,70,5,0,924,147,28,28,0,0,202,220,19,13,0,0,263,9,6,10,0,0,26,23,3,0,8,0,34,20,3,0,3,3,29,1142,194,117,17,4,1479,14,3,0,0,0,20,94,22,11,9,4,146,3683,290,187,62,21,4244
103031073,673,0,6,0,8,693,280,0,3,3,4,292,180,9,13,3,0,201,23,0,0,0,0,23,68,0,0,0,4,67,8,0,0,0,0,8,26,0,0,0,3,34,17,0,0,0,0,17,317,11,13,4,11,350,11,0,0,0,0,13,44,0,0,0,0,44,1326,11,24,10,23,1393
