SA2_MAINCODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
101041017,13,3,0,3,3,0,29,5,0,3,0,0,0,9,12,3,5,0,5,0,21,10,0,0,0,0,0,16,20,4,4,0,4,0,32,16,7,3,5,3,0,33,15,10,8,3,3,0,41,16,17,7,5,6,0,49,18,22,4,0,6,3,52,15,21,6,3,4,3,53,8,17,3,3,0,0,37,21,20,10,0,0,0,52,5,10,5,3,0,0,24,3,10,0,0,0,0,15,8,10,3,0,0,0,21,8,10,4,0,0,0,28,4,4,0,0,0,0,6,3,4,0,0,0,0,5,6,6,4,0,3,0,22,210,186,77,32,42,9,551
101041018,18,0,0,0,3,0,25,13,0,0,0,0,0,10,8,0,4,0,4,0,13,6,3,3,3,0,0,15,15,3,0,0,0,0,22,23,11,6,3,3,0,46,23,11,8,5,7,0,48,26,21,9,3,5,0,66,24,24,5,4,0,0,60,26,15,12,5,4,0,69,15,17,5,3,3,0,41,29,32,9,4,0,0,73,6,14,3,0,0,0,21,0,3,0,0,0,0,8,11,11,4,3,0,0,32,17,13,3,0,0,0,34,4,10,0,5,0,0,14,0,3,0,0,0,0,0,15,8,4,5,0,0,36,272,197,88,51,41,3,645
101041019,8,3,3,0,0,0,19,8,0,0,0,0,0,15,7,5,0,0,6,0,16,9,8,6,0,0,0,24,18,10,8,0,0,0,35,22,17,16,3,4,0,72,15,20,8,4,3,0,54,29,45,10,9,3,0,97,21,45,16,5,4,0,85,10,41,10,4,4,0,66,15,29,9,0,0,0,61,21,40,10,3,0,0,74,4,9,0,0,0,0,15,7,10,0,0,0,0,14,8,18,11,0,0,0,32,10,17,3,0,0,0,34,0,3,3,0,0,0,8,0,3,0,0,0,0,3,12,8,7,0,0,0,33,228,340,123,34,33,0,755
101041020,28,3,3,0,3,0,39,12,4,6,3,9,0,30,19,9,0,0,3,0,37,18,3,3,3,9,0,29,30,22,14,7,5,0,67,41,24,12,6,12,0,93,32,37,8,8,8,0,93,34,42,10,9,7,0,101,29,40,8,4,5,0,87,16,43,11,6,7,0,80,16,20,10,3,0,0,44,17,35,4,0,3,0,62,9,14,5,0,0,0,27,0,9,3,0,0,0,9,17,14,3,0,0,0,42,8,20,5,0,0,0,29,7,0,0,0,0,0,6,3,3,4,0,0,0,10,21,10,9,0,3,0,45,359,349,120,49,64,3,949
101041021,6,0,4,0,0,0,12,4,0,0,0,0,0,4,11,4,0,0,0,0,14,3,0,0,0,0,0,4,5,4,0,0,0,0,14,9,8,0,0,0,0,13,9,0,4,0,0,0,20,8,9,6,3,0,0,30,5,20,0,3,0,0,29,3,10,6,4,0,0,23,8,15,3,0,0,0,23,5,9,4,3,0,0,27,5,8,0,3,0,0,19,3,0,4,0,0,0,6,3,8,0,0,4,0,16,7,3,4,3,0,0,15,0,0,0,0,0,0,5,3,0,0,0,0,0,4,5,6,4,0,0,0,16,101,113,38,26,20,0,295
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,7,0,0,0,0,0,6,0,0,0,0,0,0,3,4,0,0,0,0,0,6,10,3,0,0,0,0,10,3,0,0,0,0,0,6,7,3,0,0,0,0,14,3,8,3,0,0,0,23,11,7,4,0,5,0,23,9,8,3,0,0,0,24,3,11,6,3,0,0,29,4,6,5,0,0,0,22,6,8,0,0,0,0,18,0,4,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,3,5,3,4,0,0,0,18,88,76,28,9,18,0,221
101041024,8,0,3,0,0,0,6,0,0,0,0,0,0,0,8,3,0,0,0,0,13,8,4,0,0,0,0,9,13,3,3,0,0,0,17,13,11,6,4,3,0,33,8,8,11,3,3,0,26,16,6,8,0,0,0,30,13,13,0,0,0,0,25,3,11,10,0,3,0,23,6,5,0,0,0,0,17,8,7,3,0,3,0,23,3,7,0,0,0,0,9,0,9,0,0,0,0,10,3,5,3,0,0,0,14,9,3,3,0,0,0,12,5,0,0,0,0,0,7,4,0,3,0,0,0,3,8,3,0,4,0,0,14,131,92,55,20,18,0,306
101041025,21,7,0,0,0,0,29,12,3,0,0,0,0,21,22,3,3,0,0,0,30,5,3,3,0,0,0,18,24,12,5,9,8,0,50,22,16,11,0,9,0,50,27,34,12,7,4,0,88,31,26,25,5,7,0,92,34,37,9,0,5,0,86,40,37,15,11,3,0,103,17,32,7,6,3,0,67,30,37,6,3,4,0,76,13,19,0,0,3,0,36,3,6,8,0,0,0,18,9,23,7,3,0,0,43,20,23,10,3,0,0,64,8,4,0,0,0,0,11,8,0,7,0,0,0,14,16,13,3,3,3,0,35,366,332,131,52,49,0,923
101041026,21,3,3,0,3,0,26,4,0,3,0,0,0,14,22,5,3,0,0,0,27,8,5,7,0,4,0,23,12,4,8,6,5,0,29,20,10,6,3,3,0,44,13,16,8,3,4,0,49,33,20,9,11,9,0,78,17,25,4,6,3,0,62,17,36,15,5,0,0,78,12,13,3,3,4,0,33,24,30,17,3,3,0,63,8,11,3,0,0,0,18,3,3,3,0,0,0,12,9,8,5,0,0,0,25,10,8,3,0,0,0,25,5,3,3,0,0,0,9,0,0,0,0,0,0,5,14,13,6,4,0,0,39,255,220,115,44,45,3,672
101041027,22,5,0,3,3,0,33,12,3,3,4,0,0,16,14,3,3,0,5,0,22,13,0,0,0,0,0,21,14,7,3,0,3,0,32,22,16,10,4,5,0,56,32,21,9,7,8,0,67,23,31,4,7,3,0,68,31,26,9,3,3,0,60,32,24,0,7,3,0,65,5,15,5,0,0,0,28,15,21,4,0,0,0,43,3,12,3,3,0,0,19,3,5,0,0,0,0,10,13,6,4,0,0,0,23,12,11,0,0,3,0,24,3,0,0,0,0,0,5,0,3,0,0,0,0,7,13,11,3,0,0,0,32,286,216,59,41,31,5,642
101051539,28,12,8,3,3,5,49,10,6,3,0,0,0,23,16,11,14,3,3,0,39,19,10,8,8,6,0,48,42,22,8,7,12,0,89,40,42,29,18,19,3,148,65,60,34,13,8,4,183,65,102,29,24,21,0,241,76,111,38,23,15,0,253,76,123,45,21,15,3,281,34,91,22,3,3,0,155,57,104,35,12,10,0,219,14,49,16,0,3,0,80,7,27,4,0,0,0,40,30,48,16,7,0,0,101,23,33,20,3,3,0,87,11,11,8,0,0,0,32,4,4,0,0,0,0,12,25,27,17,5,5,0,81,650,887,337,142,124,22,2159
101051540,10,17,5,0,0,0,36,5,0,3,0,3,0,14,22,0,0,0,7,0,28,9,9,3,0,4,0,25,30,19,7,4,3,0,67,34,22,12,3,3,0,79,39,30,10,4,3,0,82,46,53,22,11,7,0,132,37,44,7,6,3,0,100,40,65,23,0,0,0,138,19,37,12,3,6,0,76,26,69,21,7,3,0,119,20,31,14,3,3,0,64,12,21,9,0,0,0,33,26,41,19,3,3,0,93,39,47,16,5,0,0,109,15,7,4,0,3,0,29,6,12,3,0,0,0,22,33,25,11,0,3,3,81,471,539,210,57,45,13,1333
101061541,7,9,3,0,0,0,18,7,0,0,0,0,0,9,4,3,6,0,0,0,18,11,3,0,0,6,0,18,0,3,3,0,0,0,11,16,9,5,3,6,0,47,13,19,6,0,6,0,45,14,28,4,0,4,0,47,12,32,14,7,7,0,67,20,49,8,3,3,0,85,19,35,12,7,0,0,72,24,54,13,0,4,0,91,10,28,0,3,0,0,41,6,12,3,0,0,0,27,22,44,7,4,0,0,74,26,36,11,3,0,0,67,3,7,3,0,0,0,11,4,4,0,0,0,0,5,11,4,0,0,0,0,19,232,374,99,36,49,3,785
101061542,28,10,10,0,6,0,55,8,3,5,0,5,0,20,11,8,4,3,0,0,32,11,6,9,0,0,0,22,24,10,10,6,0,0,41,20,27,14,0,10,0,68,32,21,16,10,4,0,87,34,36,11,0,6,3,96,28,50,16,7,3,0,99,26,51,13,3,3,0,97,22,35,8,3,6,0,72,42,80,27,3,4,0,153,16,30,7,0,3,0,59,15,24,9,3,4,0,55,43,97,32,12,4,0,175,79,154,44,12,3,0,295,25,54,8,0,0,0,91,32,35,14,0,3,0,82,21,22,15,3,3,0,73,517,759,256,65,63,11,1668
101061543,14,13,10,0,3,0,40,3,0,0,0,0,0,11,11,3,0,3,3,0,21,8,5,4,3,4,0,20,23,21,7,8,4,0,65,26,35,21,17,3,0,94,25,55,20,15,10,0,114,35,59,20,19,4,0,128,28,52,14,3,14,0,106,24,49,15,7,6,0,99,8,27,7,0,3,0,43,19,39,10,0,0,0,73,0,18,0,0,0,0,20,3,12,0,3,0,0,18,5,16,0,0,0,0,20,6,18,3,0,0,0,28,3,6,0,0,0,0,11,3,0,3,0,0,0,6,12,12,4,3,6,0,45,255,426,132,81,59,8,967
101061544,20,13,11,4,3,0,49,3,0,0,0,0,0,8,10,0,7,4,3,3,25,19,6,8,3,6,0,39,23,14,8,8,8,0,63,30,22,14,6,4,0,82,23,22,13,0,3,0,62,23,23,6,7,0,0,58,13,19,7,0,3,0,42,7,19,3,0,5,0,41,11,9,0,0,0,0,21,19,26,0,3,0,0,43,4,13,0,0,0,0,15,6,7,3,0,0,0,14,3,10,3,3,0,0,12,11,4,4,0,0,0,15,0,3,0,0,0,0,3,5,3,3,0,0,0,12,22,16,12,3,3,0,55,249,221,106,36,43,6,663
102011028,10,3,3,0,0,0,16,3,0,3,0,3,0,13,7,0,10,0,0,0,16,8,5,5,0,0,0,11,10,11,4,3,3,0,29,5,11,8,0,0,0,29,14,21,10,0,4,0,45,10,21,17,3,3,0,51,3,16,16,3,3,0,39,7,19,18,5,8,0,53,8,24,3,4,8,0,50,24,70,21,9,6,0,123,14,39,7,0,0,0,59,11,29,8,5,3,0,49,18,71,19,4,4,0,120,24,101,26,7,4,0,156,9,38,6,0,0,0,59,4,22,5,6,3,0,37,6,12,9,3,3,0,39,178,506,192,55,50,3,991
102011029,29,4,13,0,7,0,54,8,5,0,3,3,0,14,10,5,8,0,0,0,30,8,3,12,0,3,0,24,9,11,5,0,7,0,34,16,18,18,8,7,0,63,5,28,15,5,8,0,57,23,27,16,5,3,0,73,25,32,14,5,10,0,79,25,49,19,3,3,0,105,16,38,8,4,4,0,67,36,85,31,13,7,0,171,21,34,12,3,0,0,74,5,29,9,0,0,0,49,27,74,27,3,7,0,137,38,93,33,3,7,0,170,22,30,11,5,0,0,68,10,9,5,3,0,0,33,21,30,9,0,3,0,65,351,608,269,65,74,3,1366
102011030,11,3,15,3,0,0,32,7,0,0,0,0,0,6,5,0,7,0,0,0,10,4,3,7,0,0,0,12,7,6,3,0,0,0,18,6,4,4,0,3,0,19,9,3,0,0,0,0,15,9,16,10,0,3,0,39,4,9,3,0,3,0,25,13,13,10,0,3,0,29,6,8,3,0,0,0,14,6,15,4,0,3,0,33,3,9,5,0,0,0,18,5,12,0,0,0,0,18,8,14,7,0,0,0,29,22,18,12,0,0,0,57,5,8,3,0,0,0,24,14,21,14,0,3,0,46,8,7,8,0,0,0,22,151,165,108,13,25,0,467
102011031,26,10,11,0,4,0,50,5,5,4,0,0,0,16,18,9,11,0,3,0,38,14,7,4,0,3,0,26,19,9,9,0,4,0,39,23,8,18,3,6,0,57,14,22,24,4,3,0,71,20,30,24,5,11,0,88,11,33,21,12,15,4,92,24,49,20,6,8,0,119,20,33,12,8,12,0,86,29,75,43,7,14,0,164,15,46,3,4,0,0,67,12,32,9,3,0,0,53,28,75,26,4,3,0,144,40,118,51,7,6,3,225,16,36,11,3,0,0,70,17,31,8,0,0,0,56,10,21,13,0,3,0,49,352,664,330,72,93,7,1519
102011032,22,9,6,3,5,0,43,4,3,0,3,3,0,11,6,9,12,0,4,0,32,12,5,5,0,7,0,33,13,14,9,7,4,0,46,14,13,6,11,9,0,58,21,36,16,4,14,0,96,37,47,15,9,13,0,120,42,72,25,6,10,0,154,51,78,21,18,18,0,187,39,68,23,3,10,0,140,62,103,28,10,13,0,215,29,31,9,3,0,0,75,18,38,8,5,0,0,66,34,54,14,3,5,3,120,42,60,12,5,9,0,126,10,14,4,0,3,0,34,4,10,9,0,3,0,25,17,22,8,0,5,0,46,476,675,232,90,130,10,1621
102011033,15,8,8,0,3,0,25,0,3,3,0,0,0,6,3,6,4,0,3,0,17,4,0,3,0,0,3,12,13,6,8,7,0,0,31,3,9,12,0,3,0,30,9,12,10,3,0,0,43,12,23,16,9,6,0,61,13,35,23,3,8,0,82,26,46,15,4,4,0,103,25,41,14,5,3,0,83,21,64,35,7,12,0,139,22,40,12,5,0,0,79,9,32,9,0,0,0,44,16,49,14,3,5,0,85,19,41,15,0,3,0,78,6,9,7,0,0,0,22,3,4,6,0,0,0,8,3,16,5,3,3,0,30,222,438,215,39,57,6,979
102011034,7,3,8,0,7,0,27,5,3,3,0,0,0,14,3,0,3,0,0,0,12,10,0,6,0,0,0,17,5,9,13,3,3,0,31,6,4,9,3,7,0,32,13,14,16,9,3,0,51,8,10,9,5,7,0,41,16,20,16,5,5,0,65,19,35,10,8,11,0,84,14,38,10,3,3,0,72,21,60,22,5,11,0,115,5,27,12,0,4,0,50,8,23,4,3,3,0,38,15,59,13,3,5,0,89,14,33,8,3,0,0,67,0,14,4,0,3,0,18,3,5,3,0,0,0,15,3,7,11,3,0,0,31,186,359,192,52,74,3,855
102011035,9,9,3,3,4,5,29,3,0,4,0,0,0,5,8,0,3,0,0,0,14,4,0,0,0,5,0,14,9,8,10,0,0,0,24,10,9,17,3,3,0,36,15,12,13,11,12,0,56,14,22,19,4,11,0,69,19,46,12,4,5,3,88,24,58,17,8,11,0,122,14,52,15,6,0,0,87,36,51,25,7,3,0,124,24,28,9,0,0,0,64,3,13,8,0,0,0,23,16,41,11,5,3,0,77,12,24,13,3,7,0,64,6,7,0,0,0,0,14,0,4,5,0,0,0,10,14,15,10,4,0,0,46,225,399,184,68,74,9,954
