SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101021007,3,10,12,13,7,0,0,45,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,18,20,18,14,0,0,75,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,18,24,13,14,0,0,79,15,17,10,6,3,0,0,49,0,0,0,0,0,0,0,0,26,33,32,24,17,0,0,132
101021008,18,20,13,11,19,3,0,93,3,0,0,0,0,0,0,6,0,3,3,0,0,0,0,9,40,63,39,36,61,20,12,274,0,6,0,3,0,0,0,11,3,4,6,0,0,0,0,21,3,13,12,3,3,3,0,29,44,77,47,40,62,22,14,303,57,55,16,15,17,0,4,166,0,3,0,0,0,0,0,4,103,133,68,52,74,22,14,474
101021009,34,35,21,15,8,4,0,110,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,64,67,54,37,44,21,5,285,3,7,0,0,0,0,0,7,3,4,0,0,0,0,0,12,5,7,0,0,0,0,0,19,67,74,54,39,46,21,5,305,60,34,12,9,8,0,0,121,0,0,0,0,3,0,0,3,130,108,57,42,59,18,5,434
101021010,12,10,5,3,4,0,0,25,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,21,29,15,13,13,5,3,104,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,9,0,0,0,0,0,8,24,37,15,12,14,5,0,115,15,12,4,0,0,0,0,37,4,0,0,0,0,0,0,7,46,44,19,15,15,9,6,157
101021011,14,41,21,12,12,4,3,105,5,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,36,94,52,37,48,12,4,293,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,11,0,0,0,0,0,15,34,103,60,37,48,12,4,306,26,21,10,8,10,0,0,77,0,0,0,0,0,0,0,0,61,127,67,46,59,18,4,383
101021012,12,34,16,15,11,6,0,95,7,3,0,3,3,0,0,9,0,0,0,0,0,0,0,4,41,96,53,40,65,26,8,338,4,3,3,0,0,0,0,6,5,3,0,3,0,0,0,8,5,4,7,3,0,0,0,18,51,105,54,47,65,26,8,353,30,20,13,5,11,3,3,76,0,0,0,0,0,0,0,0,75,125,65,49,77,25,10,431
101031013,0,6,5,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,9,4,0,0,33,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,15,15,9,5,0,0,44,12,7,3,4,3,0,0,34,0,0,0,0,0,0,0,0,18,24,16,8,6,0,0,72
101031014,19,42,13,17,13,0,0,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,30,52,38,25,43,7,3,198,0,9,4,0,0,0,0,12,8,5,0,0,0,0,0,10,9,8,5,0,0,0,0,24,37,64,39,27,43,7,3,221,37,39,28,15,6,4,0,129,0,3,0,0,3,0,0,10,75,103,63,45,52,14,3,360
101031015,0,0,5,7,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,6,7,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,3,0,0,0,0,0,4,0,16,10,6,7,0,0,42,4,3,3,3,4,0,0,17,0,0,0,0,0,0,0,0,4,16,17,11,12,0,0,62
101031016,3,12,17,8,9,3,0,54,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,11,24,34,25,38,5,0,131,0,3,4,0,0,0,0,6,0,0,0,0,3,0,0,4,3,4,4,0,3,0,0,13,13,26,39,26,40,5,0,143,12,11,8,7,3,0,0,41,0,0,0,0,0,0,0,0,25,31,43,31,38,5,0,181
