SA2_MAINCODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,4,0,8,0,3,0,5,0,0,0,10,4,0,13,3,3,0,11,0,0,0,9,10,0,20,3,6,0,11,0,0,0,11,3,0,15,0,3,0,3,0,0,0,3,3,0,9,7,3,0,8,0,0,0,8,4,0,13,0,0,0,0,0,0,0,0,3,0,3,3,0,3,4,0,0,0,4,0,0,4,3,0,0,3,0,0,0,3,4,0,4,9,3,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,0,6,4,0,13,0,0
101021008,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,4,12,0,14,0,0,3,7,0,0,3,6,18,0,26,0,8,0,8,5,3,5,10,10,0,21,3,9,0,12,0,3,3,18,17,0,32,3,13,0,17,3,0,3,19,25,0,45,15,12,0,27,0,0,0,27,17,0,44,14,8,3,25,0,0,0,31,18,0,49,18,10,0,26,0,0,0,26,16,0,36,18,10,0,28,0,0,0,25,4,0,32,17,3,0,21,0,0,0,24,0,0,23,35,3,0,41,0,0,0,37,8,0,43,12,0,0,12,0,0,0,12,3,0,14,11,0,0,12,0,0,0,12,3,0,14,0,0,0,3,0,0,0,3,0,0,4,3,0,0,3,0,0,0,3,0,0,0,18,3,3,24,0,3,3,24,9,0,42,0,0
101021009,0,0,0,0,0,0,3,4,5,0,7,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,3,0,0,3,0,3,0,8,3,0,3,11,7,0,14,0,4,0,9,3,3,5,9,8,0,23,0,7,0,7,0,3,3,15,26,0,32,7,16,3,25,0,0,0,28,16,0,40,16,11,0,28,0,0,0,32,19,0,46,25,8,0,30,0,0,0,34,14,0,42,27,7,4,30,0,0,0,36,13,0,43,23,7,0,35,0,0,0,33,11,0,40,26,3,0,27,0,0,0,27,11,0,44,33,4,0,35,0,0,0,40,9,0,45,12,3,0,19,0,0,0,19,8,0,22,5,0,0,7,0,0,0,7,3,0,11,6,0,0,6,0,0,0,6,0,0,12,3,3,0,12,0,0,0,12,0,0,11,21,8,3,29,0,0,0,29,12,0,38,0,0
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,4,0,0,0,6,3,0,6,0,0,0,0,0,0,0,0,3,0,5,3,0,0,5,0,3,3,6,8,0,14,3,3,0,6,0,0,0,6,5,0,14,9,6,0,14,0,0,0,14,3,0,22,10,3,3,15,0,0,0,15,3,0,24,14,3,3,24,0,0,0,25,3,0,25,8,0,0,8,0,0,0,8,0,0,8,0,4,0,6,0,0,0,6,4,0,7,10,0,0,13,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,0,3,0,0,5,6,0,0,12,0,0,0,12,6,0,18,0,0
101021011,0,0,0,3,3,0,3,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,0,4,0,0,3,7,3,0,13,0,3,0,4,0,0,0,4,9,0,16,0,11,0,17,0,0,0,14,11,0,24,3,4,0,10,0,0,0,10,4,0,13,9,10,0,18,0,0,0,18,7,0,22,15,6,0,25,0,0,0,25,3,0,30,12,6,0,20,0,0,0,20,10,0,26,16,5,0,27,0,0,0,27,7,0,31,14,3,0,14,0,0,0,14,4,0,19,40,0,6,48,0,0,0,48,6,0,56,16,0,0,14,0,0,0,14,3,0,22,3,4,0,9,0,0,0,9,0,0,11,11,0,0,8,0,0,0,8,0,0,8,6,3,0,7,0,0,0,7,0,0,11,19,10,3,31,0,0,0,31,8,0,37,4,0
101021012,0,0,0,0,0,0,0,3,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,7,5,0,7,0,0,0,0,0,0,0,3,10,0,11,0,3,0,5,0,0,0,5,5,0,13,8,6,0,15,0,0,0,11,8,0,27,5,12,0,26,0,0,0,26,14,0,37,16,14,0,32,0,0,0,32,7,0,33,20,9,0,28,0,0,0,28,8,0,33,30,3,5,37,0,0,3,34,3,0,39,22,9,0,31,0,0,0,34,7,0,42,53,9,0,60,0,0,0,64,11,0,68,24,0,0,24,0,0,0,24,4,0,24,9,0,0,9,0,0,0,9,3,0,9,13,3,3,20,0,0,0,18,0,0,17,12,0,0,13,0,0,0,13,0,0,13,30,0,0,36,0,0,0,36,10,0,44,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,3,0,3,0,0,0,7,0,3,0,3,0,0,0,3,3,0,9,0,3,0,3,0,0,0,3,4,0,8,0,0,0,3,0,0,0,3,10,0,13,3,0,0,3,0,0,0,3,3,0,9,3,0,0,4,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,5,0,0
101031014,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,3,9,7,0,17,0,4,0,6,0,0,0,6,8,0,16,0,10,0,12,3,0,3,16,10,0,26,3,10,0,16,0,0,3,15,18,0,30,4,20,0,22,0,0,0,22,17,0,43,5,10,0,11,0,0,0,11,15,0,31,7,7,3,22,0,0,0,22,13,0,33,10,9,0,21,0,0,0,23,10,0,34,9,3,0,13,0,0,0,13,0,0,13,11,0,0,11,0,0,0,11,0,0,15,10,4,0,16,0,0,0,16,3,0,13,10,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,4,0,18,0,0,3,24,12,0,35,5,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,4,0,4,0,0,0,4,0,0,4,0,3,0,3,0,0,0,8,4,0,8,0,0,0,0,0,0,0,0,5,0,9,4,0,0,3,0,0,0,3,10,0,10,0,3,0,3,0,0,0,3,3,0,4,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,3,0,6,0,0,0,6,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,6,0,8,0,8,0,0,0,8,3,0,10,0,4,0,3,0,0,0,6,3,0,5,7,10,0,17,0,0,0,17,3,0,24,3,8,0,10,0,0,0,11,3,0,17,6,3,0,9,0,0,0,9,0,0,9,15,3,0,17,0,0,0,17,5,0,23,14,0,0,16,0,0,0,19,3,0,20,7,3,0,15,0,0,0,15,0,0,13,6,0,0,7,0,0,0,7,0,0,7,15,0,0,17,0,0,0,17,3,0,17,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,4,3,0,3,3,0,0,3,0,0,0,3,0,0,3,8,4,0,11,0,0,0,12,11,0,20,0,0
