SUA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1000,57,263,38,31,69,332,575,305,1216,9169,9192,1077,19445,1295,1132,2426,21873,17206,615,39694
1001,6,28,4,0,4,37,41,25,91,1129,1013,126,2266,153,135,288,2556,1568,42,4163
1002,3,8,3,0,4,10,14,7,33,286,228,18,532,29,26,57,585,389,15,993
1003,3,11,0,0,0,12,17,9,39,303,352,30,682,20,27,46,728,449,8,1190
1004,4,7,0,0,0,13,15,4,32,155,194,34,378,21,19,48,424,351,6,775
1005,0,6,0,0,0,5,21,10,40,489,378,40,909,42,48,90,1001,630,20,1650
1006,3,13,0,0,0,11,15,3,29,417,390,42,848,19,27,51,897,590,8,1495
1007,0,8,3,0,3,12,19,15,50,222,228,39,487,49,31,80,569,468,24,1059
1008,0,8,0,0,0,8,9,3,15,140,190,18,351,21,16,36,386,280,12,679
1009,25,92,3,16,17,110,141,97,347,4464,3938,438,8833,466,476,949,9781,6696,180,16651
1010,3,20,3,3,4,22,51,25,98,839,930,90,1858,98,112,216,2071,1401,40,3514
1011,3,19,0,0,0,19,39,9,66,563,419,53,1039,67,62,129,1167,712,21,1903
1012,0,13,0,0,0,8,15,3,32,201,259,21,484,36,20,61,538,495,7,1046
1013,3,6,0,0,0,6,18,11,32,315,264,38,621,37,46,82,703,452,18,1171
1014,0,3,0,0,0,6,13,3,28,234,208,14,456,38,47,93,549,549,14,1109
1015,0,7,0,0,0,8,18,9,33,242,151,12,405,18,19,36,443,285,22,749
1016,3,4,3,0,3,4,30,10,43,157,206,22,379,40,24,65,446,541,19,1006
1017,0,6,0,0,3,10,15,8,32,443,426,49,918,54,60,110,1025,722,16,1769
1018,0,0,0,0,0,0,11,4,17,113,152,14,280,19,23,42,324,349,12,688
1019,0,7,0,0,0,9,12,9,21,269,235,29,544,39,31,68,609,425,13,1051
1020,0,0,0,0,0,0,3,3,9,133,121,10,262,6,17,30,290,200,17,505
1021,0,3,0,0,0,7,19,7,32,151,105,15,268,48,21,74,338,310,8,654
1022,5,3,0,0,0,3,9,0,16,284,288,35,599,30,33,64,663,407,7,1079
1023,26,106,15,15,26,135,213,104,450,6065,5209,580,11850,722,662,1387,13237,9545,227,23007
1024,5,17,0,0,0,17,26,12,58,417,426,49,895,50,52,104,997,858,22,1888
1025,3,11,0,0,0,12,30,19,59,557,374,46,982,67,69,137,1115,726,29,1876
1026,0,0,0,3,0,5,12,0,18,132,106,11,250,17,21,41,286,258,11,551
1027,5,17,0,0,0,23,19,15,56,563,551,58,1170,45,63,113,1281,805,20,2109
1028,0,3,0,0,0,3,9,0,13,189,176,22,385,28,25,54,445,251,8,699
1029,3,5,0,0,0,5,18,3,31,151,239,21,412,27,24,56,469,403,18,892
1030,237,887,50,53,103,991,1389,915,3291,53689,32523,3959,90168,3708,4216,7923,98089,71528,1779,171402
1031,3,14,4,4,8,17,29,19,68,565,481,69,1115,76,77,159,1272,937,25,2237
1032,4,12,3,0,3,12,32,18,64,245,313,33,589,65,65,128,719,814,29,1557
1033,0,3,0,0,0,3,10,3,17,133,185,14,332,19,18,35,373,286,11,670
1034,7,16,4,0,4,19,42,25,82,785,495,65,1346,75,66,145,1489,977,44,2508
1035,17,71,6,12,13,87,134,52,273,3579,3003,322,6906,364,353,713,7620,5615,124,13360
