SUA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1000,1835,327,5129,2309,1450,1311,853,1838,170,15215,62,42,28,35,32,26,29,85,23,365,578,521,338,325,369,123,337,345,131,3062,1828,820,1729,1200,1047,1027,1231,1920,1058,11861,45938,58750,46525,30721,28958,13398,14369,20661,4269,263588
1001,178,38,637,294,162,205,105,186,14,1827,3,8,3,4,6,3,3,8,0,44,54,46,35,50,34,19,42,21,3,307,55,44,115,87,63,79,84,123,105,752,3066,6740,4851,3681,3225,1651,1348,1636,364,26552
1002,36,6,128,51,29,38,9,36,3,330,0,0,0,5,0,3,0,3,0,7,18,18,9,7,9,0,8,4,0,72,13,33,12,17,11,13,13,33,18,168,777,2397,845,794,836,369,160,438,79,6694
1003,54,9,174,87,39,55,14,31,7,470,0,0,0,0,0,0,0,0,0,9,10,16,9,16,7,7,0,7,4,72,8,10,40,22,11,20,13,43,24,204,840,2145,1108,966,739,445,176,440,104,6964
1004,31,9,107,42,21,32,11,23,0,283,0,0,0,0,0,0,0,0,0,0,7,6,3,3,5,4,0,9,3,38,7,7,24,16,6,21,4,24,23,139,441,710,644,503,392,284,110,237,69,3392
1005,71,14,231,105,54,46,24,67,6,630,0,0,0,0,4,3,0,4,0,16,13,9,13,12,16,7,14,5,12,101,19,13,46,26,24,21,21,55,30,254,1208,2742,1735,1462,1180,604,456,709,129,10236
1006,94,15,273,111,64,60,30,87,0,734,0,0,0,0,0,3,0,3,0,8,27,22,13,10,23,10,6,11,5,131,32,22,48,24,37,35,21,56,33,318,1567,2978,2017,1225,1152,707,429,699,146,10923
1007,22,9,103,54,18,13,15,16,3,255,0,0,0,3,0,0,3,0,0,4,6,3,4,11,6,3,10,4,0,48,16,12,21,30,20,28,19,30,14,190,402,1006,818,693,464,193,284,222,58,4133
1008,25,11,110,46,19,28,13,40,7,292,0,0,0,0,0,3,0,0,0,9,8,8,3,0,5,0,3,0,5,39,10,5,21,13,10,5,16,14,19,116,397,906,710,505,364,240,161,302,55,3649
1009,574,172,1943,932,616,603,215,478,45,5577,5,9,6,12,13,10,9,14,0,91,123,176,133,111,117,54,106,68,39,925,189,198,412,319,276,266,234,383,360,2631,10607,22885,16007,11672,11100,5719,3426,5350,1386,88142
