SUA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1000,252,3160,10331,11147,13647,12958,6010,1844,589,59943,78,1286,6646,7602,8893,7692,2747,705,215,35871,32,582,4918,6855,7993,6264,1934,448,154,29188,19,259,2777,5134,5907,4594,1199,281,118,20288,22,212,3389,7070,8130,5684,1596,439,152,26683,81,152,1052,3024,4176,3479,1527,565,196,14258,9096,5135,10505,11717,14620,16390,15242,10153,5299,98161,58615,45086,93714,111863,140622,155996,128415,63495,23769,821578
1001,36,486,1606,1348,1304,1083,397,105,49,6399,5,166,1116,1014,961,724,231,50,23,4291,4,54,690,780,815,595,118,24,10,3094,0,17,356,538,597,403,68,14,8,1999,0,12,325,630,686,436,94,25,9,2214,7,11,80,227,290,222,90,29,11,969,605,603,971,849,864,926,832,757,513,6918,5806,6152,11828,10870,11273,10866,8195,4591,2064,71651
1002,4,84,307,272,292,270,121,68,22,1435,0,27,190,168,223,165,67,31,9,875,0,11,136,156,197,163,54,15,6,749,0,6,96,131,147,117,39,4,12,545,0,3,59,172,241,202,57,14,0,748,6,4,21,60,95,89,25,13,9,317,226,300,262,179,269,219,192,164,81,1902,2171,2547,2894,2431,2794,2632,1989,1241,521,19225
1003,3,37,241,315,344,320,178,70,31,1549,0,10,173,194,226,201,75,27,6,906,0,4,104,189,203,161,70,21,15,767,0,0,76,144,153,141,43,17,0,584,0,5,73,164,194,152,56,19,9,672,4,3,33,91,115,104,51,19,10,425,125,73,172,206,252,322,339,332,433,2259,1275,973,2218,2742,3323,3807,3383,2087,1241,21046
1004,7,28,114,154,174,214,140,44,16,894,0,10,63,91,105,118,77,20,8,507,0,3,23,59,74,106,34,3,6,307,0,0,22,53,52,65,21,3,6,221,0,0,26,48,61,72,32,9,7,255,0,0,12,31,27,30,20,9,9,141,98,51,119,148,185,225,336,270,201,1632,775,568,1234,1516,1875,2615,2875,1523,631,13615
1005,4,157,572,439,474,366,158,61,22,2266,7,76,397,327,341,290,82,27,5,1554,0,33,262,312,337,296,61,17,8,1320,0,18,163,300,247,195,32,9,3,965,0,9,201,326,359,216,43,7,0,1150,0,4,48,93,118,101,30,12,3,415,307,430,560,397,355,342,315,272,191,3166,2546,2864,4676,4154,4189,3979,3014,1749,824,27995
1006,3,123,433,445,511,465,351,146,46,2522,0,44,272,291,364,312,176,62,16,1537,0,20,197,267,356,287,134,61,19,1335,0,13,130,228,275,233,91,32,18,1013,3,8,109,347,377,329,121,46,15,1360,5,7,40,172,270,243,159,44,24,967,291,128,250,326,395,362,465,377,251,2848,2507,1565,3302,4012,4965,5014,5327,3169,1209,31077
1007,3,81,218,181,208,193,60,25,5,975,0,43,155,111,165,147,20,3,3,657,0,22,134,103,151,99,23,0,0,542,0,18,105,113,118,105,12,3,0,477,0,4,125,143,179,133,16,7,3,605,7,6,17,42,44,41,7,10,4,182,110,110,228,193,231,258,283,248,223,1873,949,962,2114,1861,2356,2663,2049,1219,593,14767
1008,3,11,97,162,222,179,125,46,20,858,0,3,76,109,176,109,47,16,3,540,0,0,46,80,148,98,28,12,4,409,0,0,19,72,84,65,13,4,5,272,0,0,24,84,86,64,24,11,5,301,0,3,10,22,45,31,17,16,10,150,90,35,81,104,167,189,330,253,170,1424,856,463,997,1452,2227,2700,3214,1826,633,14367
1009,56,1199,4482,4240,4616,3962,1621,519,250,20938,17,432,3065,3202,3190,2396,768,186,92,13344,5,195,2336,2839,2947,2074,553,138,57,11156,0,60,1270,2208,2283,1513,312,77,43,7763,3,42,1261,3101,3057,1863,428,123,35,9920,23,50,346,1219,1488,1010,326,158,82,4689,1639,1248,2231,2382,2751,2859,3198,3051,2536,21902,19349,17777,34566,38409,42205,41107,35704,21338,10176,260630
