SUA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
1000,0,0,0,4,35,47,66,57,9,211,3,20,16,94,30,32,25,9,5,233,3,7,40,161,11,7,0,0,0,225,7,45,44,84,19,8,0,0,0,205,0,0,0,13,19,23,22,6,0,87,0,7,4,32,20,15,10,5,3,88,29,116,100,253,186,220,282,76,22,1274,3,10,23,113,52,42,11,3,0,255,0,3,10,55,84,85,131,65,13,441,0,11,13,77,51,54,29,4,0,248,31,176,184,872,636,790,969,565,140,4361,1985,4622,4554,10348,7673,8795,7617,3998,1321,50908,28328,65768,53602,100812,69467,78858,66549,31509,9271,504158,0,0,0,3,0,0,0,0,0,8,24526,56808,43950,84601,55526,59512,45462,23779,10807,404976,0,3,6,33,0,3,0,0,0,55,0,0,0,9,11,13,5,3,0,45,3,4,4,29,11,8,3,0,0,66,9,30,50,262,134,147,80,27,12,739,0,3,7,54,48,39,42,15,3,207
1001,0,0,0,0,7,5,10,6,6,37,3,8,5,43,14,6,4,0,0,79,0,0,0,6,0,0,0,0,0,9,3,5,3,7,0,0,0,0,0,21,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,12,21,16,11,10,3,0,82,0,6,4,6,3,0,0,0,0,18,0,0,0,6,5,10,9,3,3,36,0,5,4,6,3,4,0,3,0,20,8,48,53,200,109,85,95,68,37,702,151,289,430,832,413,426,329,215,106,3187,3067,5756,6126,11001,5497,5174,3889,1990,753,43251,0,0,0,3,0,0,0,0,0,3,2721,5039,5100,9416,4730,4575,3223,1808,940,37552,3,3,3,36,0,0,0,0,0,46,0,0,0,4,0,4,0,4,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,11,3,7,3,0,0,30,0,0,0,0,0,0,3,0,0,10
1002,0,0,0,0,0,0,0,0,0,0,0,3,4,8,4,3,0,0,0,23,0,0,0,3,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,8,11,9,11,8,5,0,66,0,0,0,17,0,0,0,0,0,24,0,3,0,3,3,0,3,0,0,10,0,0,0,0,3,0,0,0,0,12,15,32,36,126,27,22,16,15,0,282,40,57,198,190,122,108,74,56,20,869,662,1403,2288,2560,1347,1238,949,537,166,11142,0,0,0,0,0,0,0,0,0,0,576,1225,1965,1957,1104,1103,811,545,281,9563,0,3,0,21,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,3,3,0,0,30,0,0,0,3,0,0,0,0,0,4
1003,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,8,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,11,7,8,9,0,0,47,0,0,0,7,3,0,0,0,0,6,0,0,0,6,0,3,3,0,3,10,0,3,0,4,0,3,0,0,0,3,0,5,0,32,11,19,30,14,8,119,25,76,76,153,125,151,142,94,62,908,579,1371,1175,2359,1538,1792,1629,912,461,11825,0,0,0,0,0,0,0,0,0,0,549,1126,985,2010,1393,1650,1340,899,567,10514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,11,3,3,8,0,0,29,0,0,0,3,0,0,0,0,0,4
1004,0,0,0,0,4,0,0,5,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,21,0,0,0,3,4,0,0,0,0,10,0,0,0,0,3,4,4,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,15,29,29,4,107,17,62,53,113,91,108,140,85,26,694,330,883,696,1331,933,1216,1399,743,246,7765,0,0,0,0,0,0,0,0,0,0,336,778,589,1149,742,1030,961,488,261,6342,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,4
1005,0,0,0,0,4,0,0,0,0,8,0,3,0,5,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,3,0,0,0,31,0,3,4,14,7,0,0,0,0,36,0,0,0,0,3,3,5,0,0,8,0,0,0,3,3,0,3,0,0,8,4,3,16,39,19,17,20,10,4,132,49,101,223,269,133,145,140,77,47,1182,1182,2464,2771,4548,2013,1946,1439,730,261,17362,0,0,0,4,0,0,0,0,0,4,1020,2100,2272,3599,1769,1647,1220,767,379,14786,0,3,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,4,4,9,3,4,0,0,21,0,0,0,0,3,0,0,0,0,3
1006,0,0,0,0,3,0,3,0,0,8,0,0,0,0,3,4,0,3,0,8,0,0,3,6,4,0,3,3,0,20,0,3,3,4,3,3,0,0,0,20,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,4,8,12,8,17,8,0,56,0,4,3,6,7,0,0,0,0,17,0,0,0,0,0,6,5,0,0,23,0,0,0,9,3,3,0,0,0,10,3,5,6,28,30,48,57,41,18,241,51,137,101,255,176,152,183,121,45,1224,995,2392,2013,3519,2333,2329,2434,1490,452,17940,0,0,0,0,0,0,0,0,0,0,889,2135,1773,2962,1984,1923,1936,1127,541,15269,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,9,14,10,4,5,0,54,0,0,0,3,4,0,0,0,0,12
1007,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4,14,3,0,40,27,52,59,157,127,118,124,56,32,754,496,985,990,1924,1190,1320,1011,504,194,8615,0,0,0,0,0,0,0,0,0,0,444,913,851,1747,1016,1139,852,604,331,7897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,12,8,7,9,52,27,42,38,71,85,88,141,101,40,630,359,854,732,1149,1068,1252,1603,871,271,8160,0,0,0,0,0,0,0,0,0,0,287,816,543,1118,941,1181,1188,714,239,7031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3
1009,0,0,0,0,8,15,12,19,4,60,0,4,0,40,23,15,27,12,0,119,0,6,7,16,3,4,0,0,0,42,6,20,24,55,20,8,0,0,0,140,0,0,0,0,4,10,3,0,0,23,0,0,0,6,19,7,5,10,0,49,12,55,41,129,97,91,67,22,4,517,6,16,8,46,29,12,6,3,0,118,0,9,3,37,41,47,62,37,12,253,0,11,11,50,23,23,10,0,3,137,19,70,84,522,371,341,411,274,78,2179,386,863,914,2119,1293,1418,1301,894,524,9719,9675,20778,18901,35443,20330,19396,16765,9510,3818,154615,0,0,3,3,0,3,0,0,0,11,8604,17705,16285,29656,16216,15924,13097,8018,4220,129716,0,3,7,20,3,0,0,0,0,31,0,0,0,4,7,6,6,5,0,29,0,0,0,23,8,4,4,0,0,41,0,19,25,98,54,43,22,4,3,272,0,3,0,25,35,26,46,13,8,154
