SUA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1000,656,510,1162,1146,751,1896,64,26,89,18,19,42,166,142,306,142277,123836,266108,8944,9127,18068,7038,291,7331,1931,240,2172,1242,498,1741,2442,1107,3550,10174,8701,18874,176102,145240,321340,129,97,224,3,3,3,4,0,6,392,278,669,65,61,122,25,11,38,618,449,1066,3,6,10,3,0,3,101,70,164,65,96,164,17,18,34,183,189,376,1637,730,2372,2442,1371,3812,129,92,214,20,14,37,161,58,213,309,162,466,19495,19322,38819,16971,26164,43129,3389,2999,6388,218699,195252,413955
1001,14,11,26,94,104,199,5,4,9,3,5,7,34,29,63,15912,13932,29846,953,1049,2004,238,8,248,171,12,183,290,66,358,129,67,191,807,623,1428,18643,15930,34573,3,0,3,0,0,0,0,0,0,5,3,12,0,0,0,3,0,3,17,7,27,0,0,0,0,0,0,9,0,7,7,14,18,3,3,6,15,15,32,154,87,240,185,115,297,10,3,15,0,0,0,10,3,13,21,5,27,433,768,1199,1346,2548,3895,192,151,343,20830,19519,40346
1002,3,3,3,23,23,47,0,0,0,0,3,3,18,18,35,3233,3115,6351,303,373,683,85,6,94,64,8,67,85,23,109,40,18,59,270,267,535,4127,3854,7985,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,3,0,3,0,3,7,4,0,4,7,3,10,48,24,70,59,28,83,3,3,3,0,0,3,0,0,3,3,5,10,188,250,435,384,648,1027,41,55,97,4801,4838,9636
1003,5,4,5,33,25,58,0,0,0,0,0,0,6,3,9,3537,3419,6954,212,270,478,105,0,107,51,8,59,128,51,180,35,19,54,141,216,350,4252,4019,8267,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,4,0,4,3,8,14,0,0,0,8,8,16,49,28,78,64,40,96,0,0,0,0,0,0,9,0,9,9,0,9,249,348,604,391,626,1019,80,63,143,5041,5094,10133
1004,4,0,4,18,19,33,0,0,0,0,0,0,3,3,9,1901,1800,3698,142,177,324,68,3,73,17,3,22,25,10,29,23,10,39,85,86,171,2286,2116,4401,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,4,4,6,0,3,3,4,8,7,23,10,29,24,14,42,0,0,0,0,0,0,0,0,0,0,0,0,106,146,254,251,388,638,26,36,67,2694,2707,5400
1005,18,6,20,24,26,50,3,0,3,0,0,0,16,21,39,5698,5269,10962,408,449,852,134,4,134,41,6,46,69,13,82,38,23,61,323,289,611,6772,6094,12866,0,7,6,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,11,4,14,0,0,0,0,0,0,4,3,3,0,3,8,3,3,6,5,9,15,55,33,87,67,41,111,3,3,8,0,0,0,4,3,3,11,5,12,205,319,527,641,1032,1669,88,71,160,7787,7567,15352
1006,133,82,218,33,40,73,4,3,5,4,3,4,9,11,21,5718,5022,10736,391,408,801,237,4,245,41,7,47,38,12,49,62,30,97,248,232,485,6921,5859,12778,3,3,9,0,0,0,0,0,0,75,39,117,8,8,16,12,0,12,99,52,153,0,0,0,0,0,0,0,3,4,5,12,15,0,0,0,5,16,19,61,40,93,164,101,265,11,7,23,0,0,0,0,3,3,11,11,28,529,735,1259,633,970,1600,85,86,175,8345,7765,16110
1007,3,0,3,27,11,31,0,3,5,0,0,0,3,0,9,2468,2366,4836,180,232,415,35,0,36,48,0,48,32,5,34,15,11,25,170,159,321,2986,2781,5770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,0,8,9,17,26,21,17,34,0,0,3,0,0,0,0,0,0,4,0,4,60,98,163,384,457,844,54,40,93,3507,3395,6902
1008,0,3,3,9,8,20,4,0,4,0,0,0,0,0,0,1982,1875,3861,100,131,228,79,3,82,16,0,16,10,3,13,18,14,37,86,96,180,2309,2137,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,4,5,18,5,26,27,12,35,0,0,0,0,0,0,0,0,0,3,0,3,141,178,313,247,382,621,42,33,70,2762,2731,5492
1009,3106,2181,5289,606,821,1432,27,8,35,5,6,12,47,46,92,46967,41836,88805,3144,3115,6260,1397,30,1425,513,33,545,310,81,390,395,214,607,1060,1103,2161,57578,49477,107058,757,512,1271,14,6,19,9,12,19,1470,919,2386,165,254,417,138,41,179,2552,1738,4290,9,6,7,0,0,0,28,15,46,46,83,126,5,4,11,81,113,193,598,237,832,3233,2085,5316,450,273,725,14,14,30,27,9,30,497,295,792,2620,3991,6608,5362,9160,14524,696,701,1398,69988,65713,135701
