SUA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
1000,6670,111,49,78,76,6992,3615,76,47,37,26,3794,3338,53,39,40,32,3496,6403,82,74,78,43,6685,8606,118,72,72,66,8931,19583,276,165,166,140,20337,17264,202,85,128,99,17781,17776,166,72,111,136,18258,7911,66,20,45,43,8097,6652,43,31,46,26,6801,4015,16,13,43,60,4143,5872,64,40,49,59,6081,107705,1279,694,894,807,111384
1001,424,21,0,0,0,450,252,30,4,0,0,282,222,27,3,0,0,251,507,58,4,0,0,573,790,76,12,0,5,886,2511,133,15,3,7,2664,2423,53,4,0,5,2488,1859,24,4,0,7,1888,506,13,0,0,10,527,342,9,0,3,4,355,164,0,0,0,3,175,398,18,3,0,0,427,10409,456,39,10,43,10962
1002,102,0,0,0,0,109,51,0,0,0,0,51,56,0,0,0,0,55,96,7,0,0,0,103,139,6,3,0,0,152,464,15,4,0,3,483,430,8,0,0,0,449,335,4,0,0,3,344,112,0,0,0,0,112,107,3,0,0,0,114,54,0,0,0,0,57,76,0,0,0,0,81,2023,48,16,0,3,2091
1003,105,35,6,0,0,148,57,15,3,0,0,78,31,13,0,0,0,45,57,19,3,4,0,77,89,33,7,0,0,132,222,98,20,4,0,337,272,103,24,0,3,399,413,91,7,0,0,517,184,44,10,0,0,237,144,26,3,0,0,177,85,12,3,0,3,103,64,16,0,0,3,87,1725,505,83,3,9,2329
1004,98,5,6,0,0,114,45,3,6,0,0,52,42,0,0,0,0,43,60,0,4,0,0,65,87,3,3,0,0,95,244,16,14,0,0,268,256,13,3,0,3,276,273,5,3,0,3,286,80,3,0,0,0,84,61,0,0,0,0,61,28,0,0,0,0,28,64,0,0,0,3,64,1337,51,30,0,10,1436
1005,145,13,0,0,0,150,65,6,0,0,0,75,58,3,3,0,0,62,132,14,3,0,0,147,193,19,5,3,0,216,679,41,11,3,0,738,824,41,4,0,0,871,937,21,0,0,0,964,375,5,0,0,0,377,201,0,0,0,0,205,96,3,0,0,0,100,129,5,7,0,0,136,3829,164,38,4,5,4042
1006,233,8,0,0,0,241,94,4,0,0,0,100,70,5,0,0,0,74,139,4,0,0,0,143,183,6,4,0,0,188,556,14,5,0,0,579,776,6,3,3,6,795,1084,23,0,3,3,1116,488,11,0,0,3,496,384,3,0,0,0,397,268,4,0,0,3,272,200,8,0,0,0,209,4469,93,26,10,19,4608
1007,141,6,0,0,0,146,160,0,0,0,0,166,151,0,0,0,0,157,288,3,0,0,0,298,296,3,0,3,0,305,477,0,0,0,0,485,237,3,0,0,0,240,138,0,0,0,0,136,38,0,0,0,0,45,27,0,0,0,0,27,27,0,0,0,0,27,107,0,0,0,0,107,2099,14,0,4,7,2130
1008,87,6,0,0,3,99,37,4,0,0,0,41,55,3,0,3,0,61,72,3,0,0,0,79,113,6,0,3,0,120,250,3,4,6,0,263,286,12,0,0,0,295,343,0,3,0,0,342,136,0,0,0,0,139,67,0,0,0,0,67,35,0,0,0,0,39,66,3,0,0,3,74,1543,40,11,9,3,1612
1009,1588,123,75,6,5,1799,695,71,37,4,0,812,567,84,41,4,3,702,1151,110,43,3,0,1310,1586,128,76,8,3,1802,4935,395,220,8,3,5557,6992,457,237,21,10,7724,9479,388,182,20,13,10074,4157,94,86,7,8,4350,2839,86,53,4,8,2993,1390,33,20,4,0,1452,1450,74,51,10,6,1586,36821,2046,1114,107,51,40144
1010,329,20,16,0,4,371,155,15,8,0,0,184,159,19,5,0,3,182,249,32,27,4,4,312,380,35,38,0,0,455,992,121,76,7,3,1202,1318,68,44,0,11,1439,1514,72,33,8,8,1627,556,22,3,0,0,585,329,21,7,0,4,360,162,3,5,0,3,178,231,20,12,0,0,261,6371,449,263,21,40,7153
1011,109,3,3,3,0,117,84,5,3,0,0,99,83,7,3,0,0,85,171,5,3,5,0,183,303,7,10,0,0,319,958,30,11,0,0,998,976,22,11,3,3,1010,830,4,0,6,3,846,259,3,0,5,0,266,151,0,0,0,0,155,65,0,0,0,0,67,159,9,7,0,0,175,4148,92,51,20,4,4323
1012,90,18,10,0,0,123,46,9,4,0,0,60,28,7,6,0,0,40,83,13,9,0,0,113,90,11,9,3,0,117,239,34,33,0,0,307,288,27,14,0,3,330,295,9,10,0,0,316,94,3,9,0,0,106,65,0,3,0,0,64,29,0,0,0,0,35,70,3,3,0,0,73,1428,149,104,3,13,1689
1013,95,5,0,0,0,101,57,10,0,0,0,63,64,3,0,0,0,70,106,8,3,0,0,112,181,4,3,0,0,194,508,23,4,0,0,533,614,23,0,3,0,636,496,8,3,0,0,504,150,0,0,0,0,151,87,0,0,0,0,89,52,0,0,0,0,52,94,3,0,0,0,99,2497,92,19,6,0,2610
