SUA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
1000,11,272,25444,25732,556,2879,14835,18270,12664,8700,15436,36801,26218,7500,11924,45644,33778,7974,17022,58773,40520,6627,19665,66815,37267,3534,14919,55716,17686,956,7928,26578,3721,153,3068,6946,172418,38596,130258,341265,32,660,23557,24256,1203,4203,11890,17295,17234,9532,13781,40554,30083,7797,12764,50644,37472,8219,16686,62384,41551,6012,18220,65786,32706,2648,16894,52246,12342,539,13853,26729,1684,92,7687,9457,174310,39703,135328,349340,51,932,49004,49989,1755,7082,26730,35561,29900,18235,29214,77349,56298,15302,24686,96289,71255,16190,33708,121154,82071,12640,37887,132593,69975,6178,31813,107968,30029,1495,21782,53305,5403,246,10757,16403,346729,78303,265584,690607
1001,3,53,2496,2548,83,467,1897,2443,1795,1185,1906,4878,2731,642,1244,4612,2845,535,1475,4858,2918,377,1228,4516,2321,151,813,3284,1110,46,422,1573,298,11,211,517,14092,3462,11680,29233,12,106,2344,2454,178,629,1652,2460,2324,1183,1878,5384,2937,658,1563,5153,2944,524,1803,5276,2939,327,1729,4997,2037,136,1468,3642,817,29,1228,2078,134,0,646,780,14324,3592,14312,32227,15,156,4839,5008,262,1093,3548,4903,4119,2368,3781,10264,5668,1299,2800,9770,5788,1057,3278,10129,5852,696,2960,9513,4356,290,2280,6930,1925,74,1645,3646,433,14,861,1299,28413,7051,25992,61455
1002,0,11,600,612,20,127,615,762,375,257,504,1138,551,140,291,984,673,149,325,1146,637,108,293,1042,566,34,215,809,305,5,118,432,65,0,57,121,3196,838,3021,7048,0,19,598,619,36,168,551,755,490,252,492,1229,614,148,380,1145,693,145,425,1263,691,85,433,1203,489,26,364,878,212,9,352,571,30,0,193,224,3258,853,3781,7892,0,34,1203,1236,53,294,1164,1519,867,503,1001,2367,1167,290,671,2127,1368,295,750,2411,1324,193,724,2239,1054,58,574,1691,518,13,470,1000,88,0,253,347,6446,1685,6806,14938
1003,0,4,613,621,8,62,359,427,255,233,442,929,579,228,336,1144,753,180,450,1380,907,166,485,1562,944,93,369,1401,532,22,206,764,183,9,129,319,4164,1000,3387,8543,0,16,531,542,17,91,311,424,377,264,381,1020,660,236,419,1313,798,202,606,1606,983,147,650,1781,856,72,592,1516,427,23,545,995,88,3,405,505,4208,1048,4450,9704,0,20,1146,1162,21,158,674,853,635,492,821,1947,1240,462,754,2454,1555,378,1058,2987,1889,314,1136,3342,1793,166,952,2921,957,49,754,1759,272,7,541,822,8370,2043,7838,18250
1004,0,7,349,363,9,41,198,246,149,118,264,530,275,105,228,611,370,119,292,785,636,111,297,1051,842,72,248,1173,402,23,166,592,89,6,59,151,2782,609,2108,5500,0,15,312,328,19,75,154,243,202,125,213,538,363,118,256,731,404,123,316,844,719,116,377,1209,783,57,399,1241,292,11,329,634,40,0,186,230,2814,636,2541,5989,0,27,663,686,22,113,351,488,349,248,473,1068,641,221,489,1343,773,241,614,1626,1352,225,679,2257,1625,132,650,2414,697,38,487,1226,128,6,244,374,5588,1246,4649,11489
1005,0,13,1024,1039,27,167,800,990,661,464,822,1953,988,252,470,1709,1037,216,499,1749,1128,124,449,1702,839,73,324,1235,416,14,174,607,110,5,89,203,5205,1326,4654,11184,0,33,903,932,58,243,737,1046,828,448,715,1995,1071,258,591,1918,1135,219,630,1989,1079,111,603,1794,763,41,563,1364,320,12,491,824,47,0,276,326,5309,1369,5513,12192,0,41,1925,1967,82,411,1537,2031,1488,916,1540,3940,2059,515,1063,3630,2175,430,1133,3742,2206,233,1057,3501,1596,118,881,2601,739,26,667,1431,159,5,370,525,10507,2695,10173,23376
1006,0,9,988,1000,28,99,589,716,580,297,579,1456,1051,247,374,1673,1328,247,497,2068,1392,200,508,2096,1556,126,454,2134,939,49,278,1264,205,8,103,319,7075,1281,4373,12727,0,18,977,997,55,141,448,638,726,308,452,1482,1228,262,471,1962,1448,249,712,2406,1452,166,788,2408,1512,96,956,2564,661,27,728,1413,86,0,358,450,7175,1263,5882,14320,0,30,1968,1995,85,235,1041,1363,1306,609,1027,2940,2274,506,845,3632,2771,494,1202,4477,2842,371,1291,4503,3072,218,1410,4702,1599,72,1005,2675,291,10,467,764,14255,2542,10247,27048
1007,0,0,453,453,9,74,301,390,208,208,395,814,343,141,276,763,463,116,420,994,647,96,403,1145,538,41,286,864,286,12,137,433,77,0,72,149,2562,695,2739,5998,0,11,370,381,24,113,255,396,290,233,419,944,388,127,326,850,506,131,404,1041,634,94,449,1176,483,33,382,899,238,3,362,608,37,0,219,257,2605,742,3184,6536,0,13,824,836,27,190,562,778,499,443,813,1754,736,267,609,1612,968,243,827,2035,1278,191,853,2323,1022,73,666,1762,528,17,498,1033,115,0,287,406,5171,1432,5927,12532
1008,0,0,437,438,6,38,174,217,136,84,175,397,340,97,165,604,529,120,301,951,696,112,303,1120,981,89,305,1376,555,26,186,767,131,5,90,220,3379,566,2135,6085,0,10,337,354,3,32,134,169,205,105,174,475,409,101,203,713,589,131,335,1059,808,120,357,1286,943,67,377,1384,444,23,391,859,51,0,217,269,3452,594,2533,6573,0,14,774,790,7,70,305,387,342,180,348,873,749,200,368,1322,1120,249,637,2011,1501,238,663,2403,1920,152,685,2761,1005,47,579,1630,181,4,302,493,6827,1161,4668,12655
1009,3,63,9048,9119,199,870,7004,8067,5100,3387,6637,15125,9805,2621,4415,16844,10654,2382,5460,18494,10958,1506,5028,17498,9954,872,3987,14816,5689,293,2338,8324,1557,56,1305,2921,53929,12059,45217,111206,9,142,8672,8829,382,1404,5922,7708,6848,3549,5809,16208,10623,2605,5307,18542,11233,2308,6774,20317,11099,1498,7124,19720,9259,700,6910,16862,4273,175,5782,10228,782,50,3506,4338,54511,12419,55822,122757,16,211,17724,17943,585,2268,12926,15781,11952,6940,12449,31332,20427,5222,9725,35379,21894,4691,12233,38812,22059,3006,12159,37220,19209,1572,10895,31673,9959,467,8123,18551,2341,106,4809,7260,108441,24480,101036,233961
1010,3,22,1877,1906,48,200,1226,1476,1016,686,1337,3034,1798,522,894,3221,2037,493,1121,3655,2441,418,1318,4172,2320,248,829,3395,1236,65,471,1775,343,10,213,561,11236,2662,9290,23192,8,46,1681,1731,94,310,1055,1457,1379,716,1265,3363,1992,529,1200,3721,2267,537,1503,4312,2537,397,1619,4555,2022,166,1387,3579,986,46,1108,2137,149,5,659,818,11432,2758,11488,25680,4,72,3557,3636,144,512,2279,2931,2399,1401,2600,6400,3789,1052,2095,6939,4303,1028,2631,7958,4972,818,2936,8726,4342,414,2215,6973,2226,111,1581,3913,488,17,877,1386,22664,5428,20775,48867
1011,0,15,974,989,43,208,708,958,810,439,825,2080,1081,258,448,1782,1056,230,554,1838,1039,137,449,1617,814,64,300,1176,471,21,179,666,118,3,79,203,5436,1378,4515,11322,0,30,996,1028,82,266,668,1016,1030,486,907,2426,1113,260,662,2039,1126,200,706,2032,1080,150,721,1948,714,57,572,1343,348,13,510,876,59,0,252,309,5559,1453,6002,13019,0,41,1973,2021,123,470,1378,1977,1846,930,1732,4509,2199,512,1109,3817,2183,430,1256,3873,2122,280,1168,3571,1530,120,872,2521,820,31,693,1539,172,3,337,514,10994,2826,10513,24341
1012,0,3,464,470,3,52,234,286,152,150,290,595,326,98,266,692,437,125,359,917,717,116,435,1268,1093,99,412,1599,706,45,292,1041,200,5,159,360,3636,698,2902,7233,0,13,399,410,9,81,216,306,212,151,305,672,390,101,312,804,492,129,423,1046,836,108,539,1487,1027,96,599,1725,579,30,573,1175,104,3,362,463,3651,714,3722,8086,0,15,862,880,16,131,444,591,362,296,597,1259,718,197,578,1493,931,254,779,1969,1554,229,970,2754,2121,193,1011,3324,1280,76,861,2224,305,6,518,827,7288,1406,6630,15319
