SUA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1000,10159,5429,23769,147546,207939,111555,96178,156110,102261,821578
1001,1026,398,2064,15437,19495,8635,6388,15124,6566,71651
1002,225,92,521,4293,5344,2227,1476,4025,1860,19225
1003,445,392,1241,4202,5837,2766,1873,4151,2214,21046
1004,251,185,631,2147,3440,2048,1516,2823,1648,13615
1005,341,198,824,5937,7524,3357,2650,5322,3199,27995
1006,535,223,1209,6391,8510,4337,3356,5709,2764,31077
1007,292,123,593,2330,3588,1713,1567,3911,1662,14767
1008,231,182,633,2347,3672,2165,1767,2925,1481,14367
1009,4325,2443,10176,55004,68640,32974,26312,55945,21764,260630
1010,748,599,2031,10999,15058,7428,5658,11296,5556,56007
1011,383,138,798,5894,7684,3398,2617,6136,2715,28440
1012,542,306,1231,2886,4320,2429,1882,4267,2034,17828
1013,207,238,667,3609,4711,2203,1716,4010,2493,18737
1014,378,117,725,2621,3677,1903,1760,3476,1740,15191
1015,169,236,596,2976,3464,1661,1325,3767,2018,15205
1016,216,163,480,1704,2456,1418,1305,2800,2186,11870
1017,480,176,970,4890,6346,2897,2220,4630,2355,23341
1018,160,75,381,1741,2496,1270,1100,2431,1619,10670
1019,504,130,919,3828,5105,2732,2147,4389,1486,19686
1020,170,35,304,1770,2378,1186,950,1782,1063,9135
1021,64,30,138,1789,2279,1098,1107,1933,1094,9305
1022,469,228,1002,4117,5902,3132,2397,4806,2306,22658
1023,4478,2928,11417,82149,102291,48040,36762,78676,28642,376562
1024,356,247,904,5330,7244,3643,3085,6008,3624,28934
1025,470,146,903,6385,8200,3643,2873,6659,2743,30504
1026,137,108,344,1557,2097,1102,951,1884,1097,8692
1027,987,328,1972,7340,10400,5038,3690,8016,3312,37799
1028,159,40,292,2607,3465,1566,1442,2623,942,12640
1029,255,170,619,2628,3966,2104,1755,3303,1544,15301
1030,41374,13650,85000,869924,885570,369600,286845,926318,279007,3617260
1031,485,209,1043,6488,8438,4094,3171,6900,3498,32592
1032,456,290,1054,3480,5023,2789,2465,5188,2291,21236
1033,199,200,595,2184,3350,1889,1543,2605,1350,12925
1034,650,211,1304,9684,11977,5207,3956,9152,3492,43454
1035,3266,1290,7063,51257,61282,29138,22213,52215,17160,233270
