SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,6914,5503,2653,840,41034
SED10002,5614,3121,1246,453,59164
SED10003,8548,7511,3057,1120,46958
SED10004,7194,5084,2040,541,55231
SED10005,4678,2870,1361,712,38879
SED10006,5831,4146,2031,743,32287
SED10007,7010,5527,2667,781,40063
SED10008,7994,6024,2887,783,50720
SED10009,9044,8815,3912,1336,41206
SED10010,5503,3573,1482,469,45343
SED10011,8127,7053,3148,977,42270
SED10012,3941,2542,1124,551,28721
SED10013,6672,4063,1683,662,60710
SED10014,5077,3770,1665,401,36580
SED10015,6158,3214,1617,772,46700
SED10016,8092,5242,2291,661,56582
SED10017,5900,4397,1795,566,40387
SED10018,6202,4582,2624,960,39916
SED10019,7124,6223,2860,989,37116
SED10020,7002,6093,2934,1088,40076
SED10021,6533,4253,2290,1244,54935
SED10022,5727,4915,2362,736,32140
SED10023,7504,5416,2524,1048,44376
SED10024,8227,5751,3972,1498,47109
SED10025,7225,5057,2308,924,49604
SED10026,6208,4293,2266,747,39851
SED10027,5712,3439,1789,1000,38557
SED10028,8845,6078,3227,1818,53575
SED10029,4149,2686,1387,636,31401
SED10030,7007,5540,2952,1079,41187
SED10031,7908,6524,3168,953,42570
SED10032,5006,2779,1304,470,49889
SED10033,6524,4257,1964,611,38663
SED10034,6927,4725,2275,918,42522
SED10035,5954,3296,1488,511,78310
SED10036,5876,3226,1480,674,40976
SED10037,8151,5498,2849,824,48720
SED10038,7291,5219,2593,1024,44599
SED10039,7558,6644,3091,1114,42861
SED10040,6420,3853,1885,1064,50893
SED10041,8379,5916,3929,2102,53055
SED10042,7019,6304,3478,1299,40855
SED10043,4743,2654,1318,592,40502
SED10044,7794,5478,2979,1533,56109
SED10045,8209,6524,2479,906,39645
SED10046,5251,2636,1122,281,38593
SED10047,5428,3538,1481,411,52277
SED10048,6797,4062,1480,439,52713
SED10049,6118,4214,1950,596,42308
SED10050,7894,4632,2411,790,51375
SED10051,6965,4473,2297,891,49497
SED10052,6730,4948,2854,1294,43940
SED10053,7725,4703,1951,508,45300
SED10054,5646,3146,1138,579,40424
SED10055,6121,3237,924,202,39012
SED10056,6367,4624,2330,889,37632
SED10057,7414,7330,3894,1390,37254
SED10058,7221,5362,2281,913,46818
SED10059,5657,3173,1294,427,56018
SED10060,7832,6174,3778,1194,56007
SED10061,6777,5240,2797,862,38994
SED10062,6909,4552,2309,1196,43005
SED10063,6168,4651,2356,832,38359
SED10064,8018,6920,3037,973,38443
SED10065,7077,4172,1879,745,65399
SED10066,5541,4061,2025,796,41268
SED10067,8307,6460,3876,1650,44038
SED10068,7833,7683,4240,1539,42176
SED10069,7388,6849,3791,1049,38320
SED10070,5310,3598,1633,642,39763
SED10071,6522,3635,1161,241,65130
SED10072,6149,3765,2006,919,53301
SED10073,7784,5146,2386,1032,61759
SED10074,5812,4111,2151,714,46501
SED10075,6545,4721,2374,802,41752
SED10076,7520,7168,3515,1096,39052
SED10077,6918,4084,1993,966,61117
SED10078,6315,3658,1543,730,49871
SED10079,6640,5602,3040,937,36367
SED10080,7000,4969,2384,836,70615
SED10081,5923,4651,2448,825,37093
SED10082,7630,6445,3650,1472,42305
SED10083,6217,5007,2534,1126,37936
SED10084,7442,6328,3490,1583,41773
SED10085,6516,4519,1949,582,36826
SED10086,6720,5333,3045,1245,52798
SED10087,6138,4390,2085,845,39212
SED10088,7214,4399,2642,1110,46408
SED10089,5787,4339,2297,1130,43726
SED10090,7665,5562,2686,1199,54239
SED10091,6649,5711,3160,1146,42053
SED10092,6569,4567,2338,985,44544
SED10093,5774,4357,2547,1081,38099
SED19494,1165,680,173,28,7237
SED19797,0,0,0,0,0
