SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED10001,42,209,157,96,261,327,99,176,12,1397,69,178,134,84,273,291,83,178,269,1565,1788,5614,4653,3284,7585,7701,2386,5362,625,38988
SED10002,312,188,142,66,234,204,46,58,18,1270,446,373,407,157,631,560,75,146,951,3744,6135,6036,5551,2690,10636,9211,1663,2920,1565,46402
SED10003,75,285,193,131,228,241,46,119,16,1339,76,323,239,128,266,289,44,135,327,1830,2042,7578,5679,3923,6246,6146,1520,3628,734,37501
SED10004,190,225,132,79,192,218,52,135,10,1233,106,171,144,92,246,472,88,246,216,1783,3604,5281,4040,2511,7750,11193,3299,7994,459,46136
SED10005,411,165,111,42,166,150,27,39,26,1139,302,210,195,93,420,282,44,80,473,2093,5067,4013,3128,1694,6813,5125,929,1666,956,29388
SED10006,27,144,86,60,205,218,63,171,17,996,77,148,86,72,175,189,40,185,300,1278,1343,3600,2865,2125,5069,5433,1773,7129,789,30126
SED10007,60,224,143,76,271,251,80,185,13,1314,72,146,109,73,225,236,68,173,262,1369,1859,4996,4108,2689,7389,6754,2239,5033,626,35693
SED10008,246,234,131,61,233,192,45,107,3,1260,128,223,148,86,365,419,85,181,236,1863,3962,5792,4163,2339,9018,10432,2255,4838,511,43303
SED10009,48,195,141,101,238,236,49,127,8,1154,74,192,127,75,165,188,40,99,259,1230,1694,5487,4295,2810,5560,5090,1321,3142,670,30069
SED10010,252,149,129,49,255,213,61,77,12,1195,200,233,229,104,608,464,65,101,480,2474,4857,4708,4367,2387,10240,7945,1585,2556,970,39615
SED10011,228,202,108,75,180,195,47,101,10,1150,94,146,96,49,155,195,45,112,139,1030,3653,5441,3952,2421,6005,6159,1790,3584,321,33326
SED10012,415,139,113,38,198,142,36,48,19,1151,284,238,185,103,572,292,51,67,402,2196,4648,3508,2803,1565,6779,4632,923,1649,766,27279
SED10013,533,323,184,116,458,448,135,223,34,2453,266,318,211,129,609,596,123,243,497,3003,7483,8188,6248,3951,14056,13552,3256,6922,1126,64777
SED10014,283,149,83,55,220,191,68,88,7,1147,226,204,113,99,408,356,71,106,331,1929,4975,4305,3130,2097,8088,6264,1541,2549,720,33667
SED10015,417,210,154,75,237,216,59,78,25,1468,354,238,199,99,354,308,54,102,424,2135,6773,4731,4255,2359,8005,7184,1614,2950,882,38759
SED10016,371,282,148,82,258,314,78,164,14,1716,151,257,160,78,444,573,110,228,319,2320,4819,6943,4990,2841,10642,13220,2814,6097,691,53062
SED10017,121,259,206,144,402,399,103,168,15,1812,94,158,105,87,351,331,70,156,288,1634,2667,5451,4506,3125,8347,7696,2266,4433,652,39140
SED10018,91,227,182,104,284,205,70,120,6,1298,52,136,110,72,178,271,57,101,165,1147,2136,5612,4726,3110,7425,7481,2149,3794,383,36827
SED10019,44,160,131,99,267,211,51,121,13,1100,78,159,111,66,222,192,39,135,274,1281,1457,4446,3793,2922,5993,4822,1330,3463,675,28895
SED10020,45,199,169,132,336,274,71,130,16,1364,62,212,124,89,257,210,29,112,267,1368,1586,5754,4710,3296,7136,5772,1727,3434,642,34050
SED10021,258,206,142,82,194,201,58,99,9,1252,97,206,163,88,282,539,116,322,270,2080,3437,5069,4166,2463,7596,11712,3280,8019,599,46347
SED10022,34,154,134,72,236,231,64,150,21,1106,64,128,82,87,190,219,53,154,281,1252,1308,4039,3478,2361,5385,5700,1807,5383,737,30204
SED10023,345,247,149,78,207,262,60,127,20,1492,131,226,145,91,227,377,80,190,172,1635,4086,6151,4366,2604,6570,8993,2400,5400,431,41003
SED10024,193,218,131,75,139,188,53,96,4,1101,90,224,151,83,245,343,82,219,203,1644,3085,6049,3953,2233,5508,8567,2262,5981,394,38027
SED10025,259,187,107,78,215,215,47,123,9,1241,141,208,169,77,328,404,71,206,289,1893,3728,5253,3998,2369,8062,9972,2537,5723,586,42229
SED10026,43,188,150,112,329,306,101,233,17,1486,59,185,92,47,251,232,56,189,350,1468,1691,4682,3965,2733,8050,7498,2378,6089,797,37884
SED10027,370,167,111,57,211,206,46,74,14,1257,249,181,138,71,351,332,46,95,336,1795,5484,4258,3273,1946,7337,6840,1436,2800,636,34001
SED10028,210,196,104,56,202,190,48,94,3,1105,122,184,149,71,347,438,61,130,271,1766,3618,5857,3950,2253,8690,10610,2117,4252,494,41845
SED10029,344,118,110,36,158,130,28,43,14,990,278,229,183,113,515,271,49,80,418,2136,4362,3344,2656,1516,6414,4366,918,1484,801,25868
SED10030,266,186,112,69,231,219,64,79,20,1233,98,178,147,79,254,264,56,128,252,1452,3476,5332,4078,2553,7016,6777,1619,3125,576,34554
SED10031,67,203,172,125,272,327,74,195,11,1449,75,192,105,78,225,271,60,171,275,1456,2023,5428,4314,2848,7320,7611,2251,5702,708,38211
SED10032,229,137,105,42,212,176,25,63,11,1005,275,251,232,128,518,388,54,86,629,2556,4755,4635,4388,2187,9417,8091,1353,2157,1240,38222
SED10033,365,270,186,93,271,379,104,242,21,1929,220,234,149,85,285,348,81,185,287,1887,4206,5821,4106,2467,6879,7698,2051,4935,681,38843
SED10034,354,242,144,87,260,317,72,127,15,1613,99,155,116,76,232,296,51,141,153,1321,3998,5537,4407,2661,7612,8655,2388,4438,406,40103
SED10035,392,258,199,94,361,338,74,124,29,1866,196,327,262,139,629,741,149,274,498,3213,5988,7599,6266,3294,14804,16991,4019,8187,1011,68160
SED10036,317,139,95,59,228,229,63,89,17,1228,235,164,123,86,401,342,63,110,338,1851,5263,4466,3466,2155,8678,7836,1790,3115,735,37493
SED10037,286,253,128,93,227,230,69,130,6,1435,100,195,135,110,318,375,77,190,204,1697,3515,6048,4539,2817,8330,9934,2300,4573,420,42467
SED10038,322,195,134,54,208,196,62,107,18,1300,89,153,126,61,199,209,47,117,176,1180,3929,6142,4535,2522,7258,7180,2160,3945,428,38097
SED10039,166,241,159,77,252,227,54,134,19,1330,83,158,98,78,216,222,53,103,230,1241,2778,5798,4267,2624,6843,6769,1971,3777,532,35364
SED10040,309,201,135,70,221,165,45,70,16,1233,201,239,251,130,425,378,46,102,517,2281,5302,5666,5498,2883,9828,8266,1575,2807,954,42772
SED10041,157,186,109,63,164,157,42,85,9,979,83,187,150,77,267,411,91,227,224,1716,3167,5932,4106,2440,7149,9990,2488,5772,424,41465
SED10042,131,250,170,102,320,307,75,129,16,1515,94,144,120,85,247,225,59,114,220,1311,2426,5220,4310,2885,7155,6663,1924,3522,527,34626
SED10043,349,175,122,62,192,163,54,46,19,1168,302,227,192,88,365,273,42,74,511,2069,5027,4379,3496,1675,6323,5085,992,1605,1041,29610
SED10044,239,221,145,74,243,238,65,134,15,1381,88,170,173,93,330,482,101,227,217,1882,3607,5675,4451,2608,8687,11615,3011,7147,493,47291
SED10045,59,195,158,111,274,255,64,148,13,1275,84,227,153,105,223,219,43,125,270,1443,1521,5282,4649,3352,6269,5391,1483,3776,680,32402
SED10046,303,132,94,57,220,181,39,37,18,1075,278,228,164,91,513,310,62,97,434,2173,5083,4216,3333,2089,8275,6117,1205,2064,891,33267
SED10047,338,208,135,74,353,283,77,132,22,1624,246,232,193,138,685,494,91,164,582,2834,5593,5755,4721,3177,13269,10549,2235,4124,1196,50628
SED10048,280,156,130,48,322,235,59,87,19,1347,250,256,240,133,609,506,59,121,504,2682,5962,5490,4762,3019,12739,9641,2026,3157,1057,47850
SED10049,116,288,218,138,364,392,113,204,24,1845,88,179,138,75,296,343,95,183,265,1649,2557,6086,4890,3293,9176,8537,2780,5389,571,43280
SED10050,258,211,146,74,156,193,61,116,9,1219,102,254,221,97,328,539,126,303,233,2200,3453,5923,4633,2752,6754,10986,3097,7454,481,45524
SED10051,263,244,182,76,240,243,47,119,19,1433,114,211,182,80,287,420,78,196,322,1887,3819,5386,4548,2560,7943,9607,2371,5185,713,42121
SED10052,315,217,151,83,220,249,53,119,9,1428,102,208,129,70,266,349,81,161,208,1571,3976,5499,4119,2480,7093,8683,2269,4538,488,39157
SED10053,68,198,155,95,328,354,109,226,11,1536,51,177,119,89,283,366,87,196,290,1661,2084,5279,4529,3145,9972,10554,3238,6374,679,45857
SED10054,228,162,93,51,251,223,51,58,11,1126,227,215,162,130,625,382,72,94,478,2391,4635,4180,3794,2407,10414,7351,1505,2342,950,37574
