SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10001,8,5,16,49,59,108,9,0,13,0,0,3,33,33,68,14028,12490,26518,798,868,1672,318,6,320,123,28,148,209,62,267,129,47,176,689,645,1336,16395,14245,30638,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,7,8,6,10,15,0,0,9,13,13,27,120,78,198,137,92,232,0,0,0,0,5,4,15,3,20,16,4,27,1812,2248,4060,1321,2441,3761,154,119,271,19842,19151,38988
SED10002,1657,1731,3387,143,172,317,9,13,29,3,10,11,56,54,113,10122,5181,15301,493,1060,1558,183,0,190,178,4,186,111,34,150,159,119,277,516,541,1056,13650,8927,22578,505,788,1289,3,4,7,29,16,46,100,53,157,45,76,120,34,27,58,710,967,1676,0,3,5,0,0,0,18,6,20,9,15,24,7,8,16,33,29,57,129,68,197,865,1059,1926,156,161,315,0,7,7,4,0,8,165,168,332,7047,7423,14473,3566,3201,6764,227,117,339,25512,20892,46402
SED10003,4,3,11,48,49,99,0,0,0,0,0,0,9,4,18,10570,9706,20272,520,633,1154,289,9,301,132,14,145,354,205,559,118,73,185,617,602,1219,12664,11303,23968,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,0,4,4,9,9,0,0,0,0,0,0,3,0,6,6,7,8,3,0,3,14,10,25,127,84,212,142,106,246,0,0,0,0,0,4,4,3,9,10,3,14,3404,4485,7890,2091,3029,5124,151,108,261,18458,19042,37501
SED10004,179,108,289,590,629,1218,60,25,80,75,66,143,53,60,110,4722,3394,8114,207,425,635,86,0,91,284,55,340,470,164,630,118,78,196,1091,1237,2332,7935,6243,14175,174,178,354,5,8,5,12,10,20,9,6,18,4,4,8,11,5,14,210,211,419,14,18,27,28,27,64,16,14,26,5,12,16,28,18,43,88,91,182,82,44,129,384,346,734,58,25,83,18,14,33,3,0,3,74,39,117,12174,13794,25967,1979,3031,5011,60,68,131,22612,23524,46136
SED10005,450,408,850,104,152,258,0,0,0,0,0,0,27,21,46,7639,4656,12294,377,727,1104,224,7,227,58,9,60,43,16,53,108,72,176,199,288,486,9220,6348,15568,106,175,277,0,0,0,7,11,16,55,25,85,7,32,37,14,10,26,182,250,433,0,0,0,0,0,0,4,6,11,3,20,27,0,6,11,17,33,52,85,66,143,284,346,631,53,51,100,0,3,5,6,0,3,57,52,109,3624,4156,7778,2728,2368,5097,132,80,204,16040,13348,29388
SED10006,4,0,4,165,74,241,5,3,6,0,0,4,15,15,27,9770,8898,18667,729,812,1541,384,19,400,116,35,151,89,25,114,164,86,252,962,961,1924,12396,10923,23323,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,6,6,0,0,0,0,0,0,35,7,40,6,3,9,0,0,0,44,7,51,146,67,210,190,75,269,4,0,4,0,0,4,16,3,22,24,4,27,1751,1759,3509,1165,1536,2702,158,134,292,15686,14440,30126
SED10007,12,10,15,48,45,87,11,3,8,0,0,0,36,45,79,12261,10780,23039,828,860,1690,354,9,368,89,13,104,67,11,82,94,42,136,661,572,1238,14460,12380,26842,5,6,3,0,0,0,0,0,0,9,6,12,0,0,0,0,3,4,13,7,16,0,0,0,0,0,0,3,0,8,9,10,14,0,6,6,8,15,19,131,60,188,146,88,232,0,4,5,0,0,4,9,0,6,13,7,18,1891,2520,4411,1683,2292,3975,110,109,223,18301,17393,35693
SED10008,202,147,348,383,357,743,0,0,0,5,0,9,12,11,18,8185,5895,14083,321,589,913,148,3,151,56,4,65,45,4,46,107,67,177,145,147,291,9609,7239,16851,111,109,225,0,0,0,0,3,3,33,26,60,4,8,13,9,3,9,168,153,317,0,0,0,8,7,12,39,23,54,8,16,24,9,4,11,56,45,103,54,45,103,274,243,520,36,36,69,5,4,10,0,0,5,44,44,83,10158,10190,20347,2267,3123,5389,74,42,115,22430,20875,43303
SED10009,0,3,3,52,51,105,4,3,4,0,3,6,13,10,21,9853,9296,19150,611,672,1278,401,13,419,96,14,109,104,60,162,108,50,158,560,582,1144,11794,10759,22560,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,4,4,8,8,9,0,0,0,0,0,0,3,4,7,3,7,15,0,0,0,11,12,23,110,37,152,130,53,182,0,0,0,0,0,0,4,5,10,4,3,12,1563,2092,3658,1328,2024,3353,166,142,307,14997,15079,30069
SED10010,594,737,1334,169,323,493,0,0,0,0,0,0,43,54,102,10569,6263,16828,533,955,1484,282,11,291,99,15,111,51,9,61,142,71,212,176,235,412,12653,8680,21336,223,378,600,0,0,0,9,3,6,101,62,165,20,29,52,14,13,23,362,483,845,0,0,0,0,0,0,16,10,23,12,37,49,6,18,23,36,60,94,132,60,188,526,605,1135,86,116,197,6,8,9,0,0,0,92,118,210,5023,5802,10821,2975,2901,5878,135,95,238,21415,18201,39615
