SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED10001,213,347,559,5278,6398,11673,0,0,0,413,427,843,75,77,145,8967,9940,18904,15,25,42,165,164,327,110,156,271,33,44,74,873,1027,1898,12,13,15,75,89,170,391,488,880,1292,1431,2724,49,68,119,119,134,259,1329,1722,3053,781,882,1670,18,23,43,19984,23115,43100,712,616,1327,220,165,383,21,23,45,0,3,3,386,318,697,91,136,228,475,448,933,16341,15330,31675,88,58,152,40,58,97,16477,15448,31925,3609,3112,6723,41715,43275,84989
SED10002,3184,4095,7277,1362,1441,2800,10,9,17,619,652,1272,9,7,13,8120,8675,16798,10,22,30,776,814,1592,79,104,184,65,57,119,20,30,54,134,122,258,239,243,482,290,372,661,1282,1400,2680,24,41,67,65,61,134,739,730,1466,1307,1493,2799,46,38,88,15199,16320,31521,5206,4098,9305,15590,13294,28884,12,18,33,0,5,0,215,161,383,149,154,299,365,318,685,15631,13181,28815,94,69,163,56,62,117,15779,13311,29091,6417,4614,11029,61755,56069,117822
SED10003,485,757,1247,4292,5097,9389,0,0,0,273,348,618,0,0,6,5960,6936,12892,5,13,20,119,138,256,163,200,362,31,28,64,68,97,166,10,3,18,78,95,174,283,399,679,891,1049,1936,38,44,83,129,187,315,906,1194,2104,622,764,1385,32,44,74,13906,16638,30539,151,145,296,67,66,137,257,240,498,18,22,42,73,77,147,145,235,382,243,335,576,20217,20227,40439,141,119,258,179,318,496,20530,20665,41197,3965,3972,7933,39585,42816,82405
SED10004,910,1467,2375,2733,3313,6050,4,3,13,166,197,359,0,0,0,7475,8643,16114,3,4,11,876,946,1825,50,63,109,20,30,46,67,111,180,69,65,137,85,123,214,114,161,274,408,509,919,19,22,39,23,33,52,391,508,900,428,597,1024,29,24,50,12947,15355,28300,497,433,931,467,365,830,238,248,485,3,12,16,46,51,96,171,191,362,226,249,472,21691,21781,43475,275,282,555,80,148,236,22040,22220,44262,2893,2719,5612,40216,43054,83273
SED10005,3948,4749,8697,1262,1425,2689,25,25,48,394,457,857,3,3,5,8310,8864,17175,26,24,48,2382,2435,4824,75,106,183,127,134,253,50,47,98,244,264,500,170,176,346,231,292,519,345,389,731,27,43,68,77,93,171,354,408,766,1118,1107,2231,39,39,78,15246,16355,31599,503,476,978,15272,15003,30268,8,9,19,0,0,0,59,54,113,172,167,334,230,224,452,6953,5959,12910,55,29,88,25,31,59,7038,6023,13059,5044,4547,9592,47284,47384,94669
SED10006,118,146,263,6692,7152,13848,0,0,0,238,255,493,89,97,188,7883,8640,16521,25,25,51,87,78,160,61,92,151,27,44,71,129,153,279,12,14,29,100,108,209,200,262,468,1159,1177,2332,86,115,203,77,104,183,1271,1530,2800,554,645,1195,14,15,29,18720,20502,39224,157,138,295,110,80,190,8,5,11,10,12,21,17,19,39,51,91,138,83,116,204,12408,10947,23359,59,47,105,35,39,68,12503,11035,23536,5170,5055,10227,36866,37083,73947
SED10007,220,328,554,6364,7170,13535,0,0,0,429,479,910,180,169,350,9958,10848,20804,15,26,41,151,135,282,99,104,200,37,41,77,73,83,150,6,9,22,114,119,236,257,294,549,1198,1336,2534,77,90,166,100,122,226,1350,1648,3005,637,651,1293,19,32,51,21066,23365,44431,303,290,591,242,175,416,20,24,40,12,17,31,100,92,195,113,161,277,218,278,498,13847,12387,26233,138,96,234,28,65,99,14010,12549,26563,4482,2917,7403,40564,39921,80490
SED10008,1408,1843,3251,4224,4686,8916,5,11,16,793,867,1660,135,148,289,9535,10491,20026,35,40,80,809,852,1668,41,59,100,95,109,199,76,84,160,243,263,506,275,270,550,785,904,1692,1061,1213,2267,41,46,88,108,134,237,884,1149,2030,1048,1211,2260,30,36,59,20225,22576,42800,3722,3748,7470,1638,1601,3236,52,53,102,0,0,0,585,544,1133,275,315,590,859,859,1718,13773,12370,26137,126,91,214,25,62,90,13927,12524,26450,1847,1736,3582,43671,44944,88614
SED10009,236,426,661,5906,6994,12896,0,0,0,298,319,610,4,0,4,6227,6866,13095,14,22,32,160,135,298,217,309,526,31,34,67,93,145,240,12,8,15,127,138,259,192,235,424,772,899,1669,59,77,134,87,97,185,819,1167,1990,631,750,1384,16,25,44,15657,18222,33874,123,118,241,76,64,133,24,35,56,23,13,35,21,24,43,101,148,256,139,189,335,17463,16374,33839,152,121,275,78,127,205,17694,16624,34318,3564,3339,6901,37522,39011,76529
SED10010,770,909,1679,2920,3315,6237,3,3,7,550,624,1177,8,8,14,10920,12018,22941,83,90,171,953,960,1915,130,156,283,204,214,421,28,40,68,426,472,902,373,431,798,606,696,1307,596,679,1272,39,51,91,221,233,460,632,729,1356,1521,1608,3132,39,39,80,20252,22380,42631,6019,5654,11679,3265,3061,6315,22,18,37,0,3,3,3493,2750,6247,247,297,542,3741,3052,6795,8671,7373,16042,97,74,171,48,62,105,8808,7509,16313,3578,3226,6801,46455,45804,92258
