SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10031,9161,8422,2829,212,20625,6572,561,27760,251,117,121,15,500,879,40,1415,49,25,29,5,106,107,10,221,299,142,149,14,611,985,52,1639,49,29,43,4,127,349,16,489,4,6,3,0,9,49,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,19,18,4,39,63,44,47,3,160,410,23,592,8,3,4,0,21,35,0,54,12,3,3,0,16,72,3,92,0,0,0,0,7,3,0,6,22,11,4,5,42,33,4,80,42,22,14,5,83,142,7,230,18,18,0,0,43,58,4,102,9588,8644,3046,233,21517,8170,643,30329
SED10032,2698,6778,2043,263,11782,2316,601,14695,210,357,151,19,736,482,56,1274,587,1578,450,45,2663,495,126,3285,798,1936,603,65,3398,975,183,4560,282,544,114,30,975,654,117,1748,816,1440,539,111,2904,1517,393,4811,1455,1993,586,139,4179,1402,489,6070,149,96,44,19,303,145,54,502,31,80,29,5,139,45,15,198,2735,4152,1312,308,8507,3766,1063,13339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,4,27,8,0,48,12,11,67,10,31,8,0,46,12,11,74,21,36,8,3,67,58,12,135,6266,12933,3976,633,23806,7124,1866,32800
SED10033,6418,9604,2613,174,18816,3905,433,23145,298,214,267,21,796,790,60,1645,104,109,113,6,336,212,19,570,405,325,377,25,1132,1002,79,2209,71,39,44,5,157,301,20,478,27,9,10,0,46,56,6,100,3,0,0,0,10,7,0,21,0,0,0,0,0,0,0,0,25,17,3,0,51,32,4,82,127,64,65,3,260,397,27,683,12,3,0,0,21,21,0,43,4,0,3,0,13,35,4,47,0,0,3,0,9,4,0,8,3,9,8,0,19,10,0,26,29,18,10,3,52,75,3,126,22,12,3,0,44,40,6,88,6998,10023,3066,209,20300,5411,548,26258
SED10034,5382,9520,1796,118,16810,2357,229,19400,135,97,76,3,309,270,10,582,469,650,344,19,1480,496,34,2012,605,749,419,19,1791,758,39,2590,222,155,139,9,527,434,22,979,628,449,336,24,1439,1134,130,2699,420,205,114,14,756,508,56,1316,67,28,32,3,130,67,6,201,12,13,6,0,35,26,7,63,1349,849,636,48,2884,2161,215,5261,0,0,0,0,0,3,0,7,5,3,0,0,8,21,0,30,0,0,0,0,0,0,0,0,4,13,12,0,29,12,0,46,6,12,12,0,39,40,0,80,11,8,4,0,21,29,4,56,7347,11147,2863,189,21545,5348,485,27389
SED10035,1757,2962,841,120,5675,1223,429,7326,713,671,230,40,1653,596,186,2438,847,893,278,47,2067,689,361,3116,1556,1568,507,91,3721,1289,542,5552,578,622,274,63,1532,1021,259,2818,1343,752,407,69,2586,2134,578,5300,5618,1986,589,253,8445,5226,1854,15525,4325,1569,529,295,6716,3810,1977,12497,25,17,14,3,58,44,3,108,11894,4940,1815,687,19333,12228,4678,36243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,44,26,13,10,90,57,36,186,44,32,11,10,93,57,37,192,27,12,5,3,40,71,7,119,15275,9512,3178,901,28867,14871,5704,49437
SED10036,4286,11393,2888,203,18775,2428,294,21491,91,121,64,4,281,192,10,490,588,1254,544,37,2424,847,66,3336,677,1375,609,42,2699,1046,79,3822,43,10,15,4,70,176,5,250,32,41,42,3,121,125,10,251,42,62,54,5,165,81,10,253,150,79,49,5,281,196,14,490,38,58,31,7,132,45,8,183,308,254,192,21,770,624,41,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,10,0,14,4,4,0,0,10,10,0,17,4,7,0,0,16,8,0,26,5279,13027,3690,271,22273,4103,418,26789
SED10037,5416,10295,1971,151,17835,2766,350,20953,111,77,50,3,243,239,8,488,312,599,181,12,1100,324,25,1447,422,677,230,15,1340,558,22,1928,138,119,63,6,326,259,23,606,637,571,307,58,1572,1083,132,2796,526,726,210,28,1489,529,58,2078,73,123,28,5,230,81,11,315,42,29,18,0,88,52,0,143,1417,1577,621,100,3708,2008,223,5938,4,0,0,0,6,0,0,11,9,3,3,0,18,30,3,52,0,0,0,0,0,0,0,0,14,15,0,0,22,20,0,44,26,18,3,0,49,50,3,101,8,6,4,0,17,20,6,38,7280,12578,2830,263,22953,5406,602,28964
SED10038,5880,9075,2218,202,17363,3473,641,21482,374,239,263,25,891,979,80,1950,695,608,522,27,1853,1183,135,3166,1065,844,779,54,2743,2162,210,5115,400,238,260,29,922,1169,127,2217,130,53,59,6,246,296,23,561,75,14,25,6,119,120,22,261,0,0,0,0,0,0,0,0,34,35,6,0,75,48,4,125,634,339,354,34,1356,1630,182,3172,11,0,0,0,11,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,12,0,60,46,11,118,34,22,12,0,74,59,8,146,6,22,6,0,28,29,4,65,7616,10297,3367,293,21571,7358,1051,29973
SED10039,8120,8329,2606,210,19267,4353,478,24100,493,157,219,24,891,946,54,1888,469,247,161,20,897,532,47,1475,953,407,378,39,1789,1477,103,3369,97,44,41,4,190,238,15,440,66,17,9,0,91,77,8,181,106,12,4,4,128,175,7,310,0,0,0,0,0,0,0,0,33,16,13,0,60,22,0,85,308,82,68,10,468,508,33,1011,4,0,4,0,10,22,0,32,72,4,5,0,80,122,7,206,0,0,0,0,4,0,0,0,14,13,3,0,35,18,0,59,90,23,10,0,129,164,5,301,33,11,0,3,44,69,4,117,9506,8852,3072,264,21701,6574,622,28896
SED10040,3069,6127,1742,216,11156,1985,382,13524,363,571,233,19,1192,517,56,1765,363,792,227,21,1402,343,53,1804,731,1367,458,44,2600,859,105,3566,263,304,131,22,719,460,82,1265,811,898,418,83,2217,953,246,3422,1831,1774,688,199,4496,1635,536,6666,1048,749,273,93,2170,688,299,3162,59,67,38,7,164,73,17,253,4013,3797,1550,401,9767,3816,1181,14761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,32,24,3,110,109,23,241,52,32,24,3,110,109,23,241,6,13,4,0,26,27,3,60,7881,11337,3769,669,23658,6794,1695,32154
SED10041,4257,9660,1464,89,15462,1907,156,17528,42,49,26,0,113,55,4,169,314,381,156,13,859,284,14,1164,359,427,180,11,974,337,21,1331,354,159,92,14,622,616,32,1268,319,270,157,17,757,623,33,1418,1462,1597,647,66,3776,1497,122,5393,787,1019,260,43,2111,740,119,2968,12,21,5,0,40,17,7,61,2936,3071,1164,132,7305,3493,309,11115,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,33,32,11,0,74,37,3,113,35,32,11,0,79,37,3,124,5,4,3,0,11,11,0,19,7585,13196,2814,236,23836,5780,495,30112
SED10042,8236,8220,3483,270,20209,5559,644,26402,454,73,146,19,689,1022,43,1751,210,88,141,0,443,353,31,826,670,159,283,18,1130,1371,70,2578,77,27,43,4,158,305,9,475,41,5,3,0,51,32,3,83,63,13,18,0,101,89,7,201,0,0,0,0,0,0,0,0,22,11,5,0,41,27,0,74,202,58,74,8,351,465,24,838,5,0,0,0,10,38,4,51,36,5,14,0,53,105,8,167,0,0,0,0,3,0,0,4,0,0,3,4,8,12,0,24,47,5,21,10,80,156,13,247,10,8,7,0,25,32,3,67,9166,8454,3870,300,21794,7583,749,30129
SED10043,2426,6855,2087,223,11596,1919,383,13900,115,289,121,9,536,324,17,879,558,1647,612,35,2851,743,71,3671,677,1932,735,42,3391,1071,91,4549,661,1587,478,125,2846,1505,450,4797,419,983,488,56,1945,944,203,3086,317,456,133,13,923,357,80,1360,130,68,44,6,246,204,14,469,49,92,29,3,179,60,11,244,1576,3186,1174,199,6131,3066,760,9955,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,11,10,83,49,10,147,24,46,11,10,85,46,10,147,7,12,7,0,33,25,12,60,4713,12028,4012,474,21236,6131,1255,28616
SED10044,3656,7699,1204,132,12692,1813,253,14767,235,295,90,5,632,283,11,916,486,735,193,23,1432,531,40,2001,719,1032,291,20,2067,810,47,2921,387,251,145,28,811,860,77,1751,1217,898,475,54,2643,2223,251,5120,1656,1041,406,60,3168,2039,239,5444,1341,761,193,41,2340,1386,229,3950,18,26,6,0,53,23,5,72,4615,2977,1229,187,9005,6527,801,16335,3,0,0,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,21,10,4,33,4,15,0,0,24,12,4,42,10,8,0,0,22,23,3,45,9005,11724,2733,342,23806,9189,1106,34104
SED10045,7880,6438,3486,265,18068,6630,1047,25745,197,79,173,11,459,887,43,1393,86,50,110,9,251,292,42,579,276,131,282,18,715,1175,86,1974,134,63,151,8,358,839,59,1254,12,7,15,4,31,88,8,129,6,0,0,0,5,9,0,15,0,0,0,0,0,0,0,0,18,15,13,0,43,38,3,91,164,79,179,16,442,974,72,1485,16,5,0,0,32,91,3,126,16,5,12,0,43,158,8,204,3,3,5,0,11,21,0,31,19,10,5,0,37,36,4,73,55,27,28,0,111,308,14,437,23,9,10,5,44,62,6,114,8403,6684,3989,303,19377,9150,1225,29756
SED10046,2780,9157,3306,245,15491,2197,268,17953,123,197,113,6,444,198,21,657,233,592,373,30,1231,443,34,1708,358,791,490,41,1673,630,58,2371,172,184,212,23,591,695,28,1319,569,860,537,91,2056,1580,159,3792,305,457,259,32,1051,332,46,1432,543,744,333,54,1671,812,126,2610,43,89,39,4,180,44,11,228,1630,2334,1376,208,5545,3464,379,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,4,0,16,0,3,3,0,11,8,0,18,14,12,17,0,41,28,5,76,4787,12298,5193,494,22764,6335,709,29809
SED10047,6277,13611,5140,439,25460,5054,803,31328,244,290,228,12,772,602,35,1407,510,1082,600,49,2233,683,100,3022,757,1370,824,59,3005,1288,135,4429,69,56,68,17,215,416,25,660,75,58,59,9,206,343,19,564,128,131,99,21,375,243,34,653,0,0,0,0,0,0,0,0,59,53,30,3,150,77,7,236,330,304,255,50,937,1083,86,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,8,8,13,0,29,10,0,42,9,12,13,0,33,15,0,48,13,21,5,0,44,20,0,69,7384,15307,6236,550,29478,7458,1033,37977
SED10048,5703,14085,3614,343,23748,3496,510,27756,436,742,402,41,1618,935,68,2623,470,1112,594,51,2229,824,75,3121,909,1852,996,88,3849,1754,141,5743,36,73,38,8,150,130,10,293,8,6,4,4,25,30,6,58,132,84,29,4,251,149,9,404,63,36,12,5,115,101,13,222,54,84,25,11,170,70,3,249,304,282,112,19,718,480,30,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,5,0,11,12,24,8,0,43,23,5,68,6923,16242,4732,455,28355,5764,690,34808
SED10049,8010,10674,3898,296,22879,4947,673,28499,574,236,324,31,1166,1283,66,2516,95,50,92,9,245,355,24,627,672,285,417,44,1413,1634,89,3138,71,24,52,6,156,462,33,651,0,0,0,0,0,0,0,0,0,0,8,0,14,14,4,31,0,0,0,0,0,0,0,0,20,14,10,0,39,28,3,71,94,37,77,6,211,503,40,752,22,0,5,3,30,123,5,155,0,0,0,0,3,4,0,10,0,6,0,0,0,0,0,8,10,4,4,4,19,27,0,47,30,9,9,3,56,153,7,214,3,14,3,0,27,20,0,52,8811,11010,4405,351,24585,7256,811,32648
SED10050,2871,7143,1045,92,11148,1383,252,12780,203,303,58,9,573,267,25,864,620,687,209,14,1529,426,84,2033,827,987,267,21,2104,688,114,2897,828,673,252,22,1776,981,231,2985,2222,1256,580,58,4118,2287,593,6999,1362,590,243,29,2216,1406,247,3867,492,179,66,9,747,559,85,1391,35,37,17,0,87,38,7,132,4947,2733,1147,112,8947,5268,1160,15372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,18,15,0,70,37,18,125,37,18,15,0,70,46,18,129,8,7,3,0,16,27,5,45,8683,10887,2480,230,22277,7408,1541,31225
SED10051,2539,5309,1235,172,9250,1606,319,11179,452,787,233,32,1502,629,68,2198,837,1836,618,45,3332,819,118,4266,1289,2620,853,70,4833,1444,186,6466,354,299,264,26,949,1041,112,2101,970,878,590,74,2518,1962,262,4745,1770,1227,442,71,3510,1895,370,5766,599,375,145,38,1158,503,183,1847,14,21,8,0,46,30,7,82,3716,2804,1447,201,8177,5426,943,14537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,24,8,87,61,19,164,32,25,24,8,87,61,19,164,11,10,4,0,28,26,4,53,7589,10771,3559,453,22372,8561,1465,32397
SED10052,4527,8296,1534,141,14502,2071,231,16798,249,371,151,11,783,433,20,1240,953,1126,481,33,2587,1086,79,3759,1200,1499,634,44,3378,1525,102,5005,194,151,91,12,444,454,31,930,545,358,342,30,1274,1031,112,2419,982,434,254,38,1705,1254,117,3081,135,76,52,10,273,214,17,505,18,22,6,0,46,27,0,74,1870,1043,746,91,3746,2978,283,7006,10,0,3,0,18,40,3,64,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,16,9,0,43,17,8,70,28,20,19,0,61,61,9,134,7,9,6,5,22,16,3,40,7644,10864,2933,273,21712,6645,626,28982
SED10053,7329,9107,2328,181,18948,4650,477,24069,370,308,213,24,912,925,55,1889,372,348,184,21,931,728,96,1755,745,656,396,47,1841,1651,150,3638,244,151,107,11,513,895,122,1525,107,75,39,8,236,333,49,610,196,118,59,17,390,514,38,944,20,7,5,0,34,40,3,77,15,8,7,0,30,19,5,48,581,357,215,41,1191,1803,220,3213,11,3,3,0,16,24,0,38,4,0,0,0,4,3,0,6,0,0,0,0,0,7,0,13,18,18,3,0,37,25,4,65,32,18,9,0,58,55,4,120,15,18,5,0,46,52,7,105,8705,10156,2952,269,22076,8208,857,31143
SED10054,4059,10490,3616,339,18511,2957,450,21916,168,489,184,31,868,307,32,1206,268,1147,535,27,1979,374,47,2400,435,1639,721,50,2841,683,81,3603,14,28,19,0,59,75,3,139,34,58,38,5,135,125,11,267,201,337,145,31,714,396,65,1173,0,0,0,0,0,0,0,0,45,70,30,0,145,63,3,211,292,480,241,40,1050,655,84,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,14,3,0,23,0,0,24,4,14,10,0,25,4,0,24,4,13,0,0,20,11,0,33,4789,12638,4587,426,22451,4307,615,27373
SED10055,5595,12790,3118,218,21730,2711,316,24751,49,62,42,3,158,79,8,242,133,289,190,6,624,175,13,813,179,361,230,16,775,250,26,1052,7,7,12,0,22,59,0,89,20,17,13,0,50,33,3,88,5,6,14,0,23,21,0,44,0,0,0,0,0,0,0,0,26,31,8,0,66,34,4,103,58,59,47,6,163,145,12,319,3,0,0,0,7,17,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,4,7,7,5,0,15,22,0,34,16,19,3,0,36,20,3,54,5853,13227,3400,235,22719,3145,351,26213
SED10056,8828,8182,2766,267,20037,6660,600,27296,319,122,114,16,570,956,47,1578,27,9,4,0,36,65,0,107,345,134,120,16,604,1027,49,1682,279,225,111,25,635,704,65,1415,9,6,0,0,19,8,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,10,4,0,13,295,230,111,23,664,714,69,1456,28,8,0,0,36,65,5,106,24,5,3,0,34,52,3,94,3,0,0,0,9,8,5,21,34,27,7,0,67,29,9,108,91,38,17,4,143,165,17,322,67,39,10,0,118,88,12,212,9627,8624,3017,306,21566,8656,744,30972
SED10057,8928,5625,3146,245,17942,6015,689,24641,655,115,268,21,1058,1498,86,2646,94,44,63,6,206,203,9,418,746,158,333,27,1264,1697,96,3058,254,80,145,15,495,1111,70,1673,90,13,31,5,140,275,22,443,113,23,18,4,153,204,15,371,43,0,3,0,46,30,0,75,3,3,3,0,12,6,0,21,503,119,202,19,847,1634,105,2581,28,11,0,0,44,98,3,148,73,10,17,0,96,161,8,262,0,0,0,0,6,5,0,5,14,11,6,4,28,47,3,77,109,26,29,3,166,308,17,496,31,13,3,0,40,57,0,104,10330,5939,3709,293,20269,9705,906,30876
SED10058,5407,5975,2062,230,13673,4484,1241,19403,477,194,189,29,892,955,140,1982,1083,617,456,67,2218,1420,498,4137,1561,813,643,98,3109,2375,637,6118,409,112,145,23,687,1402,202,2289,467,107,117,17,703,1014,181,1907,589,124,96,16,833,900,143,1873,434,91,57,10,594,701,86,1386,28,13,8,0,45,56,7,109,1918,444,424,71,2862,4077,620,7563,5,0,0,0,5,5,0,12,3,0,0,0,6,13,0,17,0,0,0,0,0,0,0,0,27,14,13,3,60,84,24,165,41,14,14,3,66,98,24,193,24,3,0,0,30,54,6,95,8953,7250,3142,405,19748,11094,2532,33375
SED10059,766,902,223,49,1941,450,330,2714,1568,1187,357,76,3191,1220,598,5007,2154,1761,545,104,4560,1696,1531,7786,3721,2944,907,177,7751,2919,2128,12790,655,205,105,27,987,1312,285,2587,1169,294,167,57,1684,2251,488,4421,1905,456,219,92,2671,3284,756,6716,1188,177,125,85,1579,2863,369,4812,31,15,5,0,52,52,22,132,4941,1146,628,262,6975,9760,1925,18661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,43,36,14,211,245,143,598,115,43,36,14,211,245,143,598,30,13,8,0,54,104,9,164,9573,5048,1801,506,16929,13477,4539,34938
SED10060,1715,2762,430,60,4970,827,70,5869,357,479,127,8,978,307,25,1308,894,758,195,26,1863,640,110,2613,1247,1234,319,37,2839,946,135,3924,1011,717,282,32,2040,1252,201,3498,2461,1075,535,106,4177,3753,456,8389,1777,705,299,58,2847,2576,303,5720,2586,912,389,86,3969,3697,368,8037,30,9,10,0,51,37,0,94,7868,3421,1505,285,13086,11316,1331,25735,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,37,17,12,3,69,36,17,120,42,22,17,3,74,36,17,126,17,10,4,0,30,55,11,93,10892,7451,2279,380,21003,13185,1557,35742
SED10061,8124,6519,3104,286,18030,6919,802,25754,318,196,149,22,693,1200,74,1966,50,23,29,0,110,187,15,311,370,222,177,28,799,1386,89,2275,88,33,47,7,173,453,28,645,13,5,5,0,26,21,8,52,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,5,0,17,116,39,51,6,206,475,35,719,23,4,3,0,32,52,3,85,8,0,0,0,10,52,4,68,3,0,0,0,5,11,0,15,22,13,8,3,39,20,3,65,57,19,19,5,91,130,16,235,30,21,4,0,58,74,12,138,8692,6817,3349,323,19190,8985,946,29118
SED10062,4063,8182,1633,195,14076,2286,278,16637,351,353,172,17,895,583,24,1500,593,1061,343,21,2021,533,52,2601,944,1420,516,35,2916,1115,72,4109,151,96,76,14,338,458,32,829,728,588,372,60,1749,913,129,2790,608,547,323,53,1528,965,103,2589,0,0,0,0,0,0,0,0,33,43,15,3,89,27,4,124,1527,1274,779,128,3707,2356,267,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,12,5,68,35,9,114,18,34,12,5,68,34,9,120,4,0,0,0,6,21,4,31,6556,10909,2950,359,20771,5817,627,27217
SED10063,7811,8170,3211,232,19420,6503,670,26600,296,139,166,16,614,1067,55,1734,23,17,29,3,69,166,8,239,324,154,191,21,682,1231,59,1967,145,44,52,4,241,715,41,1000,5,4,3,0,13,23,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,8,14,0,25,152,42,57,8,267,751,52,1068,17,0,4,0,20,37,0,52,3,0,6,0,6,18,0,27,0,0,0,0,0,0,0,5,56,73,19,3,151,71,7,233,74,77,20,8,178,133,9,315,20,26,7,4,59,45,9,112,8386,8470,3484,276,20610,8652,797,30070
SED10064,8670,6209,3605,287,18765,6922,848,26532,201,99,118,8,430,539,36,1000,70,28,44,5,147,188,8,349,274,123,157,12,576,726,47,1347,161,44,120,14,338,649,32,1024,28,4,19,0,51,106,5,164,9,0,0,0,13,19,0,30,0,0,0,0,3,0,0,0,13,11,3,0,30,17,0,44,216,58,145,13,435,782,43,1265,46,9,5,0,59,85,3,149,52,5,12,3,70,104,18,191,0,0,4,0,4,6,0,10,17,11,9,0,41,33,0,72,118,18,35,3,169,225,23,423,32,21,10,3,65,61,8,128,9307,6431,3952,322,20010,8718,966,29694
SED10065,2910,6038,1579,165,10695,2055,390,13141,172,275,106,3,559,440,31,1035,1153,2520,699,74,4451,1108,221,5784,1325,2797,809,84,5011,1549,254,6815,587,622,210,74,1497,1195,237,2928,1205,1244,547,127,3127,1818,507,5453,1254,1578,461,92,3386,1379,317,5075,1732,2018,370,151,4270,1658,667,6594,29,36,12,0,73,26,6,108,4812,5498,1603,445,12352,6079,1732,20158,0,0,5,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,69,15,0,112,39,18,175,24,69,18,0,111,44,18,181,15,13,10,0,35,50,13,95,9090,14412,4017,689,28207,9773,2408,40386
SED10066,5593,8380,3019,231,17225,4050,485,21764,234,187,222,20,654,747,47,1451,579,588,616,51,1839,1213,130,3182,815,772,836,66,2497,1957,182,4633,159,59,107,18,349,822,41,1210,159,82,117,21,385,591,47,1029,411,184,190,33,818,826,103,1750,229,79,75,21,413,361,63,831,8,20,8,0,35,31,4,76,971,427,500,100,1993,2635,265,4894,0,0,0,0,0,0,0,0,15,0,9,0,22,64,3,93,0,0,0,0,0,5,0,3,0,0,4,0,8,4,0,9,15,0,14,0,31,75,0,108,11,3,0,0,15,21,3,39,7403,9585,4376,396,21758,8745,937,31438
SED10067,5243,7986,1506,104,14837,2470,310,17616,198,112,39,7,357,413,13,782,658,524,209,7,1409,713,25,2142,856,637,248,15,1758,1128,39,2921,535,287,132,6,960,790,39,1793,653,398,248,23,1316,957,66,2336,590,344,231,10,1181,668,55,1907,7,0,0,0,7,0,0,13,33,38,17,0,89,40,0,132,1823,1061,624,38,3553,2461,164,6173,6,6,3,0,18,6,0,20,13,0,4,0,13,31,0,46,0,0,0,0,0,3,0,0,31,19,18,4,68,40,4,115,42,25,20,9,100,80,4,190,21,20,8,0,48,28,4,80,7990,9736,2409,164,20297,6167,514,26976
SED10068,9191,6682,2624,200,18700,5248,628,24580,875,194,327,18,1411,1750,111,3272,348,138,179,12,684,438,61,1183,1221,335,506,28,2093,2188,169,4457,307,73,163,17,558,1004,72,1639,150,45,42,5,243,328,19,597,277,45,68,3,398,522,54,972,58,7,8,0,74,58,0,134,19,13,3,0,27,7,4,40,812,193,288,24,1310,1925,152,3384,32,3,3,0,44,47,3,93,88,3,10,0,103,207,7,322,3,0,0,0,3,8,0,6,9,9,8,0,28,20,0,50,137,21,21,0,175,284,13,471,21,11,9,0,37,52,8,94,11386,7233,3447,258,22324,9695,974,32990
