SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED10053,890,787,1678,2500,2202,4699,866,701,1568,342,371,718,3724,3276,6998,1509,1399,2905,823,755,1576,428,446,877,2770,2596,5365,125,109,233,127,140,274,404,253,654,430,686,1118,3,4,4,1090,1200,2289,394,559,953,246,302,545,103,175,274,488,883,1370,4,7,15,1238,1932,3162,2328,3129,5458,123,102,222,201,301,499,9,3,11,327,407,733,2631,2256,4890,12666,12452,25115
SED10054,985,888,1873,2969,2846,5823,959,910,1871,762,787,1552,4702,4563,9267,1952,1983,3936,1018,933,1951,612,587,1201,3586,3519,7106,176,195,371,215,394,606,284,195,478,378,593,973,6,6,12,1055,1378,2439,1055,1371,2418,257,375,631,174,171,347,265,394,665,10,6,11,1758,2322,4078,2830,3719,6549,181,175,354,217,280,498,8,5,12,406,459,865,3262,3432,6687,15775,16572,32346
SED10055,1126,991,2116,2689,2436,5128,1082,1112,2189,672,567,1245,4449,4133,8584,1798,1806,3605,1107,1271,2376,599,540,1137,3512,3622,7131,127,158,279,87,189,279,545,204,746,258,474,727,5,5,15,1019,1032,2052,956,1297,2250,162,266,432,147,179,326,211,504,707,3,5,8,1474,2254,3724,2502,3289,5786,103,100,196,149,201,344,3,0,8,251,298,555,1664,1627,3292,13498,13964,27466
SED10056,884,822,1706,2515,2276,4793,752,833,1584,171,172,343,3448,3288,6737,1600,1574,3171,921,958,1883,183,221,408,2708,2753,5459,69,91,158,50,113,170,377,230,606,262,571,835,4,0,7,762,1009,1777,146,276,425,51,127,181,59,101,162,147,379,524,3,6,8,408,893,1299,1174,1904,3084,56,58,114,90,196,286,9,3,15,153,259,417,4117,3872,7991,12487,12903,25387
SED10057,622,602,1225,2043,1975,4017,333,282,614,282,274,554,2655,2530,5188,1521,1456,2983,277,255,534,220,274,487,2012,1992,4005,70,115,186,52,139,189,270,229,500,206,497,700,3,4,10,608,983,1593,96,177,270,54,150,202,27,65,92,115,317,432,0,5,5,294,711,1000,901,1694,2597,31,37,74,58,116,176,6,3,5,93,161,255,2774,2981,5759,9055,9966,19027
SED10058,774,702,1477,1942,1718,3663,562,520,1079,254,232,486,2763,2469,5237,1138,1085,2224,392,443,838,426,431,859,1956,1964,3928,141,138,272,141,194,330,253,201,452,440,540,983,0,4,5,975,1069,2045,1050,1544,2587,528,711,1244,197,268,463,644,970,1613,6,0,3,2422,3492,5913,3397,4565,7962,57,77,134,159,259,419,0,4,4,215,342,557,2019,1874,3896,11125,11920,23051
SED10059,466,419,886,1328,1203,2535,124,139,262,152,141,294,1601,1490,3092,698,629,1325,180,267,447,357,261,615,1231,1156,2395,123,180,306,336,364,697,141,119,262,576,623,1198,0,5,6,1178,1298,2473,2373,3006,5380,1172,1210,2380,225,242,473,910,1132,2037,5,7,16,4683,5604,10289,5861,6903,12771,204,259,464,327,374,701,13,6,14,537,639,1177,2881,2230,5114,12596,12837,25429
SED10060,705,612,1316,1383,1349,2735,298,357,663,520,525,1037,2205,2230,4440,667,627,1295,385,336,719,920,828,1743,1977,1790,3763,70,79,148,109,199,307,91,68,155,309,556,864,0,0,3,580,898,1480,983,1107,2092,360,537,898,150,181,329,655,933,1588,0,9,10,2150,2764,4913,2730,3669,6398,65,100,163,209,359,566,0,0,0,273,459,735,1553,1752,3300,9443,10513,19953
SED10061,780,740,1524,2234,2122,4358,615,618,1228,250,296,546,3105,3040,6142,1635,1637,3267,364,398,764,345,477,820,2344,2514,4855,88,80,170,77,147,222,243,213,454,311,627,935,7,9,15,727,1070,1796,430,756,1186,265,337,601,101,178,278,263,546,807,4,0,4,1062,1815,2880,1789,2885,4672,57,67,132,64,155,216,6,0,3,129,222,346,4645,4653,9294,12789,14046,26838
SED10062,869,705,1575,2211,1977,4191,709,657,1367,307,365,669,3229,3007,6242,1389,1246,2641,797,876,1665,470,493,962,2653,2615,5272,132,119,245,137,201,341,306,101,411,315,454,770,8,3,11,894,879,1771,1260,1444,2707,316,377,694,155,181,337,311,457,774,7,8,7,2051,2467,4523,2955,3349,6304,124,107,234,153,246,395,0,8,12,281,354,640,1562,1823,3387,11561,11860,23415
SED10063,988,898,1882,2605,2434,5037,774,804,1571,425,406,834,3808,3646,7453,1461,1341,2802,803,820,1632,628,595,1222,2894,2764,5660,68,101,164,59,128,191,394,292,688,370,628,997,10,3,13,899,1153,2050,219,392,606,125,209,333,64,140,203,302,562,867,0,0,0,709,1297,2012,1609,2454,4059,60,75,130,80,165,248,0,4,4,139,245,388,2730,2711,5440,12165,12716,24882
SED10064,728,669,1402,2018,1941,3959,513,494,1000,379,363,744,2912,2796,5712,1436,1448,2888,424,484,907,351,326,681,2211,2260,4474,69,132,201,63,141,203,278,206,484,274,578,855,10,6,15,698,1058,1757,78,214,290,64,220,290,18,68,83,139,427,562,4,4,13,303,928,1235,998,1992,2988,31,52,86,61,145,204,6,4,9,98,201,303,3732,3102,6833,10689,11029,21715
SED10065,1250,1122,2370,3608,3348,6956,817,797,1608,265,274,535,4693,4423,9119,1706,1660,3365,796,694,1492,411,347,760,2925,2703,5629,302,236,543,407,566,970,282,151,435,580,1011,1591,3,3,11,1574,1968,3545,1815,1861,3675,960,940,1897,236,236,466,529,739,1269,13,11,20,3552,3780,7332,5138,5765,10899,534,409,948,395,455,851,3,8,15,941,872,1810,3131,2888,6016,18078,17771,35847
SED10066,1041,869,1905,2651,2476,5130,646,618,1262,361,351,715,3659,3453,7118,1528,1519,3050,739,672,1416,376,386,764,2651,2586,5238,145,200,348,112,234,339,450,253,702,346,613,960,3,5,11,1051,1307,2359,559,825,1384,255,364,620,118,194,311,301,602,899,6,4,11,1236,1987,3219,2287,3295,5584,82,87,168,154,236,392,0,3,7,243,326,569,2431,2637,5066,12320,13164,25483
SED10067,838,773,1611,2375,2245,4623,371,342,716,450,389,837,3200,2980,6176,1510,1459,2970,552,623,1176,753,677,1430,2821,2759,5576,82,81,170,58,75,132,459,183,647,267,449,717,5,9,8,867,802,1672,726,949,1676,101,189,288,131,162,293,258,479,737,0,3,3,1220,1779,2997,2089,2579,4671,39,45,82,111,220,331,4,0,3,153,266,418,1453,1695,3141,10541,11052,21595
SED10068,708,640,1342,1633,1647,3282,789,768,1553,422,397,819,2851,2815,5670,997,956,1951,1068,1041,2100,427,395,820,2488,2389,4878,124,98,219,79,168,248,290,192,479,300,572,874,3,6,13,795,1034,1831,353,686,1039,139,266,405,57,115,169,251,517,773,0,6,4,802,1588,2386,1596,2625,4226,55,59,113,99,197,296,6,0,6,161,255,413,2007,2032,4038,9807,10758,20569
SED10069,736,660,1394,2197,2052,4250,357,358,713,342,349,690,2894,2760,5655,1636,1573,3210,359,395,753,396,362,763,2391,2334,4730,103,110,215,63,111,174,346,187,536,260,521,778,10,0,12,775,933,1713,280,409,687,97,195,294,44,113,158,176,427,600,5,8,8,604,1153,1754,1378,2090,3465,50,50,105,61,129,193,5,10,15,126,190,313,2148,2138,4286,9677,10167,19842
SED10070,958,790,1753,2851,2622,5475,1069,1058,2123,241,230,466,4163,3919,8083,2006,1817,3832,928,1069,2001,225,258,481,3165,3147,6318,148,172,317,189,283,475,282,129,416,334,554,894,0,0,5,960,1138,2100,1091,1305,2401,294,342,633,152,172,327,227,362,590,5,3,10,1770,2182,3958,2742,3333,6081,250,193,444,235,325,562,13,3,15,493,533,1022,2360,2320,4680,13884,14048,27932
SED10071,1752,1668,3423,5214,4849,10064,1264,1302,2569,653,643,1296,7144,6800,13944,3060,2871,5935,1168,1195,2368,607,577,1186,4845,4652,9495,210,204,414,196,299,495,417,242,661,437,865,1302,4,8,7,1270,1614,2880,1570,1855,3419,413,565,982,224,270,501,510,759,1267,4,0,6,2727,3449,6173,4002,5069,9077,264,184,449,324,378,705,6,3,13,599,571,1171,3377,1972,5353,21719,20741,42455
SED10072,889,772,1663,1908,1762,3670,651,675,1328,318,321,642,2880,2765,5648,1271,1169,2440,605,692,1299,407,369,773,2286,2228,4514,265,191,456,419,510,922,320,193,513,657,930,1588,3,6,13,1661,1829,3493,1418,1538,2953,663,683,1348,209,183,393,418,608,1024,13,7,20,2712,3023,5733,4385,4858,9250,372,360,731,472,617,1090,6,4,13,851,984,1831,2955,2798,5750,14244,14411,28656
SED10073,1039,925,1967,2726,2493,5216,630,634,1267,311,286,599,3677,3410,7083,1635,1360,2992,703,586,1295,322,364,688,2671,2318,4985,158,166,319,313,446,749,203,110,313,559,936,1497,0,5,7,1232,1660,2892,2106,2199,4303,947,1075,2018,241,223,469,578,816,1397,15,8,18,3880,4329,8209,5122,5994,11118,224,226,451,352,451,792,3,7,8,573,682,1251,1987,1991,3987,15072,15319,30392
SED10074,974,956,1930,2908,2615,5525,828,830,1658,226,229,454,3966,3681,7648,1706,1570,3273,798,760,1554,299,296,597,2806,2634,5435,156,122,283,173,252,431,293,154,446,382,607,987,0,7,7,1008,1137,2145,1087,1267,2352,452,501,949,155,181,340,398,512,909,0,3,6,2091,2456,4554,3109,3605,6715,276,183,458,223,271,499,3,9,15,503,462,966,1948,1947,3893,13300,13290,26591
SED10075,1102,1033,2128,2870,2673,5544,689,662,1357,285,268,559,3851,3616,7468,2153,1975,4128,628,665,1288,289,280,570,3069,2926,5996,118,164,281,76,204,275,559,326,880,372,634,1012,6,3,9,1130,1331,2460,422,715,1135,138,245,384,102,157,258,217,468,683,0,6,7,876,1588,2471,2018,2923,4937,63,79,142,112,176,290,6,0,10,185,258,448,2048,1984,4029,12271,12738,25005
SED10076,824,668,1495,2229,2044,4266,239,267,509,195,219,415,2673,2536,5207,1547,1472,3018,287,315,601,196,211,407,2025,2009,4032,87,90,175,52,108,162,322,187,506,256,520,782,3,3,5,719,912,1634,134,259,400,98,229,327,24,62,85,166,357,527,0,0,4,431,909,1340,1154,1821,2975,56,53,107,65,175,246,4,0,8,125,228,356,2572,2538,5115,9373,9811,19182
SED10077,796,748,1542,1912,1834,3749,719,739,1452,341,441,784,2983,3019,6004,1204,1421,2626,724,619,1344,583,633,1216,2521,2675,5194,500,343,847,535,646,1177,343,199,539,562,710,1273,6,7,13,1942,1902,3845,2688,2631,5321,1163,1073,2231,379,293,675,540,682,1221,18,15,35,4784,4695,9487,6742,6612,13355,712,618,1328,590,665,1250,17,12,23,1320,1286,2604,2839,2549,5387,17196,16894,34088
SED10078,666,636,1305,1826,1773,3597,421,384,799,187,149,338,2443,2307,4750,1078,1003,2074,527,553,1083,485,368,854,2094,1922,4017,179,155,329,267,323,595,211,129,341,415,607,1020,8,3,9,1075,1223,2295,1134,1300,2439,586,751,1336,190,210,404,638,963,1605,0,8,3,2556,3231,5786,3631,4459,8090,210,178,393,240,341,580,4,4,10,455,521,975,1838,1728,3566,11129,11577,22701
SED10079,819,768,1587,2348,2166,4515,431,439,866,192,149,346,2970,2762,5733,1575,1504,3078,447,469,915,233,202,435,2255,2176,4429,71,114,186,62,107,168,428,188,615,271,443,713,9,0,7,833,866,1698,376,529,906,98,213,306,60,120,179,175,390,566,3,4,0,715,1250,1965,1553,2114,3666,40,47,85,108,172,275,0,0,3,139,222,366,1706,1770,3476,9444,9812,19254
SED10080,445,400,840,803,805,1609,116,124,235,297,275,571,1216,1201,2417,338,324,663,135,197,332,440,390,832,918,910,1830,184,258,441,672,982,1662,175,164,335,801,1028,1826,5,7,16,1837,2438,4275,1265,1477,2743,909,1051,1955,160,177,342,865,885,1747,14,0,16,3213,3589,6800,5058,6041,11092,697,1016,1715,878,1166,2041,11,4,14,1590,2188,3776,3843,3092,6933,13061,13827,26889
SED10081,987,831,1818,2395,2203,4599,909,866,1776,415,378,792,3727,3451,7174,1886,1390,3274,485,654,1144,430,558,986,2800,2608,5408,85,96,180,58,163,214,329,257,585,309,647,960,0,5,4,777,1171,1951,136,272,406,78,167,241,51,118,170,189,526,715,0,3,3,453,1078,1540,1239,2248,3487,50,56,113,94,159,250,5,4,5,144,220,366,3100,3035,6137,12004,12382,24390
SED10082,1017,901,1917,2221,2064,4286,545,470,1016,637,620,1257,3409,3167,6568,1460,1483,2949,534,440,970,736,800,1533,2740,2718,5458,105,120,224,56,93,152,455,183,638,272,508,778,7,5,11,897,905,1799,579,824,1405,143,282,424,119,166,290,271,577,845,4,6,11,1110,1856,2968,2009,2766,4777,42,56,100,102,174,274,3,0,3,147,231,378,1604,1925,3532,10922,11708,22627
SED10083,967,861,1822,2357,2175,4531,508,528,1033,363,302,658,3226,3006,6236,1802,1725,3525,401,389,787,302,307,608,2500,2422,4921,104,116,223,78,135,212,392,228,626,345,588,933,4,7,10,928,1075,2004,380,558,939,156,267,416,96,146,235,231,500,727,0,6,7,855,1471,2328,1781,2545,4332,59,78,135,128,168,297,0,4,3,193,248,435,1854,2141,3993,10521,11222,21746
SED10084,752,712,1467,2018,1768,3788,732,691,1430,357,349,708,3116,2815,5935,1303,1237,2541,561,599,1169,485,484,960,2356,2326,4680,88,127,212,103,177,282,281,182,459,281,520,801,8,4,16,756,1010,1763,285,494,787,156,329,489,71,139,209,211,536,743,4,10,12,730,1513,2245,1491,2522,4018,41,94,133,125,240,366,10,9,15,172,337,510,2608,2717,5326,10498,11443,21932
SED10085,861,852,1713,2485,2324,4810,761,653,1416,315,344,656,3565,3326,6892,1652,1539,3190,601,595,1197,337,354,688,2592,2494,5081,72,83,157,56,106,158,448,306,756,270,576,847,6,9,16,855,1080,1929,162,281,446,59,149,210,48,104,155,152,441,596,4,3,12,426,982,1408,1281,2068,3352,61,59,126,96,210,300,0,9,7,163,274,437,3168,2530,5693,11626,11534,23160
SED10086,812,768,1579,1203,1176,2382,235,324,561,1270,1151,2420,2717,2655,5375,439,433,870,253,438,692,1761,1571,3327,2460,2444,4900,54,72,123,119,211,335,94,77,169,408,608,1010,8,0,9,673,967,1641,1048,1245,2291,282,456,734,122,142,267,431,728,1154,11,9,20,1884,2579,4469,2565,3552,6118,81,111,187,288,410,699,5,3,14,374,522,895,2073,2288,4365,11002,12228,23231
SED10087,1012,963,1967,2305,2051,4356,1004,1036,2038,417,376,795,3731,3468,7191,1335,1448,2779,840,866,1703,460,457,921,2636,2775,5410,186,140,329,122,174,298,488,295,785,404,648,1056,3,3,9,1204,1259,2467,451,1064,1512,175,325,497,77,185,267,334,689,1025,0,4,8,1041,2265,3308,2251,3535,5788,129,93,223,131,218,347,0,0,4,258,310,571,2539,2496,5033,12422,13537,25959
SED10088,1077,1014,2096,2809,2633,5441,564,477,1038,381,349,725,3754,3465,7219,1729,1640,3370,927,799,1724,593,599,1185,3251,3036,6286,155,147,298,126,156,287,413,200,613,410,537,943,5,0,5,1115,1042,2151,1055,1193,2242,207,296,502,152,213,368,306,579,884,4,3,11,1725,2286,4008,2834,3331,6176,109,124,236,219,256,476,0,0,0,336,383,716,1299,1437,2737,12553,12674,25225
SED10089,998,917,1911,2524,2331,4859,630,611,1242,398,372,768,3558,3313,6875,1869,1861,3733,417,392,810,355,317,669,2643,2572,5218,170,168,334,146,181,326,383,263,649,399,616,1020,0,0,3,1104,1230,2332,1756,2087,3838,625,676,1302,183,243,429,477,760,1239,4,6,11,3050,3771,6823,4162,4999,9166,110,104,217,142,234,379,3,3,5,258,344,600,2098,2213,4312,13712,14362,28076
SED10090,1048,941,1983,2672,2588,5260,592,583,1175,580,568,1146,3850,3746,7600,1141,1354,2495,753,578,1331,1104,1029,2134,3007,2961,5972,92,99,191,150,247,391,136,84,218,318,632,949,0,0,0,701,1057,1754,1452,1457,2912,390,499,890,154,174,331,502,702,1204,5,6,17,2507,2843,5354,3211,3899,7112,131,166,294,261,377,637,4,4,11,391,551,943,1314,1486,2805,12823,13595,26411
SED10091,1090,993,2085,2575,2203,4778,612,603,1218,629,675,1309,3821,3488,7308,1379,1253,2630,734,781,1516,691,939,1631,2813,2973,5786,93,124,224,64,108,173,598,265,858,269,530,802,5,7,7,1032,1031,2057,366,683,1049,107,223,331,68,130,198,230,413,644,0,3,3,771,1454,2227,1799,2491,4293,66,68,133,97,163,256,4,0,4,164,231,395,1924,2027,3949,11614,12204,23819
SED10092,849,748,1600,1995,1854,3851,500,540,1033,268,309,574,2766,2707,5467,1379,1372,2751,589,540,1131,286,259,542,2254,2174,4427,142,179,315,185,252,440,362,292,654,399,648,1054,7,10,17,1096,1379,2478,1315,1730,3049,619,634,1248,202,244,453,384,622,1003,0,6,13,2532,3233,5769,3640,4619,8254,113,103,215,129,212,342,6,0,6,241,321,565,2350,2378,4730,12105,12941,25047
SED10093,1032,985,2020,2578,2386,4963,621,664,1292,377,359,733,3585,3408,6997,1841,1705,3549,578,597,1177,363,405,772,2786,2715,5504,90,169,264,63,163,226,474,279,755,338,645,981,3,9,9,973,1266,2240,361,572,929,147,272,415,94,142,238,189,495,680,0,3,3,787,1479,2268,1763,2747,4511,72,91,164,104,198,306,6,0,0,182,294,468,2369,2591,4964,11718,12746,24464
SED19494,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
