SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
101021007,4,8,6,9,8,11,4,12,0,63,8,5,6,3,9,15,7,14,15,83,108,293,240,155,272,399,144,353,48,2013
101021008,11,23,20,11,42,50,15,17,0,181,4,13,13,0,43,42,10,17,28,166,207,469,368,279,1073,1111,293,444,73,4315
101021009,17,30,20,20,45,51,15,18,0,224,10,24,25,19,55,55,12,31,45,272,243,588,634,440,1712,1483,402,643,96,6247
101021010,4,15,13,3,34,23,13,11,0,109,0,15,7,5,24,29,8,3,23,116,114,278,262,172,821,699,222,311,42,2922
101021012,12,30,19,12,57,48,14,42,0,236,6,25,11,11,41,48,7,26,35,205,323,878,614,448,1549,1840,616,1056,71,7398
101021610,8,3,11,5,27,27,3,12,0,93,6,4,3,3,17,25,8,7,15,99,222,240,271,215,930,954,290,462,41,3621
101021611,10,48,35,16,65,85,30,56,0,342,6,43,23,16,39,79,18,37,46,318,456,1054,806,597,1728,2250,657,1349,130,9023
101031013,0,4,0,0,0,6,0,8,0,20,0,4,3,0,13,15,3,10,10,59,47,136,125,81,175,194,86,234,29,1104
101031014,4,8,6,7,23,32,6,17,0,101,5,11,7,3,18,18,5,18,26,108,129,404,326,262,694,572,161,440,60,3039
101031015,0,5,7,0,10,10,10,8,0,53,4,5,0,4,7,6,0,12,12,57,69,234,184,111,295,340,103,363,22,1728
101031016,3,20,20,10,16,27,3,26,0,130,8,34,16,13,19,36,14,21,39,203,195,738,697,391,768,783,292,754,73,4701
101041017,8,16,18,22,29,35,9,8,0,146,5,23,16,11,14,22,0,12,25,122,179,543,435,314,627,503,147,264,55,3072
101041018,11,15,14,11,26,36,10,18,3,136,5,19,7,8,30,13,4,7,32,131,206,590,438,308,674,516,137,324,90,3279
101041019,6,23,19,8,22,45,13,22,0,154,7,17,8,13,16,14,5,7,35,119,192,644,552,347,734,722,181,391,79,3830
101041020,8,29,12,11,35,22,4,25,3,148,13,34,19,3,24,31,11,19,24,178,243,785,624,379,616,711,198,584,99,4240
101041021,0,14,13,5,14,15,0,7,0,63,6,7,4,8,13,14,0,3,11,62,91,276,204,152,285,309,66,132,29,1539
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,17
101041023,7,8,3,4,12,8,0,8,0,54,3,8,13,0,9,15,9,7,14,76,72,205,191,94,227,160,49,160,42,1207
101041024,3,12,6,7,14,21,4,3,0,72,4,16,7,9,10,8,0,3,19,79,83,280,204,142,281,259,45,175,36,1503
