SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101021007,71,28,41,51,67,94,67,43,8,454,695,295,369,455,641,785,643,380,88,4343
101021008,156,110,119,95,83,107,54,29,9,749,1617,1009,1265,1133,1148,1094,752,385,99,8517
101021009,122,84,169,109,95,84,84,47,42,851,1738,1127,2368,1647,1393,1259,926,552,347,11342
101021010,50,34,83,51,39,60,18,9,3,351,788,530,1093,744,660,619,390,201,58,5085
101021012,173,93,104,108,114,103,38,19,3,754,2718,1670,1479,1806,2169,1670,821,328,79,12744
101021610,98,38,58,74,36,13,17,0,0,332,1874,496,1299,1347,700,291,169,49,6,6224
101021611,263,168,145,174,187,234,143,28,5,1342,3204,1853,1628,2079,2694,2560,1751,659,109,16539
101031013,49,36,31,23,35,44,34,20,10,273,411,217,236,250,287,396,386,200,76,2454
101031014,89,62,132,133,108,67,64,34,18,705,1102,656,860,819,829,943,765,545,244,6761
101031015,60,35,39,40,56,73,53,40,9,415,545,316,286,318,560,629,477,283,66,3472
101031016,97,129,170,102,110,102,82,18,8,821,1296,1081,1326,939,1198,1069,738,289,88,8035
101041017,172,98,85,74,105,111,109,74,18,850,1343,758,751,790,1000,1323,1484,823,319,8581
101041018,140,79,73,77,127,122,126,87,52,894,1227,725,700,763,1073,1432,1703,976,345,8938
101041019,182,94,77,92,92,95,75,81,77,868,1564,839,847,968,1066,1413,1178,704,287,8872
101041020,126,97,82,81,129,198,136,48,3,904,1496,854,778,896,1259,1999,1641,525,121,9557
101041021,66,29,26,37,34,43,34,19,9,291,570,321,296,380,452,610,651,350,163,3792
101041022,0,0,0,0,0,5,3,0,0,5,0,0,0,0,9,10,18,3,0,43
101041023,87,31,39,31,38,55,58,36,26,399,539,289,260,283,409,548,631,327,136,3425
101041024,70,49,32,44,70,77,69,30,4,434,463,321,269,324,478,694,665,272,42,3525
101041025,110,89,72,56,128,133,141,90,60,883,1519,916,977,996,1366,1877,2149,1252,453,11513
101041026,137,93,63,80,102,165,151,59,42,896,1110,661,642,716,1011,1663,1699,827,276,8600
101041027,162,81,74,89,94,159,173,83,42,948,1251,624,691,792,1006,1748,2262,1058,444,9888
101051539,501,303,439,349,353,240,202,112,56,2557,4491,2708,3394,2882,2907,3036,2721,1688,733,24565
101051540,262,136,124,173,170,254,217,93,40,1464,2285,1357,1207,1434,1877,2423,1996,948,299,13839
101061541,96,65,58,61,61,57,47,43,27,523,1310,711,746,841,871,820,767,452,252,6763
101061542,207,125,87,122,178,141,118,67,11,1054,2542,1400,1068,1595,2162,1805,1374,631,135,12713
101061543,238,123,114,121,121,127,89,85,31,1043,2229,1246,1170,1236,1229,1390,1334,829,344,11004
101061544,163,95,75,86,115,153,119,64,18,889,1322,692,738,689,978,1262,1188,643,171,7677
