POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA2000,0,0,0,0,0,0,0,4,9,128,63,5,199,4,5,12,210,173,4,387
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2007,0,0,0,0,0,0,3,0,6,40,24,0,66,3,6,9,69,55,0,127
POA2008,0,0,0,0,0,0,0,4,4,44,16,0,66,0,4,3,68,50,3,118
POA2009,0,0,0,0,0,0,9,3,6,94,68,10,179,10,3,14,194,143,0,341
POA2010,0,0,0,0,0,0,3,3,10,136,60,8,198,15,8,20,218,152,4,375
POA2011,0,3,0,0,0,3,4,3,9,95,56,10,161,8,15,20,177,144,3,327
POA2015,0,3,0,0,0,3,0,0,4,88,53,5,150,6,3,9,156,88,0,245
POA2016,0,0,0,0,0,0,5,0,5,86,39,7,135,8,10,17,149,130,0,288
POA2017,0,0,0,0,0,0,6,6,9,149,106,19,268,21,19,38,307,353,6,671
POA2018,4,4,0,0,0,0,6,9,17,190,104,13,306,9,20,24,332,286,7,630
POA2019,0,5,0,0,0,5,3,4,11,204,83,14,300,14,7,17,323,128,7,450
POA2020,3,3,0,0,0,3,4,7,12,158,84,17,250,8,8,19,272,179,3,460
POA2021,0,7,0,0,0,7,0,0,6,166,78,7,262,6,7,19,274,96,0,374
POA2022,0,0,0,0,0,0,0,0,3,139,77,11,233,6,6,16,245,123,3,372
POA2023,0,3,0,0,0,3,3,0,8,117,70,8,194,4,0,7,201,108,0,312
POA2024,0,0,0,0,0,0,0,0,7,118,85,6,207,0,4,3,211,85,0,297
POA2025,0,0,0,0,0,0,4,0,3,102,44,0,148,3,3,11,161,75,0,236
POA2026,3,5,0,0,0,10,3,0,17,276,205,17,496,13,20,29,526,213,5,746
POA2027,0,0,0,0,0,0,5,3,6,86,35,3,125,3,7,7,127,81,3,215
POA2028,0,0,0,0,0,0,3,0,3,50,36,0,87,3,0,4,95,48,0,139
POA2029,0,0,0,0,0,0,3,0,3,119,82,12,211,5,5,15,227,105,3,336
POA2030,0,5,0,0,0,5,3,3,11,143,99,9,252,5,3,12,264,143,6,413
POA2031,3,7,0,0,0,7,3,3,15,463,222,27,707,15,18,30,743,296,8,1044
POA2032,0,3,0,0,0,3,5,3,15,130,104,10,242,8,13,19,263,249,9,525
POA2033,0,6,0,0,0,6,3,0,11,116,68,11,191,3,5,8,198,107,0,311
POA2034,0,3,0,0,0,3,7,0,16,204,127,23,359,11,20,35,390,213,5,606
POA2035,0,6,0,0,0,6,6,8,29,426,265,30,715,24,16,41,751,588,18,1359
POA2036,0,3,3,0,3,6,10,4,19,406,259,29,691,23,28,50,742,528,10,1285
POA2037,0,0,0,0,0,0,8,0,5,127,89,10,222,9,10,17,244,236,6,484
POA2038,0,0,0,0,0,0,0,0,0,115,60,0,181,0,3,3,183,73,3,256
POA2039,0,0,0,0,0,0,0,0,0,115,48,3,164,3,3,4,173,71,3,241
POA2040,0,0,0,0,0,0,3,4,9,288,133,19,441,15,16,31,471,276,4,755
POA2041,0,3,0,0,0,3,3,3,5,184,74,9,270,10,12,23,291,146,0,441
POA2042,3,7,0,0,0,7,4,0,6,162,66,11,243,7,3,13,255,155,6,412
POA2043,0,0,0,0,0,0,3,0,3,88,39,3,131,6,0,6,140,49,0,191
POA2044,0,4,0,0,0,4,3,0,3,98,50,6,151,3,7,13,159,123,4,280
POA2045,0,0,0,0,0,0,3,3,3,78,44,9,129,3,3,5,129,112,3,245
POA2046,0,3,0,0,0,3,3,4,7,369,205,19,589,17,17,34,626,391,5,1021
POA2047,0,0,0,0,0,0,3,0,3,168,82,8,253,9,3,9,265,106,0,370
POA2048,0,0,0,0,0,0,3,0,4,90,47,3,143,3,3,4,151,75,3,224
POA2049,0,3,0,0,0,3,3,3,9,147,59,9,217,4,6,13,226,136,5,364
POA2050,0,0,0,0,0,0,3,0,4,61,30,4,101,5,6,7,108,49,0,156
POA2052,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6
POA2060,0,4,0,0,0,4,0,0,8,145,72,7,223,5,7,8,238,88,0,324
POA2061,0,0,0,0,0,0,0,0,0,54,24,0,78,0,3,0,81,55,0,136
POA2062,0,0,0,0,0,0,0,0,0,107,54,5,169,7,0,5,173,60,0,232
POA2063,0,0,0,0,0,0,0,0,0,51,35,0,91,0,3,3,93,60,0,154
POA2064,0,4,0,0,0,4,0,6,8,122,56,3,178,7,7,20,197,113,6,317
POA2065,0,4,0,0,0,9,0,3,10,364,137,15,522,15,11,34,549,210,9,768
POA2066,0,8,0,0,0,8,7,4,16,388,188,16,599,18,10,27,625,276,4,903
POA2067,0,0,0,0,0,0,3,0,4,286,140,16,448,22,15,32,483,468,0,951
POA2068,3,8,0,0,0,8,3,0,11,199,105,15,318,7,6,14,337,196,3,531
POA2069,0,4,0,0,0,4,3,0,5,140,85,9,236,7,6,9,248,149,0,397
POA2070,0,3,0,0,0,3,0,0,4,140,95,12,248,6,4,7,251,136,3,393
POA2071,0,0,0,0,0,0,0,0,0,174,66,7,255,4,8,12,268,181,6,452
POA2072,0,0,0,0,0,0,0,0,0,93,54,7,151,5,8,13,170,112,0,278
POA2073,0,0,0,0,0,0,3,0,4,158,88,3,246,5,4,12,261,162,0,424
POA2074,0,3,0,0,0,3,6,0,6,225,136,15,371,9,7,19,389,192,0,578
POA2075,0,3,0,0,0,3,5,0,3,213,120,9,342,5,3,12,353,207,0,561
POA2076,0,0,0,0,0,0,8,0,11,243,154,18,410,5,13,22,428,258,3,686
POA2077,3,8,0,0,0,8,8,5,14,517,313,35,870,20,38,58,929,506,6,1446
POA2079,0,0,0,0,0,0,0,0,0,98,50,5,155,3,7,11,166,73,0,241
POA2080,0,0,0,0,0,0,0,0,0,26,18,3,39,0,0,0,40,10,0,51
POA2081,0,4,0,0,0,4,0,0,4,46,38,5,93,0,0,4,98,32,0,133
POA2082,0,3,0,0,0,3,0,0,3,80,42,3,122,0,0,0,129,37,0,161
POA2083,0,0,0,0,0,0,0,0,0,22,10,0,37,0,0,0,38,25,0,62
POA2084,0,0,0,0,0,0,0,0,0,38,23,3,63,0,0,0,60,27,0,89
POA2085,0,4,0,0,0,4,6,0,8,123,72,8,196,3,3,5,203,104,0,307
POA2086,0,0,0,0,0,0,6,0,3,133,97,6,239,8,0,8,245,141,3,389
POA2087,0,3,0,0,0,3,5,3,9,151,94,3,247,6,5,12,253,135,7,393
POA2088,0,5,0,0,0,5,9,3,15,319,190,20,526,13,17,33,564,238,7,807
POA2089,0,0,0,0,0,0,0,0,0,169,69,9,243,9,7,11,255,77,4,338
POA2090,3,4,0,0,0,4,0,0,3,182,75,6,262,10,6,15,277,98,0,373
POA2092,0,0,0,0,0,0,0,0,4,63,39,3,110,0,3,3,115,74,0,184
POA2093,0,4,0,0,0,4,3,3,10,297,195,18,506,10,15,22,532,205,4,740
