POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2671,104,61,175,577,259,30,867,1914,507,3284
POA2672,38,4,46,207,94,14,311,733,179,1228
POA2675,34,11,50,236,89,8,331,785,153,1272
POA2678,0,0,0,0,20,0,24,309,0,332
POA2680,411,220,639,3636,1354,129,5123,11449,2389,18955
POA2681,18,6,27,289,117,13,421,769,172,1357
POA2700,142,31,179,679,294,30,1004,2427,556,3980
POA2701,38,33,67,386,150,15,551,1049,260,1861
POA2702,14,0,16,120,40,3,172,369,69,609
POA2703,11,4,16,93,69,4,160,486,78,729
POA2705,187,30,225,1483,648,44,2177,4974,962,8113
POA2706,8,0,12,170,50,3,227,591,102,919
POA2707,22,3,29,208,92,8,302,617,123,1049
POA2710,265,49,317,1385,622,47,2058,5298,980,8333
POA2711,45,21,64,445,173,20,640,1724,408,2769
POA2712,54,7,60,153,74,8,238,743,169,1147
POA2713,89,19,106,347,161,17,523,1466,307,2288
POA2714,76,26,102,331,149,9,494,1547,273,2307
POA2715,22,7,35,206,102,8,316,720,153,1192
POA2716,21,3,30,135,55,10,196,573,141,914
POA2717,13,7,25,120,95,0,213,694,186,1087
POA2720,158,96,260,1184,494,46,1726,3885,875,6489
POA2721,3,0,5,32,13,0,49,110,36,193
POA2722,72,17,89,463,219,7,689,1606,286,2583
POA2725,4,6,11,45,10,3,54,211,32,302
POA2726,3,0,3,32,18,0,47,120,15,187
POA2727,3,3,4,71,23,0,98,141,25,265
POA2729,32,4,37,295,91,7,394,829,111,1337
POA2730,37,16,50,180,64,3,250,795,146,1192
POA2731,134,34,171,968,358,42,1369,3401,511,5282
POA2732,76,26,101,184,115,7,306,1030,190,1527
POA2733,17,0,21,69,42,10,114,271,56,439
POA2734,0,0,0,59,24,3,91,234,49,374
POA2735,3,0,3,60,40,6,106,218,40,372
POA2736,9,4,10,55,14,0,70,196,55,325
POA2737,3,0,9,128,35,6,165,345,121,626
POA2738,20,3,19,330,109,8,441,712,111,1270
POA2739,7,0,12,211,103,7,324,647,129,1102
POA2745,134,24,164,6009,1783,256,8046,13250,1211,22511
POA2747,385,53,451,7801,2701,296,10800,20051,2209,33062
POA2748,18,0,16,239,162,17,424,1073,100,1593
POA2749,80,19,99,3184,1149,176,4506,7665,887,13055
POA2750,839,108,961,7379,3091,326,10800,22659,2758,36214
POA2752,28,4,31,920,298,28,1246,2378,219,3845
POA2753,319,86,410,2676,1125,118,3911,8887,1162,13959
POA2754,99,21,114,898,414,39,1352,2995,276,4617
POA2755,0,0,0,18,9,0,28,115,84,230
POA2756,276,47,329,6141,2132,259,8527,16223,1897,26651
POA2757,10,0,10,140,69,5,212,432,45,690
POA2758,104,16,120,1456,563,70,2095,4317,644,7051
POA2759,117,22,132,4551,1784,151,6483,13244,1215,20942
POA2760,359,63,430,5729,1690,178,7603,16312,2378,26286
POA2761,244,9,255,5752,1510,183,7440,14870,1313,23623
POA2762,31,3,35,1074,272,25,1377,2166,218,3761
POA2763,190,24,215,6426,1632,170,8224,14478,1020,23728
POA2765,157,32,188,2460,1018,87,3561,7530,2022,13119
POA2766,358,22,381,2509,808,75,3388,8248,742,12378
POA2767,163,24,183,3883,1176,99,5156,11630,1054,17831
POA2768,104,9,114,6090,1390,154,7639,12680,1779,22097
POA2769,29,3,35,3113,506,84,3702,4201,387,8293
POA2770,352,66,422,9178,3097,349,12623,28812,4643,46079
POA2773,82,13,94,1025,504,54,1580,3014,255,4844
POA2774,128,25,148,2377,1099,120,3598,6192,466,10263
POA2775,14,3,15,159,67,11,233,816,276,1320
POA2776,43,7,50,759,338,33,1132,1914,138,3192
POA2777,513,65,583,3022,1467,140,4627,8951,666,14245
POA2778,30,3,30,406,155,12,584,1325,102,2009
POA2779,47,7,60,958,327,63,1353,2350,180,3874
POA2780,279,41,325,1714,800,122,2630,7740,969,11338
POA2782,164,11,176,883,416,35,1332,3411,330,5076
POA2783,38,5,44,429,149,17,591,1401,142,2135
POA2784,12,0,12,219,83,19,322,618,58,994
POA2785,76,7,88,659,267,52,979,2570,288,3832
POA2786,20,3,30,174,81,3,258,674,155,1090
POA2787,84,20,104,591,290,24,906,2196,591,3689
POA2790,344,70,422,2109,1049,91,3250,8032,1894,13176
POA2791,15,3,13,43,21,0,63,201,31,300
POA2792,6,0,11,49,9,4,65,212,40,320
POA2793,7,0,9,102,50,3,158,591,96,844
POA2794,336,66,410,1332,616,65,2017,5643,915,8571
POA2795,688,198,905,6770,2862,290,9918,20308,3970,34192
POA2797,10,0,10,73,33,3,104,218,26,344
POA2798,14,3,17,413,128,22,558,851,150,1567
POA2799,84,24,117,657,274,30,960,2009,331,3297
POA2800,807,142,971,7588,2979,379,10945,21489,2948,35379
POA2803,0,0,0,24,22,3,42,168,30,246
POA2804,71,5,81,372,159,24,555,1385,192,2135
POA2805,4,0,4,61,24,3,86,200,24,316
POA2806,26,0,23,84,45,6,141,458,63,660
POA2807,4,0,10,41,14,3,54,246,54,360
POA2808,3,0,3,13,8,0,17,133,16,173
POA2809,3,0,3,24,9,0,39,113,46,197
POA2810,106,22,132,433,205,11,655,1699,263,2618
POA2817,0,0,3,49,18,3,63,154,24,244
POA2818,6,0,6,133,60,6,207,392,74,669
POA2820,157,48,207,824,379,41,1246,3332,1460,6037
POA2821,97,21,119,713,327,32,1072,2211,453,3737
POA2822,7,0,8,56,31,3,91,214,49,351
POA2823,37,13,47,173,80,13,260,704,175,1139
POA2824,38,14,52,278,131,6,411,1088,243,1743
POA2825,50,10,60,337,123,8,470,1180,245,1892
POA2826,0,0,3,29,6,0,39,98,10,151
POA2827,93,27,126,500,233,16,753,1914,344,3005
POA2828,12,16,26,95,28,0,129,406,115,652
POA2829,72,10,83,380,158,7,546,1466,457,2471
POA2830,714,130,854,6503,2558,310,9371,19486,2911,31770
POA2831,16,6,17,306,113,13,430,874,184,1486
POA2832,18,3,21,299,96,9,403,1207,339,1948
POA2833,10,0,10,72,34,0,110,343,48,502
POA2834,25,6,39,229,88,11,327,1336,330,1992
POA2835,59,12,71,687,192,27,904,1882,470,3254
POA2836,11,0,9,93,34,6,133,456,109,699
POA2838,0,0,0,29,10,0,40,133,17,184
POA2839,14,3,21,142,64,3,213,675,139,1032
POA2840,23,11,40,321,116,17,450,1152,465,2069
POA2842,11,0,11,89,41,3,135,326,48,506
POA2843,24,3,26,184,74,3,258,631,142,1037
POA2844,36,10,52,162,87,5,258,674,239,1169
POA2845,24,8,32,308,124,11,438,900,203,1539
POA2846,8,0,7,32,10,3,45,141,41,229
POA2847,34,12,44,314,171,13,506,1219,291,2015
POA2848,27,9,38,200,73,11,287,890,219,1393
POA2849,31,0,33,190,91,13,299,838,161,1292
POA2850,306,51,363,2819,953,131,3899,8460,1624,13980
POA2852,50,7,61,529,157,14,708,1669,403,2775
POA2864,10,3,14,147,51,7,206,380,54,636
POA2865,11,3,16,139,56,0,197,395,102,697
POA2866,70,15,90,544,210,23,778,1373,234,2381
POA2867,12,0,11,87,27,9,118,298,43,466
POA2868,25,0,27,80,43,4,129,352,44,528
POA2869,39,6,45,174,56,0,236,827,154,1215
POA2870,256,96,351,1847,726,85,2661,5738,1139,9535
POA2871,210,38,253,1325,520,61,1910,4669,866,7447
POA2873,8,5,19,77,20,0,97,270,90,460
POA2874,14,3,13,56,25,3,77,234,47,358
POA2875,23,7,31,133,68,6,204,470,104,775
POA2876,3,0,7,61,16,0,83,189,56,327
POA2877,79,20,106,577,205,24,807,1798,394,3003
POA2878,0,0,0,39,3,3,44,160,110,313
POA2879,8,0,10,61,24,0,87,327,110,522
POA2880,487,111,602,2442,1167,100,3705,9943,1568,15221
POA2898,12,0,10,54,17,5,78,211,38,327
